p,v,cp,rcp,a,ba,sa,hl,pcp,t
3150.0,100,-40.0,0.0,,131200.0,193400.0,False,0.0,14:45:01
3150.0,100,-40.0,0.0,BU,131200.0,193400.0,False,40.0,14:28:31
3110.0,400,-80.0,0.0,SD,131100.0,193400.0,False,-40.0,14:27:52
3150.0,100,-40.0,0.0,BU,131100.0,193000.0,False,20.0,14:27:33
3130.0,100,-60.0,0.0,BU,131000.0,193000.0,False,10.0,14:27:22
3120.0,100,-70.0,0.0,BU,130900.0,193000.0,False,0.0,14:26:42
3120.0,100,-70.0,0.0,BU,130800.0,193000.0,False,0.0,14:26:42
3120.0,200,-70.0,0.0,BU,130700.0,193000.0,False,-10.0,14:26:42
3130.0,100,-60.0,0.0,SD,130500.0,193000.0,False,0.0,14:26:06
3130.0,200,-60.0,0.0,SD,130500.0,192900.0,False,-20.0,14:26:06
3150.0,3000,-40.0,0.0,BU,130500.0,192700.0,False,20.0,14:18:34
3130.0,800,-60.0,0.0,SD,127500.0,192700.0,False,-20.0,14:17:52
3150.0,100,-40.0,0.0,SD,127500.0,191900.0,False,-10.0,14:16:39
3160.0,7200,-30.0,0.0,BU,127500.0,191800.0,False,0.0,14:13:34
3160.0,2000,-30.0,0.0,SD,120300.0,191800.0,False,0.0,14:13:16
3160.0,10800,-30.0,0.0,BU,120300.0,189800.0,False,0.0,14:10:28
3160.0,100,-30.0,0.0,BU,109500.0,189800.0,False,30.0,14:00:13
3130.0,200,-60.0,0.0,BU,109400.0,189800.0,False,0.0,14:00:13
3130.0,100,-60.0,0.0,BU,109200.0,189800.0,False,20.0,13:58:55
3110.0,100,-80.0,0.0,SD,109100.0,189800.0,False,0.0,13:58:27
3110.0,3100,-80.0,0.0,SD,109100.0,189700.0,False,0.0,13:58:27
3110.0,1100,-80.0,0.0,SD,109100.0,186600.0,False,0.0,13:58:27
3110.0,6400,-80.0,0.0,BU,109100.0,185500.0,False,0.0,13:57:35
3110.0,200,-80.0,0.0,BU,102700.0,185500.0,False,0.0,13:57:32
3110.0,4000,-80.0,0.0,BU,102500.0,185500.0,False,0.0,13:57:30
3110.0,300,-80.0,0.0,BU,98500.0,185500.0,False,10.0,13:56:20
3100.0,500,-90.0,0.0,SD,98200.0,185500.0,False,-10.0,13:55:38
3110.0,100,-80.0,0.0,BU,98200.0,185000.0,False,0.0,13:53:26
3110.0,200,-80.0,0.0,BU,98100.0,185000.0,False,0.0,13:48:39
3110.0,200,-80.0,0.0,BU,97900.0,185000.0,False,0.0,13:47:26
3110.0,4000,-80.0,0.0,SD,97700.0,185000.0,False,0.0,13:46:48
3110.0,100,-80.0,0.0,SD,97700.0,181000.0,False,0.0,13:46:48
3110.0,100,-80.0,0.0,SD,97700.0,180900.0,False,0.0,13:46:36
3110.0,500,-80.0,0.0,BU,97700.0,180800.0,False,10.0,13:45:06
3100.0,200,-90.0,0.0,SD,97200.0,180800.0,False,-10.0,13:45:03
3110.0,100,-80.0,0.0,SD,97200.0,180600.0,False,0.0,13:43:44
3110.0,1000,-80.0,0.0,SD,97200.0,180500.0,False,0.0,13:43:44
3110.0,100,-80.0,0.0,SD,97200.0,179500.0,False,0.0,13:43:44
