p,v,cp,rcp,a,ba,sa,hl,pcp,t
7400.0,100,-200.0,0.0,BU,168100.0,227400.0,False,100.0,14:59:59
7300.0,5000,-300.0,0.0,SD,168000.0,227400.0,False,-100.0,14:59:54
7400.0,100,-200.0,0.0,BU,168000.0,222400.0,False,100.0,14:59:21
7300.0,20000,-300.0,0.0,SD,167900.0,222400.0,False,-100.0,14:59:15
7400.0,1000,-200.0,0.0,BU,167900.0,202400.0,False,100.0,14:56:09
7300.0,3800,-300.0,0.0,SD,166900.0,202400.0,False,0.0,14:55:34
7300.0,16000,-300.0,0.0,SD,166900.0,198600.0,False,-100.0,14:48:53
7400.0,5000,-200.0,0.0,BU,166900.0,182600.0,False,100.0,14:42:26
7300.0,300,-300.0,0.0,SD,161900.0,182600.0,False,0.0,14:36:18
7300.0,600,-300.0,0.0,SD,161900.0,182300.0,False,0.0,14:35:36
7300.0,500,-300.0,0.0,SD,161900.0,181700.0,False,0.0,14:34:14
7300.0,1000,-300.0,0.0,SD,161900.0,181200.0,False,-100.0,14:33:07
7400.0,1000,-200.0,0.0,BU,161900.0,180200.0,False,0.0,14:30:26
7400.0,600,-200.0,0.0,BU,160900.0,180200.0,False,100.0,14:29:51
7300.0,900,-300.0,0.0,SD,160300.0,180200.0,False,-100.0,14:29:16
7400.0,1000,-200.0,0.0,BU,160300.0,179300.0,False,100.0,14:28:01
7300.0,100,-300.0,0.0,SD,159300.0,179300.0,False,0.0,14:27:43
7300.0,11000,-300.0,0.0,SD,159300.0,179200.0,False,0.0,14:23:43
7300.0,1900,-300.0,0.0,SD,159300.0,168200.0,False,0.0,14:23:31
7300.0,2600,-300.0,0.0,SD,159300.0,166300.0,False,-100.0,14:23:18
7400.0,400,-200.0,0.0,BU,159300.0,163700.0,False,0.0,14:22:41
7400.0,500,-200.0,0.0,BU,158900.0,163700.0,False,0.0,14:19:43
7400.0,3000,-200.0,0.0,BU,158400.0,163700.0,False,0.0,14:18:53
7400.0,1000,-200.0,0.0,BU,155400.0,163700.0,False,0.0,14:17:48
7400.0,100,-200.0,0.0,BU,154400.0,163700.0,False,0.0,14:15:08
7400.0,500,-200.0,0.0,SD,154300.0,163700.0,False,-100.0,14:14:30
7500.0,500,-100.0,0.0,BU,154300.0,163200.0,False,0.0,14:10:15
7500.0,1000,-100.0,0.0,BU,153800.0,163200.0,False,0.0,14:09:40
7500.0,100,-100.0,0.0,BU,152800.0,163200.0,False,100.0,14:08:04
7400.0,500,-200.0,0.0,SD,152700.0,163200.0,False,0.0,14:07:55
7400.0,3700,-200.0,0.0,BU,152700.0,162700.0,False,0.0,14:07:51
7400.0,500,-200.0,0.0,BU,149000.0,162700.0,False,0.0,14:07:34
7400.0,400,-200.0,0.0,BU,148500.0,162700.0,False,0.0,14:07:26
7400.0,2000,-200.0,0.0,BU,148100.0,162700.0,False,0.0,14:07:24
7400.0,4000,-200.0,0.0,BU,146100.0,162700.0,False,0.0,14:06:55
7400.0,1000,-200.0,0.0,BU,142100.0,162700.0,False,0.0,14:06:30
7400.0,10000,-200.0,0.0,BU,141100.0,162700.0,False,0.0,14:06:27
7400.0,100,-200.0,0.0,BU,131100.0,162700.0,False,0.0,14:06:22
7400.0,100,-200.0,0.0,BU,131000.0,162700.0,False,0.0,14:05:34
7400.0,500,-200.0,0.0,BU,130900.0,162700.0,False,0.0,14:04:52
7400.0,100,-200.0,0.0,BU,130400.0,162700.0,False,0.0,14:03:10
7400.0,100,-200.0,0.0,BU,130300.0,162700.0,False,0.0,14:02:43
7400.0,200,-200.0,0.0,BU,130200.0,162700.0,False,0.0,14:01:45
7400.0,100,-200.0,0.0,BU,130000.0,162700.0,False,100.0,14:00:57
7300.0,600,-300.0,0.0,SD,129900.0,162700.0,False,-100.0,13:59:53
