p,v,cp,rcp,a,ba,sa,hl,pcp,t
127000.0,100,-3800.0,0.0,SD,2600.0,1200.0,False,-3000.0,14:36:56
130000.0,100,-800.0,0.0,BU,2600.0,1100.0,False,3000.0,14:34:43
127000.0,500,-3800.0,0.0,SD,2500.0,1100.0,False,-100.0,14:32:31
127100.0,500,-3700.0,0.0,BU,2500.0,600.0,False,-100.0,14:32:11
127200.0,400,-3600.0,0.0,BU,2000.0,600.0,False,0.0,14:22:22
127200.0,1300,-3600.0,0.0,BU,1600.0,600.0,False,-100.0,14:14:59
127300.0,100,-3500.0,0.0,SD,300.0,600.0,False,0.0,13:36:23
127300.0,200,-3500.0,0.0,SD,300.0,500.0,False,0.0,13:24:53
127300.0,100,-3500.0,0.0,SD,300.0,300.0,False,-2700.0,13:03:25
130000.0,300,-800.0,0.0,BU,300.0,200.0,False,0.0,13:00:03
130000.0,200,-800.0,0.0,SD,0.0,200.0,False,0.0,11:29:50
