p,v,cp,rcp,a,ba,sa,hl,pcp,t
9290.0,73100,90.0,0.0,,815300.0,1298200.0,False,70.0,14:45:00
9220.0,500,20.0,0.0,BU,815300.0,1298200.0,False,0.0,14:29:54
9220.0,1000,20.0,0.0,BU,814800.0,1298200.0,False,0.0,14:29:51
9220.0,200,20.0,0.0,BU,813800.0,1298200.0,False,0.0,14:29:51
9220.0,2000,20.0,0.0,BU,813600.0,1298200.0,False,10.0,14:29:51
9210.0,6800,10.0,0.0,BU,811600.0,1298200.0,False,0.0,14:29:51
9210.0,500,10.0,0.0,BU,804800.0,1298200.0,False,0.0,14:29:50
9210.0,1000,10.0,0.0,BU,804300.0,1298200.0,False,0.0,14:29:45
9210.0,500,10.0,0.0,BU,803300.0,1298200.0,False,0.0,14:29:43
9210.0,100,10.0,0.0,BU,802800.0,1298200.0,False,0.0,14:29:38
9210.0,200,10.0,0.0,BU,802700.0,1298200.0,False,0.0,14:29:36
9210.0,200,10.0,0.0,BU,802500.0,1298200.0,False,0.0,14:29:36
9210.0,200,10.0,0.0,BU,802300.0,1298200.0,False,0.0,14:29:24
9210.0,500,10.0,0.0,BU,802100.0,1298200.0,False,-10.0,14:29:23
9220.0,500,20.0,0.0,BU,801600.0,1298200.0,False,0.0,14:29:13
9220.0,200,20.0,0.0,BU,801100.0,1298200.0,False,0.0,14:28:55
9220.0,500,20.0,0.0,BU,800900.0,1298200.0,False,0.0,14:28:54
9220.0,1800,20.0,0.0,SD,800400.0,1298200.0,False,0.0,14:28:12
9220.0,1400,20.0,0.0,BU,800400.0,1296400.0,False,20.0,14:28:08
9200.0,100,0.0,0.0,SD,799000.0,1296400.0,False,0.0,14:27:57
9200.0,1900,0.0,0.0,SD,799000.0,1296300.0,False,0.0,14:27:56
9200.0,1000,0.0,0.0,SD,799000.0,1294400.0,False,0.0,14:27:56
9200.0,10500,0.0,0.0,SD,799000.0,1293400.0,False,0.0,14:27:56
9200.0,3000,0.0,0.0,SD,799000.0,1282900.0,False,0.0,14:27:56
9200.0,600,0.0,0.0,SD,799000.0,1279900.0,False,-10.0,14:27:56
9210.0,100,10.0,0.0,SD,799000.0,1279300.0,False,-10.0,14:27:56
9220.0,800,20.0,0.0,BU,799000.0,1279200.0,False,0.0,14:27:42
9220.0,400,20.0,0.0,BU,798200.0,1279200.0,False,0.0,14:27:42
9220.0,100,20.0,0.0,BU,797800.0,1279200.0,False,0.0,14:27:42
9220.0,4000,20.0,0.0,BU,797700.0,1279200.0,False,0.0,14:27:42
9220.0,3300,20.0,0.0,BU,793700.0,1279200.0,False,0.0,14:27:42
9220.0,1500,20.0,0.0,SD,790400.0,1279200.0,False,-10.0,14:27:12
9230.0,500,30.0,0.0,BU,790400.0,1277700.0,False,0.0,14:27:00
9230.0,2400,30.0,0.0,SD,789900.0,1277700.0,False,0.0,14:26:32
9230.0,600,30.0,0.0,SD,789900.0,1275300.0,False,0.0,14:25:33
9230.0,400,30.0,0.0,SD,789900.0,1274700.0,False,-10.0,14:25:33
9240.0,2500,40.0,0.0,BU,789900.0,1274300.0,False,0.0,14:25:30
9240.0,2800,40.0,0.0,BU,787400.0,1274300.0,False,0.0,14:25:20
9240.0,8000,40.0,0.0,SD,784600.0,1274300.0,False,0.0,14:25:18
9240.0,8000,40.0,0.0,BU,784600.0,1266300.0,False,0.0,14:24:31
9240.0,1200,40.0,0.0,BU,776600.0,1266300.0,False,0.0,14:24:31
9240.0,100,40.0,0.0,BU,775400.0,1266300.0,False,-30.0,14:23:44
9270.0,600,70.0,0.0,BU,775300.0,1266300.0,False,0.0,14:23:21
9270.0,200,70.0,0.0,BU,774700.0,1266300.0,False,0.0,14:23:21
9270.0,6300,70.0,0.0,BU,774500.0,1266300.0,False,30.0,14:23:21
9240.0,2900,40.0,0.0,BU,768200.0,1266300.0,False,20.0,14:23:21
9220.0,5200,20.0,0.0,SD,765300.0,1266300.0,False,0.0,14:23:21
9220.0,200,20.0,0.0,SD,765300.0,1261100.0,False,0.0,14:23:21
9220.0,2600,20.0,0.0,SD,765300.0,1260900.0,False,0.0,14:23:21
9220.0,1000,20.0,0.0,SD,765300.0,1258300.0,False,0.0,14:23:21
9220.0,1000,20.0,0.0,SD,765300.0,1257300.0,False,-20.0,14:23:21
9240.0,500,40.0,0.0,SD,765300.0,1256300.0,False,0.0,14:23:00
9240.0,900,40.0,0.0,SD,765300.0,1255800.0,False,-10.0,14:23:00
9250.0,500,50.0,0.0,SD,765300.0,1254900.0,False,0.0,14:23:00
9250.0,200,50.0,0.0,SD,765300.0,1254400.0,False,-20.0,14:23:00
9270.0,2000,70.0,0.0,SD,765300.0,1254200.0,False,0.0,14:22:38
9270.0,1700,70.0,0.0,SD,765300.0,1252200.0,False,0.0,14:22:38
9270.0,500,70.0,0.0,SD,765300.0,1250500.0,False,0.0,14:22:35
9270.0,5000,70.0,0.0,SD,765300.0,1250000.0,False,0.0,14:22:32
9270.0,100,70.0,0.0,SD,765300.0,1245000.0,False,0.0,14:22:31
9270.0,100,70.0,0.0,SD,765300.0,1244900.0,False,-10.0,14:22:27
9280.0,100,80.0,0.0,BU,765300.0,1244800.0,False,10.0,14:22:24
9270.0,21600,70.0,0.0,SD,765200.0,1244800.0,True,0.0,14:22:20
9270.0,7500,70.0,0.0,SD,765200.0,1223200.0,False,0.0,14:22:20
9270.0,10900,70.0,0.0,SD,765200.0,1215700.0,False,-10.0,14:22:20
9280.0,200,80.0,0.0,BU,765200.0,1204800.0,False,10.0,14:22:16
9270.0,5000,70.0,0.0,SD,765000.0,1204800.0,False,0.0,14:22:16
9270.0,5000,70.0,0.0,SD,765000.0,1199800.0,False,-10.0,14:22:15
9280.0,100,80.0,0.0,BU,765000.0,1194800.0,False,0.0,14:22:07
9280.0,300,80.0,0.0,BU,764900.0,1194800.0,False,10.0,14:21:56
9270.0,200,70.0,0.0,SD,764600.0,1194800.0,False,-10.0,14:21:51
9280.0,800,80.0,0.0,BU,764600.0,1194600.0,False,0.0,14:21:44
9280.0,200,80.0,0.0,BU,763800.0,1194600.0,False,0.0,14:21:43
9280.0,1000,80.0,0.0,BU,763600.0,1194600.0,False,0.0,14:21:43
9280.0,3000,80.0,0.0,BU,762600.0,1194600.0,False,0.0,14:21:43
9280.0,100,80.0,0.0,SD,759600.0,1194600.0,False,0.0,14:21:39
9280.0,300,80.0,0.0,SD,759600.0,1194500.0,False,0.0,14:21:35
9280.0,100,80.0,0.0,SD,759600.0,1194200.0,False,0.0,14:21:33
9280.0,100,80.0,0.0,SD,759600.0,1194100.0,False,0.0,14:21:32
9280.0,1000,80.0,0.0,SD,759600.0,1194000.0,False,0.0,14:21:30
9280.0,8400,80.0,0.0,SD,759600.0,1193000.0,False,0.0,14:21:26
9280.0,1600,80.0,0.0,SD,759600.0,1184600.0,False,0.0,14:21:26
9280.0,100,80.0,0.0,SD,759600.0,1183000.0,False,0.0,14:21:24
9280.0,5000,80.0,0.0,SD,759600.0,1182900.0,False,-10.0,14:21:14
9290.0,1500,90.0,0.0,BU,759600.0,1177900.0,False,0.0,14:20:58
9290.0,100,90.0,0.0,BU,758100.0,1177900.0,False,0.0,14:20:58
9290.0,1500,90.0,0.0,BU,758000.0,1177900.0,False,0.0,14:20:58
9290.0,300,90.0,0.0,BU,756500.0,1177900.0,False,0.0,14:20:58
9290.0,1600,90.0,0.0,BU,756200.0,1177900.0,False,10.0,14:20:58
9280.0,300,80.0,0.0,SD,754600.0,1177900.0,False,0.0,14:20:57
9280.0,1000,80.0,0.0,SD,754600.0,1177600.0,False,-10.0,14:20:52
9290.0,7200,90.0,0.0,BU,754600.0,1176600.0,False,10.0,14:19:51
9280.0,2500,80.0,0.0,BU,747400.0,1176600.0,False,0.0,14:19:51
9280.0,300,80.0,0.0,BU,744900.0,1176600.0,False,0.0,14:19:37
9280.0,100,80.0,0.0,SD,744600.0,1176600.0,False,0.0,14:19:34
9280.0,100,80.0,0.0,SD,744600.0,1176500.0,False,0.0,14:19:34
9280.0,2000,80.0,0.0,SD,744600.0,1176400.0,False,0.0,14:19:34
9280.0,100,80.0,0.0,SD,744600.0,1174400.0,False,0.0,14:19:32
9280.0,800,80.0,0.0,SD,744600.0,1174300.0,False,0.0,14:19:28
9280.0,100,80.0,0.0,SD,744600.0,1173500.0,False,0.0,14:19:28
9280.0,100,80.0,0.0,SD,744600.0,1173400.0,False,0.0,14:19:25
9280.0,100,80.0,0.0,SD,744600.0,1173300.0,False,0.0,14:19:22
9280.0,100,80.0,0.0,SD,744600.0,1173200.0,False,0.0,14:19:20
