p,v,cp,rcp,a,ba,sa,hl,pcp,t
5140.0,4800,-40.0,0.0,,25900.0,66900.0,False,-40.0,14:45:00
5180.0,100,0.0,0.0,BU,25900.0,66900.0,False,50.0,14:22:50
5130.0,4000,-50.0,0.0,SD,25800.0,66900.0,False,10.0,14:13:38
5120.0,700,-60.0,0.0,SD,25800.0,62900.0,False,0.0,14:07:47
5120.0,100,-60.0,0.0,SD,25800.0,62200.0,False,-10.0,14:07:47
5130.0,2000,-50.0,0.0,SD,25800.0,62100.0,False,0.0,14:07:47
5130.0,500,-50.0,0.0,SD,25800.0,60100.0,False,-10.0,14:07:47
5140.0,400,-40.0,0.0,SD,25800.0,59600.0,False,0.0,14:07:47
5140.0,300,-40.0,0.0,SD,25800.0,59200.0,False,0.0,14:07:47
5140.0,200,-40.0,0.0,SD,25800.0,58900.0,False,-10.0,14:07:34
5150.0,400,-30.0,0.0,BU,25800.0,58700.0,False,0.0,14:07:34
5150.0,400,-30.0,0.0,BU,25400.0,58700.0,False,-30.0,14:07:34
5180.0,200,0.0,0.0,SD,25000.0,58700.0,False,0.0,14:06:42
5180.0,1000,0.0,0.0,SD,25000.0,58500.0,False,0.0,14:05:10
5180.0,900,0.0,0.0,SD,25000.0,57500.0,False,0.0,14:04:12
5180.0,500,0.0,0.0,SD,25000.0,56600.0,False,0.0,14:01:33
5180.0,500,0.0,0.0,SD,25000.0,56100.0,False,0.0,14:00:16
5180.0,200,0.0,0.0,SD,25000.0,55600.0,False,0.0,13:58:59
5180.0,2000,0.0,0.0,SD,25000.0,55400.0,False,0.0,13:58:59
5180.0,2300,0.0,0.0,SD,25000.0,53400.0,False,0.0,13:58:59
5180.0,100,0.0,0.0,BU,25000.0,51100.0,False,30.0,13:58:03
5150.0,500,-30.0,0.0,SD,24900.0,51100.0,False,-10.0,13:55:27
5160.0,100,-20.0,0.0,SD,24900.0,50600.0,False,-20.0,13:55:08
5180.0,200,0.0,0.0,BU,24900.0,50500.0,False,0.0,13:42:14
5180.0,100,0.0,0.0,SD,24700.0,50500.0,False,0.0,13:42:10
5180.0,200,0.0,0.0,SD,24700.0,50400.0,False,0.0,13:42:10
