p,v,cp,rcp,a,ba,sa,hl,pcp,t
14400.0,200,100.0,0.0,BU,5100.0,1500.0,False,500.0,14:20:15
13900.0,200,-400.0,0.0,SD,4900.0,1500.0,False,0.0,14:04:35
13900.0,1000,-400.0,0.0,SD,4900.0,1300.0,False,0.0,13:36:46
13900.0,300,-400.0,0.0,SD,4900.0,300.0,False,-100.0,13:19:03
14000.0,100,-300.0,0.0,BU,4900.0,0.0,False,-200.0,13:00:05
14200.0,200,-100.0,0.0,BU,4800.0,0.0,False,-800.0,10:26:33
15000.0,300,700.0,0.0,BU,4600.0,0.0,False,-1400.0,09:16:09
16400.0,1000,2100.0,0.1,BU,4300.0,0.0,False,900.0,09:05:23
15500.0,2000,1200.0,0.1,BU,3300.0,0.0,False,600.0,09:04:49
14900.0,1300,600.0,0.0,BU,1300.0,0.0,False,0.0,09:00:50
