p,v,cp,rcp,a,ba,sa,hl,pcp,t
6200.0,28200,10.0,0.0,,261200.0,322800.0,False,0.0,14:45:00
6200.0,200,10.0,0.0,BU,261200.0,322800.0,False,0.0,14:28:37
6200.0,2000,10.0,0.0,BU,261000.0,322800.0,False,0.0,14:28:09
6200.0,500,10.0,0.0,BU,259000.0,322800.0,False,0.0,14:27:38
6200.0,100,10.0,0.0,BU,258500.0,322800.0,False,0.0,14:26:37
6200.0,100,10.0,0.0,BU,258400.0,322800.0,False,0.0,14:26:23
6200.0,200,10.0,0.0,SD,258300.0,322800.0,False,0.0,14:26:14
6200.0,500,10.0,0.0,SD,258300.0,322600.0,False,0.0,14:26:14
6200.0,1300,10.0,0.0,SD,258300.0,322100.0,False,-10.0,14:26:14
6210.0,100,20.0,0.0,SD,258300.0,320800.0,False,0.0,14:26:14
6210.0,100,20.0,0.0,SD,258300.0,320700.0,False,0.0,14:26:14
6210.0,1000,20.0,0.0,SD,258300.0,320600.0,False,0.0,14:26:14
6210.0,100,20.0,0.0,SD,258300.0,319600.0,False,-30.0,14:26:14
6240.0,800,50.0,0.0,BU,258300.0,319500.0,False,0.0,14:23:51
6240.0,200,50.0,0.0,BU,257500.0,319500.0,False,0.0,14:23:51
6240.0,3400,50.0,0.0,SD,257300.0,319500.0,False,0.0,14:22:54
6240.0,100,50.0,0.0,SD,257300.0,316100.0,False,-10.0,14:22:54
6250.0,100,60.0,0.0,BU,257300.0,316000.0,False,0.0,14:21:46
6250.0,500,60.0,0.0,BU,257200.0,316000.0,False,0.0,14:21:41
6250.0,1000,60.0,0.0,BU,256700.0,316000.0,False,0.0,14:21:30
6250.0,200,60.0,0.0,BU,255700.0,316000.0,False,0.0,14:21:16
6250.0,500,60.0,0.0,BU,255500.0,316000.0,False,0.0,14:21:11
6250.0,700,60.0,0.0,BU,255000.0,316000.0,False,0.0,14:20:58
6250.0,200,60.0,0.0,BU,254300.0,316000.0,False,0.0,14:20:58
6250.0,100,60.0,0.0,BU,254100.0,316000.0,False,0.0,14:20:58
6250.0,200,60.0,0.0,BU,254000.0,316000.0,False,0.0,14:20:20
6250.0,100,60.0,0.0,BU,253800.0,316000.0,False,0.0,14:20:20
6250.0,100,60.0,0.0,BU,253700.0,316000.0,False,0.0,14:20:17
6250.0,2300,60.0,0.0,BU,253600.0,316000.0,False,0.0,14:19:38
6250.0,2000,60.0,0.0,BU,251300.0,316000.0,False,0.0,14:19:27
6250.0,3000,60.0,0.0,BU,249300.0,316000.0,False,0.0,14:19:21
6250.0,500,60.0,0.0,BU,246300.0,316000.0,False,0.0,14:19:21
6250.0,600,60.0,0.0,BU,245800.0,316000.0,False,0.0,14:19:19
6250.0,2000,60.0,0.0,BU,245200.0,316000.0,False,10.0,14:19:13
6240.0,100,50.0,0.0,SD,243200.0,316000.0,False,0.0,14:18:44
6240.0,500,50.0,0.0,SD,243200.0,315900.0,False,0.0,14:15:38
6240.0,3600,50.0,0.0,SD,243200.0,315400.0,False,0.0,14:15:38
6240.0,1300,50.0,0.0,SD,243200.0,311800.0,False,0.0,14:15:38
6240.0,1100,50.0,0.0,SD,243200.0,310500.0,False,0.0,14:15:38
6240.0,300,50.0,0.0,BU,243200.0,309400.0,False,40.0,14:15:25
6200.0,200,10.0,0.0,SD,242900.0,309400.0,False,0.0,14:14:43
6200.0,2500,10.0,0.0,SD,242900.0,309200.0,False,10.0,14:14:43
6190.0,100,0.0,0.0,BU,242900.0,306700.0,False,0.0,14:12:09
6190.0,300,0.0,0.0,BU,242800.0,306700.0,False,10.0,14:12:09
6180.0,1500,-10.0,0.0,SD,242500.0,306700.0,False,0.0,14:11:58
6180.0,100,-10.0,0.0,SD,242500.0,305200.0,False,0.0,14:11:57
6180.0,300,-10.0,0.0,SD,242500.0,305100.0,False,0.0,14:11:57
6180.0,100,-10.0,0.0,SD,242500.0,304800.0,False,0.0,14:11:57
6180.0,100,-10.0,0.0,SD,242500.0,304700.0,False,0.0,14:11:57
6180.0,100,-10.0,0.0,SD,242500.0,304600.0,False,0.0,14:11:57
6180.0,1000,-10.0,0.0,SD,242500.0,304500.0,False,0.0,14:11:57
6180.0,100,-10.0,0.0,SD,242500.0,303500.0,False,0.0,14:11:57
6180.0,400,-10.0,0.0,SD,242500.0,303400.0,False,-10.0,14:11:57
6190.0,500,0.0,0.0,BU,242500.0,303000.0,False,0.0,14:11:22
6190.0,100,0.0,0.0,BU,242000.0,303000.0,False,0.0,14:11:07
6190.0,200,0.0,0.0,BU,241900.0,303000.0,False,0.0,14:10:27
6190.0,400,0.0,0.0,BU,241700.0,303000.0,False,-10.0,14:10:27
6200.0,300,10.0,0.0,BU,241300.0,303000.0,False,0.0,14:09:54
6200.0,200,10.0,0.0,SD,241000.0,303000.0,False,0.0,14:09:47
6200.0,900,10.0,0.0,SD,241000.0,302800.0,False,-20.0,14:09:44
6220.0,100,30.0,0.0,BU,241000.0,301900.0,False,20.0,14:09:44
6200.0,100,10.0,0.0,BU,240900.0,301900.0,False,10.0,14:09:42
6190.0,100,0.0,0.0,SD,240800.0,301900.0,False,0.0,14:09:40
6190.0,1000,0.0,0.0,SD,240800.0,301800.0,False,0.0,14:09:40
6190.0,100,0.0,0.0,SD,240800.0,300800.0,False,0.0,14:09:40
6190.0,100,0.0,0.0,SD,240800.0,300700.0,False,0.0,14:09:40
6190.0,600,0.0,0.0,SD,240800.0,300600.0,False,0.0,14:09:40
6190.0,300,0.0,0.0,SD,240800.0,300000.0,False,0.0,14:09:40
6190.0,2800,0.0,0.0,SD,240800.0,299700.0,False,-10.0,14:09:40
6200.0,100,10.0,0.0,BU,240800.0,296900.0,False,10.0,14:08:14
6190.0,4000,0.0,0.0,SD,240700.0,296900.0,False,-10.0,14:07:56
6200.0,1000,10.0,0.0,BU,240700.0,292900.0,False,10.0,14:07:22
6190.0,3200,0.0,0.0,SD,239700.0,292900.0,False,0.0,14:06:23
6190.0,700,0.0,0.0,SD,239700.0,289700.0,False,0.0,14:06:23
6190.0,200,0.0,0.0,SD,239700.0,289000.0,False,0.0,14:05:22
6190.0,300,0.0,0.0,SD,239700.0,288800.0,False,0.0,14:05:22
6190.0,1500,0.0,0.0,SD,239700.0,288500.0,False,0.0,14:05:22
6190.0,5000,0.0,0.0,SD,239700.0,287000.0,False,0.0,14:05:22
6190.0,1000,0.0,0.0,SD,239700.0,282000.0,False,-10.0,14:05:22
6200.0,800,10.0,0.0,BU,239700.0,281000.0,False,-10.0,14:05:22
6210.0,800,20.0,0.0,BU,238900.0,281000.0,False,10.0,14:05:00
6200.0,9200,10.0,0.0,SD,238100.0,281000.0,False,0.0,14:04:56
6200.0,100,10.0,0.0,SD,238100.0,271800.0,False,0.0,14:04:56
6200.0,2000,10.0,0.0,SD,238100.0,271700.0,False,0.0,14:04:56
6200.0,700,10.0,0.0,SD,238100.0,269700.0,False,-10.0,14:04:56
6210.0,400,20.0,0.0,BU,238100.0,269000.0,False,0.0,14:04:40
6210.0,600,20.0,0.0,BU,237700.0,269000.0,False,0.0,14:04:40
6210.0,100,20.0,0.0,BU,237100.0,269000.0,False,0.0,14:04:20
6210.0,200,20.0,0.0,BU,237000.0,269000.0,False,0.0,14:02:38
6210.0,2100,20.0,0.0,BU,236800.0,269000.0,False,0.0,14:01:30
6210.0,200,20.0,0.0,BU,234700.0,269000.0,False,0.0,14:01:25
6210.0,100,20.0,0.0,BU,234500.0,269000.0,False,-10.0,14:01:25
6220.0,300,30.0,0.0,BU,234400.0,269000.0,False,0.0,14:01:24
6220.0,400,30.0,0.0,BU,234100.0,269000.0,False,0.0,14:01:14
6220.0,200,30.0,0.0,SD,233700.0,269000.0,False,0.0,14:01:09
6220.0,9800,30.0,0.0,SD,233700.0,268800.0,False,0.0,14:01:09
6220.0,200,30.0,0.0,SD,233700.0,259000.0,False,10.0,14:01:07
6210.0,900,20.0,0.0,SD,233700.0,258800.0,False,0.0,14:00:17
6210.0,400,20.0,0.0,SD,233700.0,257900.0,False,-10.0,14:00:17
6220.0,2000,30.0,0.0,BU,233700.0,257500.0,False,0.0,14:00:17
