p,v,cp,rcp,a,ba,sa,hl,pcp,t
13800.0,20800,100.0,0.0,,43300.0,39700.0,False,300.0,14:45:00
13500.0,400,-200.0,0.0,BU,43300.0,39700.0,False,0.0,14:29:09
13500.0,100,-200.0,0.0,BU,42900.0,39700.0,False,150.0,14:28:04
13350.0,500,-350.0,0.0,SD,42800.0,39700.0,False,-50.0,14:27:52
13400.0,100,-300.0,0.0,SD,42800.0,39200.0,False,0.0,14:27:13
13400.0,100,-300.0,0.0,SD,42800.0,39100.0,False,0.0,14:25:46
13400.0,100,-300.0,0.0,SD,42800.0,39000.0,False,-100.0,14:24:32
13500.0,300,-200.0,0.0,SD,42800.0,38900.0,False,0.0,14:23:20
13500.0,200,-200.0,0.0,SD,42800.0,38600.0,False,0.0,14:23:20
13500.0,200,-200.0,0.0,SD,42800.0,38400.0,False,0.0,14:22:56
13500.0,200,-200.0,0.0,SD,42800.0,38200.0,False,0.0,14:22:15
13500.0,700,-200.0,0.0,SD,42800.0,38000.0,False,0.0,14:19:44
13500.0,1000,-200.0,0.0,BU,42800.0,37300.0,False,0.0,14:18:51
13500.0,300,-200.0,0.0,BU,41800.0,37300.0,False,0.0,14:18:38
13500.0,1000,-200.0,0.0,BU,41500.0,37300.0,False,0.0,14:18:36
13500.0,1000,-200.0,0.0,BU,40500.0,37300.0,False,0.0,14:18:36
13500.0,1000,-200.0,0.0,BU,39500.0,37300.0,False,0.0,14:17:56
13500.0,1000,-200.0,0.0,BU,38500.0,37300.0,False,0.0,14:17:30
13500.0,200,-200.0,0.0,BU,37500.0,37300.0,False,0.0,14:17:29
13500.0,2000,-200.0,0.0,BU,37300.0,37300.0,False,0.0,14:17:19
13500.0,500,-200.0,0.0,BU,35300.0,37300.0,False,0.0,14:16:41
13500.0,6300,-200.0,0.0,BU,34800.0,37300.0,False,0.0,14:16:26
13500.0,6300,-200.0,0.0,BU,28500.0,37300.0,False,0.0,14:16:26
