p,v,cp,rcp,a,ba,sa,hl,pcp,t
4000.0,20700,-100.0,0.0,,347500.0,412100.0,False,-100.0,14:45:01
4100.0,100,0.0,0.0,BU,347500.0,412100.0,False,100.0,14:29:54
4000.0,25000,-100.0,0.0,SD,347400.0,412100.0,False,-100.0,14:29:13
4100.0,1000,0.0,0.0,BU,347400.0,387100.0,False,0.0,14:29:11
4100.0,500,0.0,0.0,BU,346400.0,387100.0,False,0.0,14:26:45
4100.0,100,0.0,0.0,BU,345900.0,387100.0,False,0.0,14:26:14
4100.0,100,0.0,0.0,BU,345800.0,387100.0,False,100.0,14:25:22
4000.0,100,-100.0,0.0,SD,345700.0,387100.0,False,-100.0,14:24:02
4100.0,300,0.0,0.0,BU,345700.0,387000.0,False,0.0,14:20:52
4100.0,100,0.0,0.0,BU,345400.0,387000.0,False,100.0,14:16:23
4000.0,100,-100.0,0.0,SD,345300.0,387000.0,False,-100.0,14:15:37
4100.0,100,0.0,0.0,BU,345300.0,386900.0,False,100.0,14:15:13
4000.0,8100,-100.0,0.0,SD,345200.0,386900.0,False,0.0,14:14:15
4000.0,5000,-100.0,0.0,BU,345200.0,378800.0,False,0.0,14:14:13
4000.0,1400,-100.0,0.0,BU,340200.0,378800.0,False,0.0,14:11:46
4000.0,100,-100.0,0.0,BU,338800.0,378800.0,False,0.0,14:11:12
4000.0,22500,-100.0,0.0,SD,338700.0,378800.0,False,0.0,14:10:55
4000.0,700,-100.0,0.0,SD,338700.0,356300.0,False,0.0,14:09:15
4000.0,3000,-100.0,0.0,SD,338700.0,355600.0,False,0.0,14:09:08
4000.0,3000,-100.0,0.0,SD,338700.0,352600.0,False,0.0,14:05:09
4000.0,200,-100.0,0.0,SD,338700.0,349600.0,False,0.0,14:01:34
4000.0,100,-100.0,0.0,SD,338700.0,349400.0,False,-100.0,14:00:08
4100.0,100,0.0,0.0,BU,338700.0,349300.0,False,100.0,13:58:02
4000.0,1000,-100.0,0.0,SD,338600.0,349300.0,False,0.0,13:57:10
4000.0,2000,-100.0,0.0,BU,338600.0,348300.0,False,0.0,13:56:09
4000.0,1000,-100.0,0.0,BU,336600.0,348300.0,False,0.0,13:55:56
4000.0,800,-100.0,0.0,BU,335600.0,348300.0,False,0.0,13:55:32
4000.0,1500,-100.0,0.0,BU,334800.0,348300.0,False,0.0,13:54:05
