p,v,cp,rcp,a,ba,sa,hl,pcp,t
7000.0,12900,-200.0,0.0,,276000.0,451900.0,False,0.0,14:45:01
7000.0,2900,-200.0,0.0,SD,276000.0,451900.0,False,-100.0,14:29:27
7100.0,100,-100.0,0.0,BU,276000.0,449000.0,False,100.0,14:28:58
7000.0,1300,-200.0,0.0,SD,275900.0,449000.0,False,0.0,14:25:54
7000.0,6200,-200.0,0.0,SD,275900.0,447700.0,False,0.0,14:25:46
7000.0,300,-200.0,0.0,SD,275900.0,441500.0,False,0.0,14:25:20
7000.0,4000,-200.0,0.0,SD,275900.0,441200.0,False,0.0,14:25:16
7000.0,600,-200.0,0.0,SD,275900.0,437200.0,False,0.0,14:23:01
7000.0,4100,-200.0,0.0,SD,275900.0,436600.0,False,-100.0,14:22:00
7100.0,300,-100.0,0.0,BU,275900.0,432500.0,False,0.0,14:21:04
7100.0,1000,-100.0,0.0,BU,275600.0,432500.0,False,0.0,14:20:32
7100.0,200,-100.0,0.0,BU,274600.0,432500.0,False,0.0,14:20:29
7100.0,2000,-100.0,0.0,BU,274400.0,432500.0,False,0.0,14:20:02
7100.0,200,-100.0,0.0,BU,272400.0,432500.0,False,0.0,14:19:40
7100.0,500,-100.0,0.0,BU,272200.0,432500.0,False,0.0,14:19:21
7100.0,2000,-100.0,0.0,BU,271700.0,432500.0,False,0.0,14:18:55
7100.0,2000,-100.0,0.0,BU,269700.0,432500.0,False,0.0,14:17:29
7100.0,100,-100.0,0.0,BU,267700.0,432500.0,False,0.0,14:17:16
7100.0,2000,-100.0,0.0,BU,267600.0,432500.0,False,0.0,14:17:11
7100.0,500,-100.0,0.0,BU,265600.0,432500.0,False,0.0,14:17:01
7100.0,400,-100.0,0.0,BU,265100.0,432500.0,False,0.0,14:16:49
7100.0,3500,-100.0,0.0,BU,264700.0,432500.0,False,100.0,14:16:48
7000.0,100,-200.0,0.0,SD,261200.0,432500.0,False,0.0,14:16:45
7000.0,8000,-200.0,0.0,SD,261200.0,432400.0,False,-100.0,14:15:47
7100.0,100,-100.0,0.0,BU,261200.0,424400.0,False,100.0,14:14:34
7000.0,100,-200.0,0.0,SD,261100.0,424400.0,False,0.0,14:12:55
7000.0,400,-200.0,0.0,SD,261100.0,424300.0,False,0.0,14:11:52
7000.0,100,-200.0,0.0,BU,261100.0,423900.0,False,0.0,14:11:43
7000.0,200,-200.0,0.0,BU,261000.0,423900.0,False,0.0,14:09:53
7000.0,14700,-200.0,0.0,SD,260800.0,423900.0,False,0.0,14:09:45
