p,v,cp,rcp,a,ba,sa,hl,pcp,t
10800.0,20700,-300.0,0.0,,55800.0,100300.0,False,-200.0,14:45:01
11000.0,1000,-100.0,0.0,BU,55800.0,100300.0,False,0.0,14:29:46
11000.0,100,-100.0,0.0,BU,54800.0,100300.0,False,-100.0,14:27:50
11100.0,2600,0.0,0.0,BU,54700.0,100300.0,False,100.0,14:27:30
11000.0,7400,-100.0,0.0,BU,52100.0,100300.0,False,100.0,14:27:05
10900.0,100,-200.0,0.0,SD,44700.0,100300.0,False,0.0,14:25:51
10900.0,100,-200.0,0.0,SD,44700.0,100200.0,False,0.0,14:25:35
10900.0,2000,-200.0,0.0,SD,44700.0,100100.0,False,-100.0,14:25:27
11000.0,1000,-100.0,0.0,BU,44700.0,98100.0,False,0.0,14:24:04
11000.0,2400,-100.0,0.0,SD,43700.0,98100.0,False,-100.0,14:22:47
11100.0,100,0.0,0.0,BU,43700.0,95700.0,False,100.0,14:21:21
11000.0,100,-100.0,0.0,BU,43600.0,95700.0,False,0.0,14:19:12
11000.0,900,-100.0,0.0,SD,43500.0,95700.0,False,0.0,14:17:58
11000.0,100,-100.0,0.0,SD,43500.0,94800.0,False,0.0,14:17:54
11000.0,2300,-100.0,0.0,SD,43500.0,94700.0,False,0.0,14:17:46
11000.0,200,-100.0,0.0,BU,43500.0,92400.0,False,0.0,14:14:49
11000.0,500,-100.0,0.0,BU,43300.0,92400.0,False,0.0,14:12:11
11000.0,200,-100.0,0.0,SD,42800.0,92400.0,False,0.0,14:07:57
11000.0,300,-100.0,0.0,SD,42800.0,92200.0,False,0.0,14:07:00
11000.0,200,-100.0,0.0,SD,42800.0,91900.0,False,0.0,14:06:37
11000.0,2000,-100.0,0.0,SD,42800.0,91700.0,False,-100.0,14:06:17
11100.0,100,0.0,0.0,BU,42800.0,89700.0,False,100.0,13:57:36
11000.0,100,-100.0,0.0,SD,42700.0,89700.0,False,0.0,13:54:04
11000.0,200,-100.0,0.0,SD,42700.0,89600.0,False,0.0,13:52:30
11000.0,500,-100.0,0.0,BU,42700.0,89400.0,False,0.0,13:51:05
11000.0,1400,-100.0,0.0,BU,42200.0,89400.0,False,0.0,13:50:27
11000.0,2000,-100.0,0.0,SD,40800.0,89400.0,False,0.0,13:49:06
11000.0,400,-100.0,0.0,SD,40800.0,87400.0,False,0.0,13:45:35
11000.0,500,-100.0,0.0,SD,40800.0,87000.0,False,0.0,13:45:24
11000.0,200,-100.0,0.0,SD,40800.0,86500.0,False,0.0,13:45:16
11000.0,1000,-100.0,0.0,SD,40800.0,86300.0,False,0.0,13:45:14
11000.0,100,-100.0,0.0,SD,40800.0,85300.0,False,0.0,13:45:02
11000.0,1500,-100.0,0.0,SD,40800.0,85200.0,False,-100.0,13:44:25
11100.0,200,0.0,0.0,BU,40800.0,83700.0,False,0.0,13:43:00
11100.0,600,0.0,0.0,BU,40600.0,83700.0,False,0.0,13:42:11
11100.0,500,0.0,0.0,BU,40000.0,83700.0,False,100.0,13:41:14
11000.0,700,-100.0,0.0,BU,39500.0,83700.0,False,100.0,13:39:39
10900.0,200,-200.0,0.0,SD,38800.0,83700.0,False,0.0,13:39:18
10900.0,5000,-200.0,0.0,BU,38800.0,83500.0,False,0.0,13:39:11
10900.0,100,-200.0,0.0,BU,33800.0,83500.0,False,100.0,13:39:07
10800.0,700,-300.0,0.0,BU,33700.0,83500.0,False,0.0,13:27:12
10800.0,1500,-300.0,0.0,SD,33000.0,83500.0,False,0.0,13:26:50
10800.0,1000,-300.0,0.0,SD,33000.0,82000.0,False,0.0,13:24:46
10800.0,2000,-300.0,0.0,SD,33000.0,81000.0,False,0.0,13:24:08
10800.0,1000,-300.0,0.0,SD,33000.0,79000.0,False,0.0,13:22:23
10800.0,1200,-300.0,0.0,BU,33000.0,78000.0,False,0.0,13:21:04
10800.0,100,-300.0,0.0,BU,31800.0,78000.0,False,0.0,13:20:44
10800.0,100,-300.0,0.0,BU,31700.0,78000.0,False,0.0,13:20:35
10800.0,5000,-300.0,0.0,BU,31600.0,78000.0,False,0.0,13:20:26
10800.0,100,-300.0,0.0,BU,26600.0,78000.0,False,0.0,13:20:04
10800.0,100,-300.0,0.0,BU,26500.0,78000.0,False,0.0,13:19:57
10800.0,300,-300.0,0.0,BU,26400.0,78000.0,False,0.0,13:18:44
10800.0,200,-300.0,0.0,BU,26100.0,78000.0,False,0.0,13:17:54
10800.0,100,-300.0,0.0,BU,25900.0,78000.0,False,100.0,13:17:41
10700.0,2000,-400.0,0.0,SD,25800.0,78000.0,False,-100.0,13:17:40
10800.0,100,-300.0,0.0,BU,25800.0,76000.0,False,0.0,13:17:14
10800.0,1000,-300.0,0.0,BU,25700.0,76000.0,False,0.0,13:17:06
10800.0,4000,-300.0,0.0,BU,24700.0,76000.0,False,0.0,13:16:20
10800.0,700,-300.0,0.0,BU,20700.0,76000.0,False,0.0,13:15:38
10800.0,300,-300.0,0.0,BU,20000.0,76000.0,False,0.0,13:15:17
10800.0,100,-300.0,0.0,BU,19700.0,76000.0,False,0.0,13:14:44
10800.0,2000,-300.0,0.0,BU,19600.0,76000.0,False,0.0,13:08:31
10800.0,4000,-300.0,0.0,SD,17600.0,76000.0,False,0.0,13:08:05
10800.0,5000,-300.0,0.0,SD,17600.0,72000.0,False,0.0,13:07:50
10800.0,2200,-300.0,0.0,SD,17600.0,67000.0,False,0.0,13:05:44
10800.0,2400,-300.0,0.0,SD,17600.0,64800.0,False,0.0,13:05:23
10800.0,1400,-300.0,0.0,SD,17600.0,62400.0,False,-100.0,13:02:48
10900.0,100,-200.0,0.0,BU,17600.0,61000.0,False,0.0,13:00:08
10900.0,100,-200.0,0.0,BU,17500.0,61000.0,False,0.0,13:00:07
10900.0,100,-200.0,0.0,BU,17400.0,61000.0,False,0.0,11:28:09
10900.0,700,-200.0,0.0,BU,17300.0,61000.0,False,0.0,11:23:56
10900.0,100,-200.0,0.0,BU,16600.0,61000.0,False,0.0,11:23:12
10900.0,100,-200.0,0.0,BU,16500.0,61000.0,False,100.0,11:22:54
10800.0,400,-300.0,0.0,SD,16400.0,61000.0,False,0.0,11:22:37
10800.0,100,-300.0,0.0,SD,16400.0,60600.0,False,-100.0,11:10:50
10900.0,3000,-200.0,0.0,BU,16400.0,60500.0,False,0.0,11:07:46
10900.0,200,-200.0,0.0,BU,13400.0,60500.0,False,0.0,11:06:08
10900.0,100,-200.0,0.0,BU,13200.0,60500.0,False,0.0,11:05:31
10900.0,500,-200.0,0.0,BU,13100.0,60500.0,False,0.0,10:59:42
10900.0,100,-200.0,0.0,BU,12600.0,60500.0,False,0.0,10:57:02
10900.0,500,-200.0,0.0,BU,12500.0,60500.0,False,0.0,10:57:00
10900.0,400,-200.0,0.0,BU,12000.0,60500.0,False,0.0,10:56:56
10900.0,1000,-200.0,0.0,BU,11600.0,60500.0,False,100.0,10:56:40
10800.0,200,-300.0,0.0,SD,10600.0,60500.0,False,0.0,10:51:20
10800.0,100,-300.0,0.0,BU,10600.0,60300.0,False,0.0,10:51:14
10800.0,300,-300.0,0.0,BU,10500.0,60300.0,False,0.0,10:50:51
10800.0,4400,-300.0,0.0,BU,10200.0,60300.0,False,0.0,10:50:45
10800.0,15000,-300.0,0.0,SD,5800.0,60300.0,False,0.0,10:49:32
10800.0,1000,-300.0,0.0,SD,5800.0,45300.0,False,0.0,10:42:48
10800.0,1000,-300.0,0.0,SD,5800.0,44300.0,False,-100.0,10:40:16
10900.0,100,-200.0,0.0,BU,5800.0,43300.0,False,0.0,10:39:32
10900.0,100,-200.0,0.0,BU,5700.0,43300.0,False,0.0,10:38:07
10900.0,100,-200.0,0.0,BU,5600.0,43300.0,False,0.0,10:37:45
10900.0,5400,-200.0,0.0,SD,5500.0,43300.0,False,0.0,10:35:31
10900.0,3700,-200.0,0.0,SD,5500.0,37900.0,False,0.0,10:34:20
10900.0,1300,-200.0,0.0,SD,5500.0,34200.0,False,-100.0,10:33:22
11000.0,1300,-100.0,0.0,BU,5500.0,32900.0,False,0.0,10:32:42
11000.0,200,-100.0,0.0,SD,4200.0,32900.0,False,0.0,10:22:30
11000.0,100,-100.0,0.0,BU,4200.0,32700.0,False,0.0,10:21:40
11000.0,700,-100.0,0.0,SD,4100.0,32700.0,False,0.0,10:21:06
11000.0,300,-100.0,0.0,SD,4100.0,32000.0,False,0.0,10:20:43
11000.0,100,-100.0,0.0,BU,4100.0,31700.0,False,0.0,10:20:42
11000.0,5800,-100.0,0.0,SD,4000.0,31700.0,False,0.0,10:20:22
11000.0,100,-100.0,0.0,SD,4000.0,25900.0,False,0.0,10:20:19
11000.0,5000,-100.0,0.0,SD,4000.0,25800.0,False,0.0,10:19:59
11000.0,200,-100.0,0.0,SD,4000.0,20800.0,False,0.0,10:19:35
11000.0,100,-100.0,0.0,SD,4000.0,20600.0,False,0.0,10:15:50
11000.0,100,-100.0,0.0,SD,4000.0,20500.0,False,-100.0,10:13:44
