p,v,cp,rcp,a,ba,sa,hl,pcp,t
18800.0,400,100.0,0.0,,47700.0,35200.0,False,0.0,14:45:00
18800.0,100,100.0,0.0,BU,47700.0,35200.0,False,50.0,14:29:48
18750.0,2000,50.0,0.0,SD,47600.0,35200.0,False,-50.0,14:29:31
18800.0,200,100.0,0.0,BU,47600.0,33200.0,False,50.0,14:28:42
18750.0,300,50.0,0.0,BU,47400.0,33200.0,False,0.0,14:28:30
18750.0,700,50.0,0.0,BU,47100.0,33200.0,False,0.0,14:26:35
18750.0,1000,50.0,0.0,SD,46400.0,33200.0,False,0.0,14:24:36
18750.0,1000,50.0,0.0,SD,46400.0,32200.0,False,-50.0,14:24:36
18800.0,100,100.0,0.0,SD,46400.0,31200.0,False,0.0,14:23:22
18800.0,500,100.0,0.0,SD,46400.0,31100.0,False,0.0,14:23:22
18800.0,300,100.0,0.0,SD,46400.0,30600.0,False,0.0,14:23:22
18800.0,1000,100.0,0.0,SD,46400.0,30300.0,False,0.0,14:23:22
18800.0,2000,100.0,0.0,SD,46400.0,29300.0,False,0.0,14:23:22
18800.0,400,100.0,0.0,SD,46400.0,27300.0,False,0.0,14:21:12
18800.0,400,100.0,0.0,SD,46400.0,26900.0,False,-50.0,14:21:12
18850.0,1700,150.0,0.0,BU,46400.0,26500.0,False,0.0,14:19:52
18850.0,200,150.0,0.0,BU,44700.0,26500.0,False,0.0,14:19:52
18850.0,100,150.0,0.0,BU,44500.0,26500.0,False,50.0,14:19:52
18800.0,200,100.0,0.0,BU,44400.0,26500.0,False,0.0,14:18:26
18800.0,300,100.0,0.0,BU,44200.0,26500.0,False,0.0,14:18:26
18800.0,1900,100.0,0.0,BU,43900.0,26500.0,False,50.0,14:18:26
18750.0,600,50.0,0.0,BU,42000.0,26500.0,False,0.0,14:11:55
18750.0,2000,50.0,0.0,BU,41400.0,26500.0,False,-50.0,14:07:49
18800.0,100,100.0,0.0,BU,39400.0,26500.0,False,0.0,14:04:47
18800.0,1000,100.0,0.0,SD,39300.0,26500.0,False,0.0,14:02:10
18800.0,200,100.0,0.0,SD,39300.0,25500.0,False,0.0,14:02:10
18800.0,800,100.0,0.0,SD,39300.0,25300.0,False,0.0,14:01:46
18800.0,100,100.0,0.0,SD,39300.0,24500.0,False,0.0,14:01:11
18800.0,100,100.0,0.0,SD,39300.0,24400.0,False,0.0,14:00:08
18800.0,500,100.0,0.0,SD,39300.0,24300.0,False,0.0,13:59:54
18800.0,1500,100.0,0.0,BU,39300.0,23800.0,False,0.0,13:56:26
18800.0,500,100.0,0.0,BU,37800.0,23800.0,False,0.0,13:56:26
18800.0,2000,100.0,0.0,BU,37300.0,23800.0,False,50.0,13:55:30
18750.0,3000,50.0,0.0,BU,35300.0,23800.0,False,0.0,13:54:51
18750.0,100,50.0,0.0,BU,32300.0,23800.0,False,0.0,13:52:02
18750.0,100,50.0,0.0,SD,32200.0,23800.0,False,0.0,13:49:56
18750.0,800,50.0,0.0,SD,32200.0,23700.0,False,0.0,13:49:19
18750.0,200,50.0,0.0,SD,32200.0,22900.0,False,-50.0,13:49:19
18800.0,500,100.0,0.0,SD,32200.0,22700.0,False,0.0,13:46:52
18800.0,100,100.0,0.0,BU,32200.0,22200.0,False,0.0,13:46:28
18800.0,200,100.0,0.0,BU,32100.0,22200.0,False,0.0,13:44:58
18800.0,200,100.0,0.0,BU,31900.0,22200.0,False,0.0,13:42:18
18800.0,200,100.0,0.0,BU,31700.0,22200.0,False,0.0,13:40:04
18800.0,500,100.0,0.0,BU,31500.0,22200.0,False,0.0,13:33:29
18800.0,100,100.0,0.0,BU,31000.0,22200.0,False,0.0,13:32:49
18800.0,6100,100.0,0.0,BU,30900.0,22200.0,False,0.0,13:32:49
18800.0,1900,100.0,0.0,BU,24800.0,22200.0,False,0.0,13:28:13
18800.0,2600,100.0,0.0,SD,22900.0,22200.0,False,0.0,13:27:40
18800.0,200,100.0,0.0,SD,22900.0,19600.0,False,0.0,13:27:34
18800.0,300,100.0,0.0,SD,22900.0,19400.0,False,0.0,13:27:26
18800.0,700,100.0,0.0,SD,22900.0,19100.0,False,0.0,13:26:17
18800.0,200,100.0,0.0,SD,22900.0,18400.0,False,0.0,13:24:59
18800.0,400,100.0,0.0,SD,22900.0,18200.0,False,0.0,13:24:10
18800.0,1700,100.0,0.0,SD,22900.0,17800.0,False,0.0,13:23:22
18800.0,1200,100.0,0.0,BU,22900.0,16100.0,False,50.0,13:19:02
18750.0,100,50.0,0.0,SD,21700.0,16100.0,False,0.0,13:15:17
18750.0,4700,50.0,0.0,SD,21700.0,16000.0,False,0.0,13:14:39
18750.0,300,50.0,0.0,SD,21700.0,11300.0,False,-50.0,13:14:39
18800.0,3800,100.0,0.0,SD,21700.0,11000.0,False,0.0,13:14:23
18800.0,200,100.0,0.0,SD,21700.0,7200.0,False,0.0,13:13:29
18800.0,1000,100.0,0.0,SD,21700.0,7000.0,False,-50.0,13:13:05
18850.0,900,150.0,0.0,BU,21700.0,6000.0,False,-50.0,13:13:04
18900.0,1000,200.0,0.0,BU,20800.0,6000.0,False,0.0,13:08:04
18900.0,100,200.0,0.0,BU,19800.0,6000.0,False,0.0,13:06:21
18900.0,100,200.0,0.0,BU,19700.0,6000.0,False,0.0,13:06:21
18900.0,400,200.0,0.0,BU,19600.0,6000.0,False,150.0,13:05:54
18750.0,300,50.0,0.0,SD,19200.0,6000.0,False,-50.0,13:04:01
18800.0,100,100.0,0.0,BU,19200.0,5700.0,False,50.0,13:04:01
18750.0,200,50.0,0.0,SD,19100.0,5700.0,False,0.0,13:03:11
18750.0,200,50.0,0.0,SD,19100.0,5500.0,False,0.0,13:00:02
18750.0,500,50.0,0.0,BU,19100.0,5300.0,False,0.0,11:24:25
18750.0,5500,50.0,0.0,BU,18600.0,5300.0,False,0.0,11:23:16
18750.0,500,50.0,0.0,BU,13100.0,5300.0,False,0.0,11:23:16
18750.0,2000,50.0,0.0,BU,12600.0,5300.0,False,0.0,11:23:16
18750.0,2000,50.0,0.0,BU,10600.0,5300.0,False,0.0,11:23:16
18750.0,1800,50.0,0.0,BU,8600.0,5300.0,False,0.0,11:00:39
18750.0,1000,50.0,0.0,SD,6800.0,5300.0,False,0.0,10:58:04
18750.0,2000,50.0,0.0,SD,6800.0,4300.0,False,50.0,10:58:04
18700.0,300,0.0,0.0,SD,6800.0,2300.0,False,0.0,10:21:00
18700.0,500,0.0,0.0,BU,6800.0,2000.0,False,0.0,10:19:21
18700.0,500,0.0,0.0,BU,6300.0,2000.0,False,0.0,10:19:21
18700.0,100,0.0,0.0,BU,5800.0,2000.0,False,0.0,10:19:21
18700.0,200,0.0,0.0,BU,5700.0,2000.0,False,-50.0,10:19:21
18750.0,100,50.0,0.0,BU,5500.0,2000.0,False,0.0,10:19:21
18750.0,1000,50.0,0.0,BU,5400.0,2000.0,False,0.0,10:19:21
18750.0,100,50.0,0.0,BU,4400.0,2000.0,False,-100.0,10:19:21
18850.0,500,150.0,0.0,BU,4300.0,2000.0,False,-50.0,10:19:21
18900.0,100,200.0,0.0,SD,3800.0,2000.0,False,0.0,10:05:43
