p,v,cp,rcp,a,ba,sa,hl,pcp,t
44350.0,53400,-50.0,0.0,,274100.0,360700.0,False,-150.0,14:45:00
44500.0,100,100.0,0.0,SD,274100.0,360700.0,False,0.0,14:29:52
44500.0,100,100.0,0.0,SD,274100.0,360600.0,False,50.0,14:29:52
44450.0,1800,50.0,0.0,SD,274100.0,360500.0,False,0.0,14:29:44
44450.0,1900,50.0,0.0,SD,274100.0,358700.0,False,0.0,14:29:44
44450.0,900,50.0,0.0,SD,274100.0,356800.0,False,-50.0,14:29:25
44500.0,500,100.0,0.0,BU,274100.0,355900.0,False,0.0,14:29:25
44500.0,300,100.0,0.0,SD,273600.0,355900.0,False,-50.0,14:29:06
44550.0,300,150.0,0.0,SD,273600.0,355600.0,False,-100.0,14:28:49
44650.0,1000,250.0,0.0,BU,273600.0,355300.0,False,0.0,14:27:57
44650.0,600,250.0,0.0,BU,272600.0,355300.0,False,0.0,14:27:57
44650.0,100,250.0,0.0,BU,272000.0,355300.0,False,0.0,14:27:57
44650.0,500,250.0,0.0,BU,271900.0,355300.0,False,0.0,14:27:57
44650.0,5000,250.0,0.0,BU,271400.0,355300.0,True,0.0,14:27:57
44650.0,500,250.0,0.0,BU,266400.0,355300.0,False,50.0,14:27:57
44600.0,300,200.0,0.0,BU,265900.0,355300.0,False,0.0,14:27:57
44600.0,1000,200.0,0.0,BU,265600.0,355300.0,False,0.0,14:27:57
44600.0,200,200.0,0.0,BU,264600.0,355300.0,False,50.0,14:27:57
44550.0,200,150.0,0.0,SD,264400.0,355300.0,False,0.0,14:27:38
44550.0,900,150.0,0.0,SD,264400.0,355100.0,False,0.0,14:27:24
44550.0,200,150.0,0.0,SD,264400.0,354200.0,False,0.0,14:27:18
44550.0,900,150.0,0.0,SD,264400.0,354000.0,False,0.0,14:27:09
44550.0,200,150.0,0.0,SD,264400.0,353100.0,False,0.0,14:26:56
44550.0,1000,150.0,0.0,SD,264400.0,352900.0,False,0.0,14:26:51
44550.0,100,150.0,0.0,BU,264400.0,351900.0,False,50.0,14:26:50
44500.0,800,100.0,0.0,SD,264300.0,351900.0,False,0.0,14:26:48
44500.0,100,100.0,0.0,SD,264300.0,351100.0,False,0.0,14:26:48
44500.0,300,100.0,0.0,SD,264300.0,351000.0,False,0.0,14:26:40
44500.0,200,100.0,0.0,SD,264300.0,350700.0,False,0.0,14:26:37
44500.0,900,100.0,0.0,SD,264300.0,350500.0,False,0.0,14:26:33
44500.0,100,100.0,0.0,SD,264300.0,349600.0,False,0.0,14:26:20
44500.0,900,100.0,0.0,SD,264300.0,349500.0,False,0.0,14:26:19
44500.0,200,100.0,0.0,SD,264300.0,348600.0,False,0.0,14:26:17
44500.0,200,100.0,0.0,SD,264300.0,348400.0,False,0.0,14:26:15
44500.0,100,100.0,0.0,SD,264300.0,348200.0,False,0.0,14:26:09
44500.0,300,100.0,0.0,SD,264300.0,348100.0,False,0.0,14:26:06
44500.0,900,100.0,0.0,SD,264300.0,347800.0,False,0.0,14:26:01
44500.0,100,100.0,0.0,SD,264300.0,346900.0,False,0.0,14:25:53
44500.0,700,100.0,0.0,SD,264300.0,346800.0,False,0.0,14:25:38
44500.0,200,100.0,0.0,SD,264300.0,346100.0,False,0.0,14:25:38
44500.0,200,100.0,0.0,SD,264300.0,345900.0,False,0.0,14:25:37
44500.0,200,100.0,0.0,SD,264300.0,345700.0,False,0.0,14:25:35
44500.0,2000,100.0,0.0,SD,264300.0,345500.0,False,0.0,14:25:18
44500.0,100,100.0,0.0,SD,264300.0,343500.0,False,0.0,14:25:01
44500.0,1000,100.0,0.0,SD,264300.0,343400.0,False,0.0,14:25:00
