p,v,cp,rcp,a,ba,sa,hl,pcp,t
87300.0,20600,300.0,0.0,,47500.0,27200.0,False,600.0,14:45:01
86700.0,100,-300.0,0.0,BU,47500.0,27200.0,False,600.0,14:29:30
86100.0,200,-900.0,0.0,SD,47400.0,27200.0,False,0.0,14:28:56
86100.0,100,-900.0,0.0,SD,47400.0,27000.0,False,0.0,14:28:56
86100.0,100,-900.0,0.0,SD,47400.0,26900.0,False,0.0,14:28:56
86100.0,100,-900.0,0.0,SD,47400.0,26800.0,False,0.0,14:28:56
86100.0,300,-900.0,0.0,SD,47400.0,26700.0,False,0.0,14:28:56
86100.0,100,-900.0,0.0,SD,47400.0,26400.0,False,0.0,14:28:56
86100.0,1600,-900.0,0.0,SD,47400.0,26300.0,False,-600.0,14:28:56
86700.0,100,-300.0,0.0,BU,47400.0,24700.0,False,400.0,14:27:18
86300.0,100,-700.0,0.0,BU,47300.0,24700.0,False,200.0,14:25:07
86100.0,400,-900.0,0.0,SD,47200.0,24700.0,False,0.0,14:24:01
86100.0,100,-900.0,0.0,SD,47200.0,24300.0,False,-100.0,14:24:01
86200.0,100,-800.0,0.0,SD,47200.0,24200.0,False,0.0,14:24:01
86200.0,100,-800.0,0.0,SD,47200.0,24100.0,False,0.0,14:24:01
86200.0,500,-800.0,0.0,SD,47200.0,24000.0,False,-100.0,14:24:01
86300.0,100,-700.0,0.0,SD,47200.0,23500.0,False,0.0,14:23:50
86300.0,100,-700.0,0.0,SD,47200.0,23400.0,False,-400.0,14:23:50
86700.0,100,-300.0,0.0,BU,47200.0,23300.0,False,0.0,14:22:56
86700.0,100,-300.0,0.0,BU,47100.0,23300.0,False,0.0,14:20:45
86700.0,100,-300.0,0.0,BU,47000.0,23300.0,False,400.0,14:18:34
86300.0,100,-700.0,0.0,SD,46900.0,23300.0,False,-100.0,14:16:29
86400.0,100,-600.0,0.0,SD,46900.0,23200.0,False,0.0,14:16:29
86400.0,400,-600.0,0.0,BU,46900.0,23100.0,False,0.0,14:16:27
86400.0,100,-600.0,0.0,BU,46500.0,23100.0,False,0.0,14:16:23
86400.0,500,-600.0,0.0,BU,46400.0,23100.0,False,-300.0,14:16:11
86700.0,100,-300.0,0.0,BU,45900.0,23100.0,False,0.0,14:14:12
86700.0,1300,-300.0,0.0,BU,45800.0,23100.0,False,100.0,14:13:04
86600.0,200,-400.0,0.0,BU,44500.0,23100.0,False,0.0,14:13:04
86600.0,500,-400.0,0.0,BU,44300.0,23100.0,False,0.0,14:13:04
86600.0,100,-400.0,0.0,BU,43800.0,23100.0,False,400.0,14:12:01
86200.0,300,-800.0,0.0,SD,43700.0,23100.0,False,-600.0,14:11:44
86800.0,100,-200.0,0.0,BU,43700.0,22800.0,False,600.0,14:09:50
86200.0,200,-800.0,0.0,SD,43600.0,22800.0,False,-700.0,14:09:45
86900.0,100,-100.0,0.0,BU,43600.0,22600.0,False,-100.0,14:07:40
87000.0,100,0.0,0.0,BU,43500.0,22600.0,False,0.0,14:05:28
87000.0,100,0.0,0.0,BU,43400.0,22600.0,False,0.0,14:03:18
87000.0,100,0.0,0.0,BU,43300.0,22600.0,False,0.0,14:02:32
87000.0,100,0.0,0.0,BU,43200.0,22600.0,False,0.0,14:02:32
87000.0,100,0.0,0.0,BU,43100.0,22600.0,False,0.0,14:01:06
87000.0,200,0.0,0.0,BU,43000.0,22600.0,False,0.0,14:00:40
87000.0,100,0.0,0.0,BU,42800.0,22600.0,False,600.0,13:59:09
86400.0,800,-600.0,0.0,SD,42700.0,22600.0,False,-600.0,13:58:58
87000.0,100,0.0,0.0,BU,42700.0,21800.0,False,600.0,13:58:55
86400.0,200,-600.0,0.0,BU,42600.0,21800.0,False,0.0,13:57:02
86400.0,1000,-600.0,0.0,BU,42400.0,21800.0,False,0.0,13:57:02
86400.0,400,-600.0,0.0,BU,41400.0,21800.0,False,0.0,13:57:02
86400.0,100,-600.0,0.0,BU,41000.0,21800.0,False,100.0,13:56:44
86300.0,1000,-700.0,0.0,BU,40900.0,21800.0,False,0.0,13:56:12
86300.0,100,-700.0,0.0,BU,39900.0,21800.0,False,0.0,13:54:59
86300.0,100,-700.0,0.0,BU,39800.0,21800.0,False,0.0,13:54:33
86300.0,100,-700.0,0.0,BU,39700.0,21800.0,False,0.0,13:54:25
86300.0,100,-700.0,0.0,BU,39600.0,21800.0,False,100.0,13:52:22
86200.0,200,-800.0,0.0,BU,39500.0,21800.0,False,0.0,13:50:15
86200.0,100,-800.0,0.0,SD,39300.0,21800.0,False,0.0,13:50:15
86200.0,300,-800.0,0.0,SD,39300.0,21700.0,False,-100.0,13:50:15
86300.0,100,-700.0,0.0,BU,39300.0,21400.0,False,0.0,13:50:11
86300.0,100,-700.0,0.0,BU,39200.0,21400.0,False,-100.0,13:49:27
86400.0,100,-600.0,0.0,BU,39100.0,21400.0,False,200.0,13:48:01
86200.0,200,-800.0,0.0,SD,39000.0,21400.0,False,-200.0,13:45:54
86400.0,100,-600.0,0.0,BU,39000.0,21200.0,False,100.0,13:45:50
86300.0,100,-700.0,0.0,BU,38900.0,21200.0,False,0.0,13:44:31
86300.0,100,-700.0,0.0,BU,38800.0,21200.0,False,0.0,13:43:38
86300.0,100,-700.0,0.0,BU,38700.0,21200.0,False,0.0,13:43:23
86300.0,100,-700.0,0.0,BU,38600.0,21200.0,False,0.0,13:43:23
86300.0,100,-700.0,0.0,BU,38500.0,21200.0,False,-100.0,13:43:23
86400.0,100,-600.0,0.0,BU,38400.0,21200.0,False,0.0,13:41:27
86400.0,100,-600.0,0.0,BU,38300.0,21200.0,False,0.0,13:39:17
86400.0,200,-600.0,0.0,BU,38200.0,21200.0,False,0.0,13:37:48
86400.0,100,-600.0,0.0,BU,38000.0,21200.0,False,100.0,13:37:05
86300.0,100,-700.0,0.0,SD,37900.0,21200.0,False,0.0,13:36:00
86300.0,900,-700.0,0.0,BU,37900.0,21100.0,False,0.0,13:35:17
86300.0,3000,-700.0,0.0,BU,37000.0,21100.0,True,0.0,13:34:58
86300.0,100,-700.0,0.0,BU,34000.0,21100.0,False,100.0,13:34:54
86200.0,800,-800.0,0.0,BU,33900.0,21100.0,False,0.0,13:34:42
86200.0,100,-800.0,0.0,BU,33100.0,21100.0,False,0.0,13:34:19
86200.0,100,-800.0,0.0,BU,33000.0,21100.0,False,-200.0,13:34:14
86400.0,100,-600.0,0.0,BU,32900.0,21100.0,False,0.0,13:32:44
86400.0,700,-600.0,0.0,BU,32800.0,21100.0,False,0.0,13:32:37
86400.0,300,-600.0,0.0,BU,32100.0,21100.0,False,0.0,13:32:37
86400.0,100,-600.0,0.0,BU,31800.0,21100.0,False,300.0,13:30:33
86100.0,100,-900.0,0.0,SD,31700.0,21100.0,False,0.0,13:30:26
86100.0,100,-900.0,0.0,SD,31700.0,21000.0,False,0.0,13:30:26
86100.0,100,-900.0,0.0,SD,31700.0,20900.0,False,-100.0,13:30:26
86200.0,100,-800.0,0.0,BU,31700.0,20800.0,False,0.0,13:29:40
86200.0,500,-800.0,0.0,BU,31600.0,20800.0,False,0.0,13:29:16
86200.0,100,-800.0,0.0,SD,31100.0,20800.0,False,0.0,13:28:45
86200.0,500,-800.0,0.0,SD,31100.0,20700.0,False,0.0,13:28:45
86200.0,500,-800.0,0.0,SD,31100.0,20200.0,False,0.0,13:28:45
86200.0,100,-800.0,0.0,SD,31100.0,19700.0,False,-200.0,13:28:45
86400.0,100,-600.0,0.0,BU,31100.0,19600.0,False,0.0,13:28:22
86400.0,500,-600.0,0.0,BU,31000.0,19600.0,False,0.0,13:26:26
86400.0,100,-600.0,0.0,BU,30500.0,19600.0,False,-100.0,13:26:10
86500.0,100,-500.0,0.0,BU,30400.0,19600.0,False,-100.0,13:23:59
86600.0,100,-400.0,0.0,BU,30300.0,19600.0,False,0.0,13:21:48
86600.0,100,-400.0,0.0,BU,30200.0,19600.0,False,-100.0,13:19:37
86700.0,100,-300.0,0.0,BU,30100.0,19600.0,False,600.0,13:17:26
86100.0,400,-900.0,0.0,SD,30000.0,19600.0,False,100.0,13:17:08
86000.0,100,-1000.0,0.0,BU,30000.0,19200.0,False,0.0,13:15:56
86000.0,200,-1000.0,0.0,BU,29900.0,19200.0,False,0.0,13:15:34
86000.0,100,-1000.0,0.0,SD,29700.0,19200.0,False,0.0,13:15:24
86000.0,100,-1000.0,0.0,SD,29700.0,19100.0,False,0.0,13:15:24
86000.0,100,-1000.0,0.0,SD,29700.0,19000.0,False,0.0,13:15:24
86000.0,100,-1000.0,0.0,SD,29700.0,18900.0,False,0.0,13:15:24
86000.0,100,-1000.0,0.0,SD,29700.0,18800.0,False,0.0,13:15:24
86000.0,200,-1000.0,0.0,SD,29700.0,18700.0,False,-100.0,13:15:24
86100.0,100,-900.0,0.0,BU,29700.0,18500.0,False,100.0,13:15:15
86000.0,400,-1000.0,0.0,SD,29600.0,18500.0,False,-100.0,13:15:03
86100.0,100,-900.0,0.0,BU,29600.0,18100.0,False,100.0,13:14:39
86000.0,600,-1000.0,0.0,SD,29500.0,18100.0,False,-100.0,13:14:14
86100.0,100,-900.0,0.0,SD,29500.0,17500.0,False,0.0,13:13:36
86100.0,500,-900.0,0.0,SD,29500.0,17400.0,False,0.0,13:13:36
86100.0,200,-900.0,0.0,SD,29500.0,16900.0,False,0.0,13:13:36
86100.0,500,-900.0,0.0,SD,29500.0,16700.0,False,0.0,13:13:36
86100.0,400,-900.0,0.0,SD,29500.0,16200.0,False,-100.0,13:13:36
86200.0,200,-800.0,0.0,SD,29500.0,15800.0,False,0.0,13:13:36
86200.0,100,-800.0,0.0,SD,29500.0,15600.0,False,-300.0,13:13:36
86500.0,100,-500.0,0.0,BU,29500.0,15500.0,False,-200.0,13:13:04
86700.0,100,-300.0,0.0,BU,29400.0,15500.0,False,-100.0,13:10:54
86800.0,200,-200.0,0.0,BU,29300.0,15500.0,False,100.0,13:10:40
86700.0,400,-300.0,0.0,BU,29100.0,15500.0,False,100.0,13:10:40
86600.0,100,-400.0,0.0,BU,28700.0,15500.0,False,300.0,13:10:40
86300.0,300,-700.0,0.0,BU,28600.0,15500.0,False,0.0,13:10:40
86300.0,1000,-700.0,0.0,BU,28300.0,15500.0,False,0.0,13:10:23
86300.0,200,-700.0,0.0,BU,27300.0,15500.0,False,0.0,13:10:23
86300.0,2000,-700.0,0.0,SD,27100.0,15500.0,False,0.0,13:10:23
86300.0,100,-700.0,0.0,SD,27100.0,13500.0,False,-100.0,13:10:23
86400.0,100,-600.0,0.0,SD,27100.0,13400.0,False,0.0,13:10:23
86400.0,1600,-600.0,0.0,SD,27100.0,13300.0,False,0.0,13:10:23
86400.0,200,-600.0,0.0,SD,27100.0,11700.0,False,0.0,13:10:23
86400.0,100,-600.0,0.0,SD,27100.0,11500.0,False,0.0,13:10:23
86400.0,100,-600.0,0.0,SD,27100.0,11400.0,False,-100.0,13:10:23
86500.0,1000,-500.0,0.0,BU,27100.0,11300.0,False,-100.0,13:10:23
