p,v,cp,rcp,a,ba,sa,hl,pcp,t
3900.0,2000,-100.0,0.0,BU,151600.0,271500.0,False,0.0,14:56:55
3900.0,3400,-100.0,0.0,BU,149600.0,271500.0,False,0.0,14:56:31
3900.0,500,-100.0,0.0,BU,146200.0,271500.0,False,0.0,14:50:47
3900.0,1000,-100.0,0.0,BU,145700.0,271500.0,False,0.0,14:48:35
3900.0,100,-100.0,0.0,BU,144700.0,271500.0,False,0.0,14:48:02
3900.0,500,-100.0,0.0,BU,144600.0,271500.0,False,0.0,14:35:27
3900.0,100,-100.0,0.0,BU,144100.0,271500.0,False,0.0,14:25:48
3900.0,600,-100.0,0.0,BU,144000.0,271500.0,False,0.0,14:22:39
3900.0,200,-100.0,0.0,BU,143400.0,271500.0,False,0.0,14:22:21
3900.0,100,-100.0,0.0,BU,143200.0,271500.0,False,0.0,14:21:53
3900.0,500,-100.0,0.0,BU,143100.0,271500.0,False,0.0,14:21:43
3900.0,200,-100.0,0.0,BU,142600.0,271500.0,False,0.0,14:20:13
3900.0,1000,-100.0,0.0,BU,142400.0,271500.0,False,0.0,14:19:44
3900.0,200,-100.0,0.0,BU,141400.0,271500.0,False,0.0,14:17:24
3900.0,1100,-100.0,0.0,BU,141200.0,271500.0,False,0.0,14:17:10
3900.0,1000,-100.0,0.0,BU,140100.0,271500.0,False,0.0,14:16:59
3900.0,500,-100.0,0.0,BU,139100.0,271500.0,False,0.0,14:16:40
3900.0,1000,-100.0,0.0,BU,138600.0,271500.0,False,0.0,14:16:14
3900.0,100,-100.0,0.0,BU,137600.0,271500.0,False,0.0,14:15:43
3900.0,400,-100.0,0.0,BU,137500.0,271500.0,False,0.0,14:15:40
3900.0,4200,-100.0,0.0,BU,137100.0,271500.0,False,0.0,14:15:26
3900.0,200,-100.0,0.0,BU,132900.0,271500.0,False,0.0,14:14:32
3900.0,1500,-100.0,0.0,BU,132700.0,271500.0,False,0.0,14:13:44
3900.0,100,-100.0,0.0,BU,131200.0,271500.0,False,0.0,14:11:21
3900.0,1800,-100.0,0.0,BU,131100.0,271500.0,False,0.0,14:11:10
3900.0,900,-100.0,0.0,BU,129300.0,271500.0,False,-100.0,14:06:02
4000.0,200,0.0,0.0,BU,128400.0,271500.0,False,0.0,14:03:09
4000.0,100,0.0,0.0,BU,128200.0,271500.0,False,0.0,13:59:11
4000.0,100,0.0,0.0,BU,128100.0,271500.0,False,100.0,13:59:01
3900.0,4600,-100.0,0.0,SD,128000.0,271500.0,False,0.0,13:58:30
3900.0,400,-100.0,0.0,BU,128000.0,266900.0,False,0.0,13:58:21
3900.0,700,-100.0,0.0,BU,127600.0,266900.0,False,0.0,13:58:20
3900.0,1900,-100.0,0.0,BU,126900.0,266900.0,False,0.0,13:57:54
3900.0,600,-100.0,0.0,BU,125000.0,266900.0,False,0.0,13:57:27
3900.0,2000,-100.0,0.0,BU,124400.0,266900.0,False,0.0,13:57:08
3900.0,300,-100.0,0.0,BU,122400.0,266900.0,False,0.0,13:56:04
3900.0,300,-100.0,0.0,BU,122100.0,266900.0,False,0.0,13:55:54
3900.0,100,-100.0,0.0,BU,121800.0,266900.0,False,0.0,13:55:45
3900.0,300,-100.0,0.0,BU,121700.0,266900.0,False,0.0,13:53:35
3900.0,100,-100.0,0.0,BU,121400.0,266900.0,False,0.0,13:50:54
3900.0,1400,-100.0,0.0,BU,121300.0,266900.0,False,0.0,13:43:40
3900.0,400,-100.0,0.0,BU,119900.0,266900.0,False,0.0,13:43:22
3900.0,700,-100.0,0.0,BU,119500.0,266900.0,False,0.0,13:41:30
3900.0,2300,-100.0,0.0,SD,118800.0,266900.0,False,0.0,13:41:24
3900.0,1000,-100.0,0.0,BU,118800.0,264600.0,False,100.0,13:37:55
3800.0,57600,-200.0,-0.1,SD,117800.0,264600.0,True,0.0,13:37:32
3800.0,300,-200.0,-0.1,BU,117800.0,207000.0,False,0.0,13:37:31
3800.0,1000,-200.0,-0.1,BU,117500.0,207000.0,False,0.0,13:37:25
3800.0,3000,-200.0,-0.1,BU,116500.0,207000.0,False,0.0,13:37:24
3800.0,10000,-200.0,-0.1,BU,113500.0,207000.0,False,0.0,13:37:20
3800.0,100,-200.0,-0.1,BU,103500.0,207000.0,False,0.0,13:37:16
3800.0,2000,-200.0,-0.1,BU,103400.0,207000.0,False,0.0,13:37:07
3800.0,2000,-200.0,-0.1,BU,101400.0,207000.0,False,0.0,13:37:03
3800.0,200,-200.0,-0.1,BU,99400.0,207000.0,False,0.0,13:37:02
3800.0,400,-200.0,-0.1,BU,99200.0,207000.0,False,0.0,13:36:24
3800.0,100,-200.0,-0.1,BU,98800.0,207000.0,False,0.0,13:36:16
3800.0,100,-200.0,-0.1,BU,98700.0,207000.0,False,0.0,13:36:09
3800.0,3000,-200.0,-0.1,BU,98600.0,207000.0,False,0.0,13:35:50
3800.0,200,-200.0,-0.1,BU,95600.0,207000.0,False,0.0,13:35:49
3800.0,10000,-200.0,-0.1,BU,95400.0,207000.0,False,0.0,13:35:39
3800.0,200,-200.0,-0.1,BU,85400.0,207000.0,False,0.0,13:34:28
3800.0,100,-200.0,-0.1,BU,85200.0,207000.0,False,0.0,13:34:02
3800.0,400,-200.0,-0.1,BU,85100.0,207000.0,False,0.0,13:33:53
3800.0,600,-200.0,-0.1,BU,84700.0,207000.0,False,0.0,13:33:35
3800.0,200,-200.0,-0.1,BU,84100.0,207000.0,False,0.0,13:33:31
3800.0,1000,-200.0,-0.1,BU,83900.0,207000.0,False,0.0,13:33:24
3800.0,900,-200.0,-0.1,BU,82900.0,207000.0,False,0.0,13:33:13
3800.0,400,-200.0,-0.1,BU,82000.0,207000.0,False,0.0,13:33:09
3800.0,1000,-200.0,-0.1,BU,81600.0,207000.0,False,0.0,13:31:47
3800.0,100,-200.0,-0.1,BU,80600.0,207000.0,False,0.0,13:31:19
3800.0,100,-200.0,-0.1,BU,80500.0,207000.0,False,0.0,13:30:54
3800.0,100,-200.0,-0.1,BU,80400.0,207000.0,False,0.0,13:30:31
3800.0,500,-200.0,-0.1,BU,80300.0,207000.0,False,0.0,13:30:06
3800.0,2300,-200.0,-0.1,BU,79800.0,207000.0,False,0.0,13:29:59
3800.0,100,-200.0,-0.1,BU,77500.0,207000.0,False,0.0,13:29:39
3800.0,600,-200.0,-0.1,BU,77400.0,207000.0,False,0.0,13:29:30
3800.0,23200,-200.0,-0.1,BU,76800.0,207000.0,False,-100.0,13:29:29
3900.0,5600,-100.0,0.0,BU,53600.0,207000.0,False,0.0,13:24:05
3900.0,19800,-100.0,0.0,SD,48000.0,207000.0,False,0.0,13:23:41
3900.0,1500,-100.0,0.0,BU,48000.0,187200.0,False,0.0,13:22:33
3900.0,600,-100.0,0.0,BU,46500.0,187200.0,False,100.0,13:21:47
3800.0,100,-200.0,-0.1,BU,45900.0,187200.0,False,0.0,13:15:52
3800.0,2000,-200.0,-0.1,BU,45800.0,187200.0,False,0.0,13:15:40
3800.0,1500,-200.0,-0.1,BU,43800.0,187200.0,False,0.0,13:15:11
3800.0,1400,-200.0,-0.1,SD,42300.0,187200.0,False,0.0,13:14:54
3800.0,7800,-200.0,-0.1,SD,42300.0,185800.0,False,0.0,13:14:47
3800.0,1000,-200.0,-0.1,BU,42300.0,178000.0,False,0.0,13:14:44
3800.0,1300,-200.0,-0.1,BU,41300.0,178000.0,False,100.0,13:12:58
3700.0,15500,-300.0,-0.1,SD,40000.0,178000.0,False,-100.0,13:12:03
3800.0,30400,-200.0,-0.1,SD,40000.0,162500.0,False,-100.0,13:11:22
3900.0,100,-100.0,0.0,BU,40000.0,132100.0,False,0.0,13:11:14
3900.0,1000,-100.0,0.0,BU,39900.0,132100.0,False,100.0,13:10:38
3800.0,5000,-200.0,-0.1,SD,38900.0,132100.0,False,-100.0,13:10:04
3900.0,1000,-100.0,0.0,BU,38900.0,127100.0,False,0.0,13:09:50
3900.0,1000,-100.0,0.0,BU,37900.0,127100.0,False,0.0,13:07:07
3900.0,100,-100.0,0.0,BU,36900.0,127100.0,False,0.0,13:06:21
3900.0,100,-100.0,0.0,BU,36800.0,127100.0,False,0.0,13:06:07
3900.0,1000,-100.0,0.0,BU,36700.0,127100.0,False,100.0,13:02:39
3800.0,3100,-200.0,-0.1,SD,35700.0,127100.0,False,0.0,13:00:08
3800.0,20000,-200.0,-0.1,SD,35700.0,124000.0,False,-100.0,13:00:03
3900.0,1000,-100.0,0.0,BU,35700.0,104000.0,False,100.0,11:29:21
3800.0,5200,-200.0,-0.1,SD,34700.0,104000.0,False,-100.0,11:27:39
3900.0,28000,-100.0,0.0,SD,34700.0,98800.0,False,-100.0,11:27:16
4000.0,500,0.0,0.0,BU,34700.0,70800.0,False,0.0,11:19:50
4000.0,200,0.0,0.0,BU,34200.0,70800.0,False,0.0,11:15:49
4000.0,5000,0.0,0.0,BU,34000.0,70800.0,False,0.0,10:58:18
4000.0,3500,0.0,0.0,BU,29000.0,70800.0,False,100.0,10:56:54
3900.0,20000,-100.0,0.0,SD,25500.0,70800.0,False,0.0,10:45:13
3900.0,300,-100.0,0.0,SD,25500.0,50800.0,False,-100.0,10:42:29
4000.0,100,0.0,0.0,BU,25500.0,50500.0,False,0.0,10:32:02
4000.0,300,0.0,0.0,BU,25400.0,50500.0,False,0.0,10:31:45
4000.0,100,0.0,0.0,BU,25100.0,50500.0,False,0.0,10:26:56
4000.0,100,0.0,0.0,BU,25000.0,50500.0,False,0.0,10:24:49
4000.0,1000,0.0,0.0,BU,24900.0,50500.0,False,0.0,10:24:42
4000.0,100,0.0,0.0,BU,23900.0,50500.0,False,0.0,10:16:59
4000.0,300,0.0,0.0,BU,23800.0,50500.0,False,0.0,10:14:24
4000.0,500,0.0,0.0,BU,23500.0,50500.0,False,0.0,10:14:00
4000.0,100,0.0,0.0,BU,23000.0,50500.0,False,0.0,10:01:16
4000.0,100,0.0,0.0,BU,22900.0,50500.0,False,0.0,09:56:45
4000.0,100,0.0,0.0,BU,22800.0,50500.0,False,0.0,09:55:37
4000.0,1000,0.0,0.0,BU,22700.0,50500.0,False,0.0,09:55:18
4000.0,4000,0.0,0.0,BU,21700.0,50500.0,False,0.0,09:54:52
4000.0,1200,0.0,0.0,BU,17700.0,50500.0,False,-100.0,09:53:51
4100.0,100,100.0,0.0,BU,16500.0,50500.0,False,100.0,09:51:41
4000.0,200,0.0,0.0,SD,16400.0,50500.0,False,0.0,09:51:20
4000.0,500,0.0,0.0,BU,16400.0,50300.0,False,0.0,09:50:50
4000.0,2500,0.0,0.0,BU,15900.0,50300.0,False,0.0,09:50:24
4000.0,2000,0.0,0.0,BU,13400.0,50300.0,False,0.0,09:50:00
4000.0,100,0.0,0.0,BU,11400.0,50300.0,False,0.0,09:49:23
4000.0,3000,0.0,0.0,BU,11300.0,50300.0,False,0.0,09:48:48
4000.0,1000,0.0,0.0,BU,8300.0,50300.0,False,0.0,09:48:37
4000.0,1000,0.0,0.0,BU,7300.0,50300.0,False,0.0,09:48:00
4000.0,1000,0.0,0.0,BU,6300.0,50300.0,False,0.0,09:47:33
4000.0,3700,0.0,0.0,BU,5300.0,50300.0,False,0.0,09:44:29
4000.0,2000,0.0,0.0,SD,1600.0,50300.0,False,0.0,09:44:26
4000.0,20000,0.0,0.0,SD,1600.0,48300.0,False,0.0,09:43:07
4000.0,6100,0.0,0.0,SD,1600.0,28300.0,False,0.0,09:37:33
4000.0,10000,0.0,0.0,SD,1600.0,22200.0,False,0.0,09:26:50
4000.0,10000,0.0,0.0,SD,1600.0,12200.0,False,-100.0,09:26:04
4100.0,700,100.0,0.0,SD,1600.0,2200.0,False,0.0,09:15:16
4100.0,300,100.0,0.0,SD,1600.0,1500.0,False,0.0,09:11:38
4100.0,400,100.0,0.0,BU,1600.0,1200.0,False,0.0,09:11:37
4100.0,1000,100.0,0.0,BU,1200.0,1200.0,False,0.0,09:11:09
4100.0,100,100.0,0.0,BU,200.0,1200.0,False,0.0,09:10:06
4100.0,200,100.0,0.0,SD,100.0,1200.0,False,0.0,09:08:14
4100.0,1000,100.0,0.0,SD,100.0,1000.0,False,-100.0,09:03:46
4200.0,100,200.0,0.1,BU,100.0,0.0,False,0.0,09:01:27
