p,v,cp,rcp,a,ba,sa,hl,pcp,t
13850.0,100,-150.0,0.0,SD,100.0,2000.0,False,0.0,14:29:21
13850.0,100,-150.0,0.0,SD,100.0,1900.0,False,0.0,14:29:21
13850.0,100,-150.0,0.0,SD,100.0,1800.0,False,0.0,14:22:44
13850.0,600,-150.0,0.0,SD,100.0,1700.0,False,0.0,14:22:44
13850.0,200,-150.0,0.0,SD,100.0,1100.0,False,0.0,13:00:04
13850.0,500,-150.0,0.0,SD,100.0,900.0,False,0.0,13:00:02
13850.0,200,-150.0,0.0,SD,100.0,400.0,False,-150.0,13:00:02
14000.0,200,0.0,0.0,SD,100.0,200.0,False,-200.0,10:39:07
14200.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,10:30:22
14200.0,100,200.0,0.0,,0.0,0.0,False,0.0,09:15:00
