p,v,cp,rcp,a,ba,sa,hl,pcp,t
5500.0,700,0.0,0.0,,26500.0,7600.0,False,0.0,14:45:01
5500.0,100,0.0,0.0,BU,26500.0,7600.0,False,0.0,14:29:18
5500.0,100,0.0,0.0,BU,26400.0,7600.0,False,100.0,14:29:08
5400.0,13500,-100.0,0.0,BU,26300.0,7600.0,False,0.0,14:22:42
5400.0,100,-100.0,0.0,BU,12800.0,7600.0,False,0.0,14:21:52
5400.0,300,-100.0,0.0,BU,12700.0,7600.0,False,0.0,14:18:21
5400.0,100,-100.0,0.0,BU,12400.0,7600.0,False,0.0,14:17:00
5400.0,100,-100.0,0.0,BU,12300.0,7600.0,False,100.0,13:49:42
5300.0,100,-200.0,0.0,SD,12200.0,7600.0,False,-100.0,13:44:30
5400.0,100,-100.0,0.0,BU,12200.0,7500.0,False,0.0,13:26:01
5400.0,200,-100.0,0.0,BU,12100.0,7500.0,False,0.0,13:18:28
5400.0,500,-100.0,0.0,BU,11900.0,7500.0,False,0.0,13:18:03
5400.0,200,-100.0,0.0,BU,11400.0,7500.0,False,0.0,13:04:41
5400.0,100,-100.0,0.0,BU,11200.0,7500.0,False,0.0,13:03:14
5400.0,100,-100.0,0.0,BU,11100.0,7500.0,False,-100.0,11:20:17
5500.0,100,0.0,0.0,BU,11000.0,7500.0,False,100.0,10:45:17
5400.0,500,-100.0,0.0,BU,10900.0,7500.0,False,-100.0,10:39:19
5500.0,4200,0.0,0.0,BU,10400.0,7500.0,False,0.0,09:54:57
5500.0,200,0.0,0.0,BU,6200.0,7500.0,False,0.0,09:54:12
5500.0,5200,0.0,0.0,BU,6000.0,7500.0,False,100.0,09:50:04
5400.0,100,-100.0,0.0,BU,800.0,7500.0,False,100.0,09:48:04
5300.0,500,-200.0,0.0,BU,700.0,7500.0,False,0.0,09:47:41
5300.0,2100,-200.0,0.0,SD,200.0,7500.0,False,-100.0,09:47:27
5400.0,100,-100.0,0.0,BU,200.0,5400.0,False,100.0,09:47:03
5300.0,5000,-200.0,0.0,SD,100.0,5400.0,False,-100.0,09:46:37
5400.0,400,-100.0,0.0,SD,100.0,400.0,False,-100.0,09:46:05
5500.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,09:03:45
