p,v,cp,rcp,a,ba,sa,hl,pcp,t
26000.0,13100,-300.0,0.0,,170900.0,208100.0,False,-100.0,14:45:01
26100.0,100,-200.0,0.0,BU,170900.0,208100.0,False,0.0,14:29:47
26100.0,500,-200.0,0.0,BU,170800.0,208100.0,False,0.0,14:29:28
26100.0,200,-200.0,0.0,SD,170300.0,208100.0,False,0.0,14:28:52
26100.0,100,-200.0,0.0,BU,170300.0,207900.0,False,0.0,14:28:30
26100.0,300,-200.0,0.0,BU,170200.0,207900.0,False,100.0,14:28:28
26000.0,700,-300.0,0.0,SD,169900.0,207900.0,False,0.0,14:28:07
26000.0,2100,-300.0,0.0,SD,169900.0,207200.0,False,0.0,14:26:18
26000.0,200,-300.0,0.0,BU,169900.0,205100.0,False,-100.0,14:24:29
26100.0,700,-200.0,0.0,SD,169700.0,205100.0,False,0.0,14:23:55
26100.0,900,-200.0,0.0,SD,169700.0,204400.0,False,-100.0,14:23:08
26200.0,100,-100.0,0.0,BU,169700.0,203500.0,False,0.0,14:22:30
26200.0,3000,-100.0,0.0,SD,169600.0,203500.0,False,0.0,14:22:10
26200.0,1600,-100.0,0.0,SD,169600.0,200500.0,False,0.0,14:22:06
26200.0,300,-100.0,0.0,SD,169600.0,198900.0,False,0.0,14:22:01
26200.0,300,-100.0,0.0,SD,169600.0,198600.0,False,-100.0,14:21:56
26300.0,300,0.0,0.0,BU,169600.0,198300.0,False,0.0,14:21:40
26300.0,200,0.0,0.0,BU,169300.0,198300.0,False,0.0,14:21:28
26300.0,400,0.0,0.0,BU,169100.0,198300.0,False,-100.0,14:21:01
26400.0,1300,100.0,0.0,BU,168700.0,198300.0,False,100.0,14:20:34
26300.0,1500,0.0,0.0,SD,167400.0,198300.0,False,-100.0,14:20:31
26400.0,800,100.0,0.0,BU,167400.0,196800.0,False,0.0,14:20:25
26400.0,200,100.0,0.0,BU,166600.0,196800.0,False,0.0,14:20:23
26400.0,3000,100.0,0.0,BU,166400.0,196800.0,False,100.0,14:19:24
26300.0,400,0.0,0.0,SD,163400.0,196800.0,False,0.0,14:19:00
26300.0,2000,0.0,0.0,SD,163400.0,196400.0,False,-100.0,14:18:06
26400.0,3000,100.0,0.0,BU,163400.0,194400.0,False,0.0,14:17:56
26400.0,400,100.0,0.0,BU,160400.0,194400.0,False,0.0,14:17:43
26400.0,5400,100.0,0.0,BU,160000.0,194400.0,False,100.0,14:17:29
26300.0,500,0.0,0.0,SD,154600.0,194400.0,False,0.0,14:16:56
26300.0,1000,0.0,0.0,SD,154600.0,193900.0,False,0.0,14:16:47
26300.0,2000,0.0,0.0,BU,154600.0,192900.0,False,100.0,14:16:41
26200.0,4900,-100.0,0.0,SD,152600.0,192900.0,False,0.0,14:16:19
26200.0,200,-100.0,0.0,BU,152600.0,188000.0,False,0.0,14:16:08
26200.0,100,-100.0,0.0,BU,152400.0,188000.0,False,0.0,14:16:02
26200.0,1000,-100.0,0.0,BU,152300.0,188000.0,False,0.0,14:15:45
26200.0,1000,-100.0,0.0,BU,151300.0,188000.0,False,0.0,14:15:42
26200.0,100,-100.0,0.0,BU,150300.0,188000.0,False,0.0,14:15:37
26200.0,200,-100.0,0.0,BU,150200.0,188000.0,False,0.0,14:15:33
26200.0,1500,-100.0,0.0,BU,150000.0,188000.0,False,0.0,14:15:30
26200.0,200,-100.0,0.0,BU,148500.0,188000.0,False,100.0,14:15:13
26100.0,2100,-200.0,0.0,SD,148300.0,188000.0,False,0.0,14:14:32
26100.0,600,-200.0,0.0,BU,148300.0,185900.0,False,100.0,14:14:28
26000.0,1300,-300.0,0.0,BU,147700.0,185900.0,False,100.0,14:12:12
25900.0,900,-400.0,0.0,SD,146400.0,185900.0,False,0.0,14:11:29
25900.0,1000,-400.0,0.0,BU,146400.0,185000.0,False,100.0,14:11:14
25800.0,2000,-500.0,0.0,SD,145400.0,185000.0,False,0.0,14:10:56
25800.0,8000,-500.0,0.0,SD,145400.0,183000.0,True,-100.0,14:10:38
25900.0,200,-400.0,0.0,BU,145400.0,175000.0,False,0.0,14:09:25
25900.0,3700,-400.0,0.0,BU,145200.0,175000.0,False,-100.0,14:08:53
26000.0,200,-300.0,0.0,BU,141500.0,175000.0,False,0.0,14:08:37
26000.0,200,-300.0,0.0,BU,141300.0,175000.0,False,0.0,14:08:03
26000.0,100,-300.0,0.0,BU,141100.0,175000.0,False,100.0,14:06:46
25900.0,1000,-400.0,0.0,SD,141000.0,175000.0,False,0.0,14:05:46
25900.0,100,-400.0,0.0,SD,141000.0,174000.0,False,-100.0,14:04:41
26000.0,3300,-300.0,0.0,SD,141000.0,173900.0,False,0.0,14:03:21
26000.0,1000,-300.0,0.0,SD,141000.0,170600.0,False,-100.0,14:01:14
26100.0,1100,-200.0,0.0,BU,141000.0,169600.0,False,0.0,14:00:27
26100.0,900,-200.0,0.0,BU,139900.0,169600.0,False,0.0,13:58:06
26100.0,100,-200.0,0.0,BU,139000.0,169600.0,False,-100.0,13:57:28
26200.0,300,-100.0,0.0,BU,138900.0,169600.0,False,0.0,13:57:26
26200.0,1600,-100.0,0.0,BU,138600.0,169600.0,False,100.0,13:57:06
26100.0,300,-200.0,0.0,BU,137000.0,169600.0,False,100.0,13:56:01
26000.0,1000,-300.0,0.0,BU,136700.0,169600.0,False,0.0,13:55:51
26000.0,2200,-300.0,0.0,BU,135700.0,169600.0,False,0.0,13:55:47
26000.0,1000,-300.0,0.0,BU,133500.0,169600.0,False,0.0,13:55:45
26000.0,100,-300.0,0.0,BU,132500.0,169600.0,False,0.0,13:55:41
26000.0,1800,-300.0,0.0,BU,132400.0,169600.0,False,0.0,13:55:39
26000.0,3000,-300.0,0.0,BU,130600.0,169600.0,False,0.0,13:55:38
26000.0,1000,-300.0,0.0,BU,127600.0,169600.0,False,0.0,13:55:37
26000.0,400,-300.0,0.0,BU,126600.0,169600.0,False,0.0,13:55:35
26000.0,500,-300.0,0.0,BU,126200.0,169600.0,False,0.0,13:55:19
26000.0,300,-300.0,0.0,BU,125700.0,169600.0,False,0.0,13:55:16
26000.0,1000,-300.0,0.0,BU,125400.0,169600.0,False,0.0,13:54:45
26000.0,200,-300.0,0.0,BU,124400.0,169600.0,False,0.0,13:54:24
26000.0,100,-300.0,0.0,BU,124200.0,169600.0,False,200.0,13:53:59
25800.0,6000,-500.0,0.0,SD,124100.0,169600.0,False,0.0,13:51:37
25800.0,900,-500.0,0.0,SD,124100.0,163600.0,False,-100.0,13:51:29
25900.0,100,-400.0,0.0,BU,124100.0,162700.0,False,0.0,13:51:28
25900.0,100,-400.0,0.0,BU,124000.0,162700.0,False,0.0,13:50:05
25900.0,100,-400.0,0.0,BU,123900.0,162700.0,False,0.0,13:49:50
25900.0,100,-400.0,0.0,BU,123800.0,162700.0,False,0.0,13:48:09
25900.0,400,-400.0,0.0,BU,123700.0,162700.0,False,0.0,13:46:31
25900.0,800,-400.0,0.0,BU,123300.0,162700.0,False,0.0,13:45:39
25900.0,1000,-400.0,0.0,BU,122500.0,162700.0,False,0.0,13:44:12
25900.0,300,-400.0,0.0,BU,121500.0,162700.0,False,0.0,13:44:10
25900.0,1000,-400.0,0.0,BU,121200.0,162700.0,False,0.0,13:44:03
25900.0,1000,-400.0,0.0,BU,120200.0,162700.0,False,0.0,13:43:40
25900.0,100,-400.0,0.0,BU,119200.0,162700.0,False,0.0,13:43:26
25900.0,11400,-400.0,0.0,SD,119100.0,162700.0,True,-100.0,13:43:03
26000.0,100,-300.0,0.0,BU,119100.0,151300.0,False,0.0,13:42:47
26000.0,1300,-300.0,0.0,SD,119000.0,151300.0,False,-100.0,13:42:19
26100.0,2100,-200.0,0.0,SD,119000.0,150000.0,False,0.0,13:40:53
