p,v,cp,rcp,a,ba,sa,hl,pcp,t
74000.0,900,-500.0,0.0,,15000.0,9600.0,False,100.0,14:45:00
73900.0,100,-600.0,0.0,SD,15000.0,9600.0,False,-100.0,14:25:54
74000.0,300,-500.0,0.0,BU,15000.0,9500.0,False,0.0,14:23:07
74000.0,200,-500.0,0.0,BU,14700.0,9500.0,False,0.0,14:23:07
74000.0,100,-500.0,0.0,BU,14500.0,9500.0,False,0.0,14:18:56
74000.0,100,-500.0,0.0,BU,14400.0,9500.0,False,0.0,14:14:48
74000.0,300,-500.0,0.0,BU,14300.0,9500.0,False,0.0,14:07:56
74000.0,100,-500.0,0.0,BU,14000.0,9500.0,False,0.0,14:07:45
74000.0,100,-500.0,0.0,BU,13900.0,9500.0,False,0.0,14:07:43
74000.0,100,-500.0,0.0,BU,13800.0,9500.0,False,0.0,14:07:36
74000.0,100,-500.0,0.0,BU,13700.0,9500.0,False,0.0,14:07:00
74000.0,1000,-500.0,0.0,BU,13600.0,9500.0,False,0.0,14:06:48
74000.0,100,-500.0,0.0,SD,12600.0,9500.0,False,0.0,14:06:12
74000.0,2000,-500.0,0.0,SD,12600.0,9400.0,False,0.0,14:06:12
74000.0,100,-500.0,0.0,SD,12600.0,7400.0,False,0.0,14:06:12
74000.0,100,-500.0,0.0,SD,12600.0,7300.0,False,0.0,14:06:12
74000.0,3600,-500.0,0.0,SD,12600.0,7200.0,True,-1000.0,14:06:12
75000.0,100,500.0,0.0,BU,12600.0,3600.0,False,0.0,13:55:43
75000.0,400,500.0,0.0,BU,12500.0,3600.0,False,500.0,13:53:07
74500.0,100,0.0,0.0,SD,12100.0,3600.0,False,0.0,13:43:00
74500.0,100,0.0,0.0,BU,12100.0,3500.0,False,0.0,13:41:55
74500.0,200,0.0,0.0,BU,12000.0,3500.0,False,0.0,13:41:44
74500.0,100,0.0,0.0,BU,11800.0,3500.0,False,0.0,13:41:11
74500.0,100,0.0,0.0,BU,11700.0,3500.0,False,500.0,13:41:11
74000.0,1400,-500.0,0.0,SD,11600.0,3500.0,False,0.0,13:21:08
74000.0,100,-500.0,0.0,BU,11600.0,2100.0,False,0.0,13:19:10
74000.0,100,-500.0,0.0,BU,11500.0,2100.0,False,0.0,13:18:30
74000.0,300,-500.0,0.0,BU,11400.0,2100.0,False,0.0,13:16:47
74000.0,200,-500.0,0.0,BU,11100.0,2100.0,False,0.0,13:13:53
74000.0,700,-500.0,0.0,BU,10900.0,2100.0,False,0.0,13:13:53
74000.0,500,-500.0,0.0,BU,10200.0,2100.0,False,0.0,13:12:26
74000.0,100,-500.0,0.0,BU,9700.0,2100.0,False,0.0,13:04:44
74000.0,100,-500.0,0.0,BU,9600.0,2100.0,False,0.0,13:02:02
74000.0,100,-500.0,0.0,BU,9500.0,2100.0,False,0.0,13:01:42
74000.0,100,-500.0,0.0,BU,9400.0,2100.0,False,0.0,13:01:09
74000.0,100,-500.0,0.0,BU,9300.0,2100.0,False,0.0,13:01:01
74000.0,400,-500.0,0.0,SD,9200.0,2100.0,False,0.0,13:00:15
74000.0,600,-500.0,0.0,BU,9200.0,1700.0,False,0.0,13:00:01
74000.0,500,-500.0,0.0,BU,8600.0,1700.0,False,0.0,11:29:25
74000.0,100,-500.0,0.0,BU,8100.0,1700.0,False,0.0,11:23:43
74000.0,100,-500.0,0.0,BU,8000.0,1700.0,False,0.0,10:52:13
74000.0,300,-500.0,0.0,BU,7900.0,1700.0,False,0.0,10:51:33
74000.0,1500,-500.0,0.0,BU,7600.0,1700.0,False,0.0,10:51:33
74000.0,100,-500.0,0.0,BU,6100.0,1700.0,False,0.0,10:51:33
74000.0,500,-500.0,0.0,BU,6000.0,1700.0,False,-200.0,10:51:33
74200.0,2300,-300.0,0.0,BU,5500.0,1700.0,False,-300.0,10:51:33
74500.0,700,0.0,0.0,BU,3200.0,1700.0,False,300.0,10:51:20
74200.0,100,-300.0,0.0,SD,2500.0,1700.0,False,0.0,10:49:57
74200.0,100,-300.0,0.0,SD,2500.0,1600.0,False,-300.0,10:49:57
74500.0,100,0.0,0.0,BU,2500.0,1500.0,False,0.0,10:44:16
74500.0,100,0.0,0.0,BU,2400.0,1500.0,False,0.0,10:20:43
74500.0,100,0.0,0.0,BU,2300.0,1500.0,False,0.0,10:11:55
74500.0,900,0.0,0.0,BU,2200.0,1500.0,False,0.0,09:56:58
74500.0,100,0.0,0.0,BU,1300.0,1500.0,False,0.0,09:56:58
74500.0,900,0.0,0.0,BU,1200.0,1500.0,False,0.0,09:46:48
74500.0,100,0.0,0.0,BU,300.0,1500.0,False,0.0,09:46:48
74500.0,100,0.0,0.0,BU,200.0,1500.0,False,0.0,09:45:10
74500.0,200,0.0,0.0,SD,100.0,1500.0,False,0.0,09:37:56
74500.0,1000,0.0,0.0,SD,100.0,1300.0,False,0.0,09:37:56
74500.0,100,0.0,0.0,SD,100.0,300.0,False,-500.0,09:37:56
75000.0,100,500.0,0.0,BU,100.0,200.0,False,-600.0,09:29:22
75600.0,200,1100.0,0.0,SD,0.0,200.0,False,0.0,09:15:42
75600.0,200,1100.0,0.0,,0.0,0.0,False,0.0,09:15:00
