p,v,cp,rcp,a,ba,sa,hl,pcp,t
6480.0,5200,10.0,0.0,,33200.0,44300.0,False,40.0,14:45:00
6440.0,1000,-30.0,0.0,BU,33200.0,44300.0,False,0.0,14:29:39
6440.0,500,-30.0,0.0,BU,32200.0,44300.0,False,-10.0,14:29:39
6450.0,2300,-20.0,0.0,BU,31700.0,44300.0,False,0.0,14:28:21
6450.0,700,-20.0,0.0,BU,29400.0,44300.0,False,0.0,14:28:21
6450.0,2000,-20.0,0.0,SD,28700.0,44300.0,False,0.0,14:23:48
6450.0,100,-20.0,0.0,SD,28700.0,42300.0,False,-10.0,14:23:48
6460.0,500,-10.0,0.0,SD,28700.0,42200.0,False,10.0,14:23:48
6450.0,100,-20.0,0.0,SD,28700.0,41700.0,False,0.0,14:20:09
6450.0,1300,-20.0,0.0,BU,28700.0,41600.0,False,0.0,14:19:07
6450.0,700,-20.0,0.0,BU,27400.0,41600.0,False,-10.0,14:18:55
6460.0,500,-10.0,0.0,BU,26700.0,41600.0,False,0.0,14:18:08
6460.0,500,-10.0,0.0,BU,26200.0,41600.0,False,60.0,14:18:08
6400.0,1000,-70.0,0.0,SD,25700.0,41600.0,False,0.0,14:06:12
6400.0,1000,-70.0,0.0,SD,25700.0,40600.0,False,0.0,14:04:46
6400.0,1000,-70.0,0.0,SD,25700.0,39600.0,False,-50.0,14:04:46
6450.0,1000,-20.0,0.0,BU,25700.0,38600.0,False,0.0,14:01:28
6450.0,900,-20.0,0.0,SD,24700.0,38600.0,False,-10.0,14:00:59
6460.0,1000,-10.0,0.0,BU,24700.0,37700.0,False,60.0,13:58:09
6400.0,200,-70.0,0.0,BU,23700.0,37700.0,False,10.0,13:52:02
6390.0,100,-80.0,0.0,BU,23500.0,37700.0,False,0.0,13:38:55
6390.0,100,-80.0,0.0,BU,23400.0,37700.0,False,0.0,13:30:51
6390.0,100,-80.0,0.0,BU,23300.0,37700.0,False,10.0,13:30:40
6380.0,100,-90.0,0.0,SD,23200.0,37700.0,False,0.0,13:26:45
6380.0,3000,-90.0,0.0,SD,23200.0,37600.0,False,0.0,13:26:45
6380.0,100,-90.0,0.0,SD,23200.0,34600.0,False,0.0,13:26:45
6380.0,2000,-90.0,0.0,SD,23200.0,34500.0,False,0.0,13:26:45
6380.0,100,-90.0,0.0,SD,23200.0,32500.0,False,0.0,13:26:45
6380.0,1500,-90.0,0.0,SD,23200.0,32400.0,False,0.0,13:26:45
6380.0,100,-90.0,0.0,SD,23200.0,30900.0,False,0.0,13:26:45
6380.0,100,-90.0,0.0,SD,23200.0,30800.0,False,0.0,13:26:45
6380.0,200,-90.0,0.0,SD,23200.0,30700.0,False,0.0,13:22:16
6380.0,100,-90.0,0.0,SD,23200.0,30500.0,False,-10.0,13:21:17
6390.0,1000,-80.0,0.0,BU,23200.0,30400.0,False,0.0,13:20:55
6390.0,100,-80.0,0.0,BU,22200.0,30400.0,False,0.0,13:20:44
6390.0,800,-80.0,0.0,BU,22100.0,30400.0,False,0.0,13:20:04
6390.0,500,-80.0,0.0,BU,21300.0,30400.0,False,0.0,13:18:59
6390.0,5000,-80.0,0.0,BU,20800.0,30400.0,False,0.0,13:18:04
6390.0,500,-80.0,0.0,SD,15800.0,30400.0,False,0.0,13:17:01
6390.0,100,-80.0,0.0,SD,15800.0,29900.0,False,-10.0,13:17:01
