p,v,cp,rcp,a,ba,sa,hl,pcp,t
5700.0,10000,-100.0,0.0,,19900.0,39500.0,False,0.0,14:45:00
5700.0,100,-100.0,0.0,BU,19900.0,39500.0,False,70.0,14:27:23
5630.0,1000,-170.0,0.0,SD,19800.0,39500.0,False,0.0,14:25:24
5630.0,2000,-170.0,0.0,SD,19800.0,38500.0,False,0.0,14:25:06
5630.0,1000,-170.0,0.0,SD,19800.0,36500.0,False,0.0,14:23:49
5630.0,1000,-170.0,0.0,SD,19800.0,35500.0,False,10.0,14:23:31
5620.0,300,-180.0,0.0,SD,19800.0,34500.0,False,10.0,14:18:23
5610.0,500,-190.0,0.0,SD,19800.0,34200.0,False,-90.0,14:10:18
5700.0,100,-100.0,0.0,BU,19800.0,33700.0,False,100.0,14:05:01
5600.0,3400,-200.0,0.0,BU,19700.0,33700.0,False,0.0,13:55:27
5600.0,1000,-200.0,0.0,BU,16300.0,33700.0,False,0.0,13:54:54
5600.0,10000,-200.0,0.0,SD,15300.0,33700.0,False,0.0,13:46:17
5600.0,100,-200.0,0.0,SD,15300.0,23700.0,False,0.0,13:46:17
5600.0,500,-200.0,0.0,SD,15300.0,23600.0,False,-10.0,13:46:17
5610.0,500,-190.0,0.0,SD,15300.0,23100.0,False,0.0,13:46:17
5610.0,3000,-190.0,0.0,SD,15300.0,22600.0,False,0.0,13:46:17
5610.0,1000,-190.0,0.0,SD,15300.0,19600.0,False,0.0,13:46:17
5610.0,100,-190.0,0.0,SD,15300.0,18600.0,False,0.0,13:46:17
5610.0,400,-190.0,0.0,SD,15300.0,18500.0,False,-10.0,13:46:17
5620.0,500,-180.0,0.0,SD,15300.0,18100.0,False,0.0,13:46:08
5620.0,1500,-180.0,0.0,SD,15300.0,17600.0,False,0.0,13:45:36
5620.0,1000,-180.0,0.0,SD,15300.0,16100.0,False,0.0,13:45:19
5620.0,500,-180.0,0.0,SD,15300.0,15100.0,False,10.0,13:43:44
5610.0,200,-190.0,0.0,SD,15300.0,14600.0,False,0.0,13:29:23
5610.0,400,-190.0,0.0,SD,15300.0,14400.0,False,0.0,13:29:23
5610.0,100,-190.0,0.0,BU,15300.0,14000.0,False,0.0,13:28:41
5610.0,3000,-190.0,0.0,BU,15200.0,14000.0,False,0.0,13:28:12
5610.0,100,-190.0,0.0,BU,12200.0,14000.0,False,0.0,13:26:24
5610.0,300,-190.0,0.0,BU,12100.0,14000.0,False,0.0,13:19:26
5610.0,100,-190.0,0.0,BU,11800.0,14000.0,False,10.0,13:15:06
5600.0,500,-200.0,0.0,SD,11700.0,14000.0,False,-10.0,13:13:03
5610.0,1200,-190.0,0.0,BU,11700.0,13500.0,False,0.0,13:10:23
5610.0,100,-190.0,0.0,BU,10500.0,13500.0,False,0.0,13:09:29
5610.0,3200,-190.0,0.0,BU,10400.0,13500.0,False,0.0,13:07:25
5610.0,3600,-190.0,0.0,SD,7200.0,13500.0,False,0.0,13:06:48
5610.0,100,-190.0,0.0,SD,7200.0,9900.0,False,-40.0,13:06:48
5650.0,1000,-150.0,0.0,SD,7200.0,9800.0,False,-40.0,13:06:48
5690.0,300,-110.0,0.0,SD,7200.0,8800.0,False,-10.0,13:06:48
5700.0,1000,-100.0,0.0,BU,7200.0,8500.0,False,10.0,10:45:50
5690.0,2500,-110.0,0.0,SD,6200.0,8500.0,False,0.0,10:45:47
5690.0,1000,-110.0,0.0,SD,6200.0,6000.0,False,0.0,10:45:02
5690.0,200,-110.0,0.0,SD,6200.0,5000.0,False,0.0,10:44:27
5690.0,1000,-110.0,0.0,SD,6200.0,4800.0,False,0.0,10:42:27
5690.0,100,-110.0,0.0,SD,6200.0,3800.0,False,0.0,10:42:27
5690.0,2200,-110.0,0.0,SD,6200.0,3700.0,False,-10.0,10:42:27
5700.0,100,-100.0,0.0,SD,6200.0,1500.0,False,0.0,10:37:56
5700.0,400,-100.0,0.0,SD,6200.0,1400.0,False,0.0,10:37:56
5700.0,100,-100.0,0.0,SD,6200.0,1000.0,False,0.0,10:37:56
5700.0,200,-100.0,0.0,SD,6200.0,900.0,False,-50.0,10:37:56
5750.0,1000,-50.0,0.0,BU,6200.0,700.0,False,0.0,10:31:37
5750.0,500,-50.0,0.0,BU,5200.0,700.0,False,0.0,10:31:35
5750.0,200,-50.0,0.0,BU,4700.0,700.0,False,0.0,10:13:30
5750.0,4300,-50.0,0.0,BU,4500.0,700.0,False,0.0,10:13:30
5750.0,100,-50.0,0.0,SD,200.0,700.0,False,0.0,09:42:34
5750.0,500,-50.0,0.0,SD,200.0,600.0,False,0.0,09:34:56
5750.0,100,-50.0,0.0,SD,200.0,100.0,False,0.0,09:30:09
5750.0,200,-50.0,0.0,BU,200.0,0.0,False,50.0,09:16:59
5700.0,1100,-100.0,0.0,,0.0,0.0,False,0.0,09:15:00
