p,v,cp,rcp,a,ba,sa,hl,pcp,t
46000.0,300,-400.0,0.0,BU,19200.0,14100.0,False,0.0,14:56:42
46000.0,1200,-400.0,0.0,BU,18900.0,14100.0,False,200.0,14:53:46
45800.0,100,-600.0,0.0,BU,17700.0,14100.0,False,400.0,14:42:55
45400.0,300,-1000.0,0.0,SD,17600.0,14100.0,False,-400.0,14:34:49
45800.0,100,-600.0,0.0,BU,17600.0,13800.0,False,0.0,14:30:40
45800.0,500,-600.0,0.0,SD,17500.0,13800.0,False,0.0,14:26:32
45800.0,100,-600.0,0.0,SD,17500.0,13300.0,False,-200.0,14:21:41
46000.0,300,-400.0,0.0,BU,17500.0,13200.0,False,0.0,14:19:49
46000.0,200,-400.0,0.0,BU,17200.0,13200.0,False,0.0,14:17:24
46000.0,400,-400.0,0.0,BU,17000.0,13200.0,False,300.0,14:16:30
45700.0,100,-700.0,0.0,SD,16600.0,13200.0,False,0.0,14:13:59
45700.0,100,-700.0,0.0,SD,16600.0,13100.0,False,-300.0,14:10:53
46000.0,300,-400.0,0.0,BU,16600.0,13000.0,False,0.0,14:10:10
46000.0,400,-400.0,0.0,SD,16300.0,13000.0,False,0.0,14:08:54
46000.0,200,-400.0,0.0,SD,16300.0,12600.0,False,-400.0,14:07:04
46400.0,100,0.0,0.0,BU,16300.0,12400.0,False,0.0,14:05:30
46400.0,300,0.0,0.0,SD,16200.0,12400.0,False,-100.0,14:02:37
46500.0,300,100.0,0.0,BU,16200.0,12100.0,False,-100.0,14:00:23
46600.0,300,200.0,0.0,BU,15900.0,12100.0,False,200.0,13:57:26
46400.0,200,0.0,0.0,SD,15600.0,12100.0,False,400.0,13:56:20
46000.0,800,-400.0,0.0,BU,15600.0,11900.0,False,200.0,13:55:34
45800.0,200,-600.0,0.0,BU,14800.0,11900.0,False,0.0,13:53:08
45800.0,100,-600.0,0.0,SD,14600.0,11900.0,False,-200.0,13:50:58
46000.0,300,-400.0,0.0,BU,14600.0,11800.0,False,0.0,13:48:53
46000.0,200,-400.0,0.0,SD,14300.0,11800.0,False,0.0,13:46:35
46000.0,300,-400.0,0.0,SD,14300.0,11600.0,False,-400.0,13:44:42
46400.0,100,0.0,0.0,BU,14300.0,11300.0,False,400.0,13:42:28
46000.0,700,-400.0,0.0,SD,14200.0,11300.0,False,0.0,13:41:13
46000.0,100,-400.0,0.0,BU,14200.0,10600.0,False,0.0,13:39:53
46000.0,200,-400.0,0.0,BU,14100.0,10600.0,False,0.0,13:39:33
46000.0,500,-400.0,0.0,BU,13900.0,10600.0,False,200.0,13:37:06
45800.0,300,-600.0,0.0,SD,13400.0,10600.0,False,100.0,13:35:21
