p,v,cp,rcp,a,ba,sa,hl,pcp,t
32750.0,5500,-50.0,0.0,,92600.0,84900.0,False,50.0,14:45:00
32700.0,2000,-100.0,0.0,SD,92600.0,84900.0,False,0.0,14:24:48
32700.0,100,-100.0,0.0,BU,92600.0,82900.0,False,0.0,14:21:38
32700.0,7100,-100.0,0.0,BU,92500.0,82900.0,True,0.0,14:20:06
32700.0,2800,-100.0,0.0,BU,85400.0,82900.0,False,-50.0,14:20:06
32750.0,1200,-50.0,0.0,BU,82600.0,82900.0,False,50.0,14:18:19
32700.0,5000,-100.0,0.0,SD,81400.0,82900.0,False,0.0,14:17:37
32700.0,100,-100.0,0.0,SD,81400.0,77900.0,False,0.0,14:17:37
32700.0,500,-100.0,0.0,BU,81400.0,77800.0,False,0.0,14:12:47
32700.0,2000,-100.0,0.0,BU,80900.0,77800.0,False,50.0,14:12:47
32650.0,4100,-150.0,0.0,BU,78900.0,77800.0,False,0.0,13:58:56
32650.0,1900,-150.0,0.0,BU,74800.0,77800.0,False,-100.0,13:58:14
32750.0,800,-50.0,0.0,BU,72900.0,77800.0,False,50.0,13:53:51
32700.0,1500,-100.0,0.0,BU,72100.0,77800.0,False,0.0,13:53:51
32700.0,2200,-100.0,0.0,BU,70600.0,77800.0,False,50.0,13:51:12
32650.0,1100,-150.0,0.0,SD,68400.0,77800.0,False,-50.0,13:50:59
32700.0,1000,-100.0,0.0,BU,68400.0,76700.0,False,0.0,13:49:19
32700.0,3600,-100.0,0.0,BU,67400.0,76700.0,False,0.0,13:49:19
32700.0,200,-100.0,0.0,BU,63800.0,76700.0,False,0.0,13:48:22
32700.0,4800,-100.0,0.0,SD,63600.0,76700.0,False,0.0,13:44:50
32700.0,200,-100.0,0.0,BU,63600.0,71900.0,False,0.0,13:37:17
32700.0,1800,-100.0,0.0,BU,63400.0,71900.0,False,50.0,13:37:17
32650.0,500,-150.0,0.0,SD,61600.0,71900.0,False,0.0,13:29:04
32650.0,3500,-150.0,0.0,BU,61600.0,71400.0,False,0.0,13:26:58
32650.0,500,-150.0,0.0,BU,58100.0,71400.0,False,0.0,13:26:41
32650.0,1900,-150.0,0.0,SD,57600.0,71400.0,False,0.0,13:24:32
32650.0,1600,-150.0,0.0,SD,57600.0,69500.0,False,0.0,13:24:11
32650.0,900,-150.0,0.0,SD,57600.0,67900.0,False,0.0,13:24:11
32650.0,3400,-150.0,0.0,SD,57600.0,67000.0,False,0.0,13:23:53
32650.0,2500,-150.0,0.0,SD,57600.0,63600.0,False,0.0,13:23:29
32650.0,3300,-150.0,0.0,SD,57600.0,61100.0,False,0.0,13:23:03
32650.0,2900,-150.0,0.0,SD,57600.0,57800.0,False,0.0,13:22:36
32650.0,2000,-150.0,0.0,SD,57600.0,54900.0,False,0.0,13:22:14
32650.0,1500,-150.0,0.0,SD,57600.0,52900.0,False,0.0,13:22:14
32650.0,2700,-150.0,0.0,SD,57600.0,51400.0,False,0.0,13:21:40
32650.0,3000,-150.0,0.0,SD,57600.0,48700.0,False,-50.0,13:21:14
32700.0,3200,-100.0,0.0,BU,57600.0,45700.0,False,0.0,13:14:31
32700.0,6900,-100.0,0.0,BU,54400.0,45700.0,True,0.0,13:14:31
32700.0,100,-100.0,0.0,SD,47500.0,45700.0,False,-50.0,13:02:27
32750.0,400,-50.0,0.0,SD,47500.0,45600.0,False,0.0,13:02:03
32750.0,1800,-50.0,0.0,SD,47500.0,45200.0,False,0.0,13:01:51
32750.0,2200,-50.0,0.0,SD,47500.0,43400.0,False,0.0,13:01:10
32750.0,100,-50.0,0.0,SD,47500.0,41200.0,False,0.0,13:00:56
32750.0,2000,-50.0,0.0,SD,47500.0,41100.0,False,-50.0,13:00:39
32800.0,500,0.0,0.0,BU,47500.0,39100.0,False,50.0,11:09:52
32750.0,14500,-50.0,0.0,BU,47000.0,39100.0,True,-50.0,11:09:52
32800.0,1000,0.0,0.0,BU,32500.0,39100.0,False,0.0,10:50:01
32800.0,500,0.0,0.0,BU,31500.0,39100.0,False,100.0,10:50:01
32700.0,8000,-100.0,0.0,BU,31000.0,39100.0,True,0.0,10:44:22
32700.0,3400,-100.0,0.0,SD,23000.0,39100.0,False,0.0,10:39:08
32700.0,4500,-100.0,0.0,SD,23000.0,35700.0,False,0.0,10:39:02
32700.0,3000,-100.0,0.0,SD,23000.0,31200.0,False,0.0,10:38:56
32700.0,1000,-100.0,0.0,SD,23000.0,28200.0,False,0.0,10:26:23
32700.0,2100,-100.0,0.0,SD,23000.0,27200.0,False,0.0,10:20:48
32700.0,5000,-100.0,0.0,SD,23000.0,25100.0,False,-50.0,10:20:48
32750.0,400,-50.0,0.0,SD,23000.0,20100.0,False,0.0,10:20:01
32750.0,100,-50.0,0.0,SD,23000.0,19700.0,False,0.0,10:19:14
32750.0,7000,-50.0,0.0,SD,23000.0,19600.0,True,0.0,10:12:13
32750.0,5000,-50.0,0.0,SD,23000.0,12600.0,False,0.0,10:12:13
32750.0,1300,-50.0,0.0,SD,23000.0,7600.0,False,0.0,10:05:41
32750.0,1600,-50.0,0.0,SD,23000.0,6300.0,False,0.0,10:03:55
32750.0,1000,-50.0,0.0,SD,23000.0,4700.0,False,0.0,10:02:30
32750.0,1100,-50.0,0.0,SD,23000.0,3700.0,False,0.0,10:00:55
32750.0,1500,-50.0,0.0,SD,23000.0,2600.0,False,-50.0,09:59:59
32800.0,6200,0.0,0.0,BU,23000.0,1100.0,True,50.0,09:49:04
32750.0,1000,-50.0,0.0,SD,16800.0,1100.0,False,-50.0,09:44:09
32800.0,3800,0.0,0.0,BU,16800.0,100.0,False,50.0,09:36:13
32750.0,3200,-50.0,0.0,BU,13000.0,100.0,False,0.0,09:29:53
32750.0,3300,-50.0,0.0,BU,9800.0,100.0,False,0.0,09:29:33
32750.0,2500,-50.0,0.0,BU,6500.0,100.0,False,0.0,09:29:18
32750.0,4000,-50.0,0.0,BU,4000.0,100.0,False,50.0,09:29:10
32700.0,100,-100.0,0.0,SD,0.0,100.0,False,0.0,09:21:33
32700.0,3400,-100.0,0.0,,0.0,0.0,False,0.0,09:15:00
