p,v,cp,rcp,a,ba,sa,hl,pcp,t
76600.0,14600,600.0,0.0,,404300.0,194900.0,False,300.0,14:45:00
76300.0,2100,300.0,0.0,SD,404300.0,194900.0,False,0.0,14:29:41
76300.0,100,300.0,0.0,SD,404300.0,192800.0,False,0.0,14:29:41
76300.0,200,300.0,0.0,SD,404300.0,192700.0,False,0.0,14:29:41
76300.0,500,300.0,0.0,SD,404300.0,192500.0,False,-100.0,14:29:41
76400.0,100,400.0,0.0,BU,404300.0,192000.0,False,0.0,14:29:41
76400.0,500,400.0,0.0,BU,404200.0,192000.0,False,-100.0,14:29:41
76500.0,500,500.0,0.0,BU,403700.0,192000.0,False,0.0,14:29:41
76500.0,500,500.0,0.0,BU,403200.0,192000.0,False,0.0,14:29:41
76500.0,1000,500.0,0.0,BU,402700.0,192000.0,False,0.0,14:29:41
76500.0,1000,500.0,0.0,BU,401700.0,192000.0,False,0.0,14:29:41
76500.0,900,500.0,0.0,BU,400700.0,192000.0,False,-100.0,14:29:41
76600.0,500,600.0,0.0,BU,399800.0,192000.0,False,0.0,14:29:41
76600.0,100,600.0,0.0,BU,399300.0,192000.0,False,0.0,14:29:41
76600.0,100,600.0,0.0,BU,399200.0,192000.0,False,0.0,14:29:41
76600.0,100,600.0,0.0,BU,399100.0,192000.0,False,0.0,14:29:41
76600.0,300,600.0,0.0,BU,399000.0,192000.0,False,-100.0,14:29:41
76700.0,200,700.0,0.0,BU,398700.0,192000.0,False,0.0,14:29:41
76700.0,200,700.0,0.0,BU,398500.0,192000.0,False,-100.0,14:29:41
76800.0,100,800.0,0.0,BU,398300.0,192000.0,False,-200.0,14:29:41
77000.0,2000,1000.0,0.0,BU,398200.0,192000.0,False,0.0,14:29:36
77000.0,200,1000.0,0.0,BU,396200.0,192000.0,False,0.0,14:29:29
77000.0,400,1000.0,0.0,BU,396000.0,192000.0,False,100.0,14:29:25
76900.0,200,900.0,0.0,BU,395600.0,192000.0,False,100.0,14:29:25
76800.0,100,800.0,0.0,BU,395400.0,192000.0,False,0.0,14:29:25
76800.0,400,800.0,0.0,SD,395300.0,192000.0,False,-100.0,14:29:18
76900.0,300,900.0,0.0,BU,395300.0,191600.0,False,-100.0,14:29:11
77000.0,100,1000.0,0.0,BU,395000.0,191600.0,False,0.0,14:29:01
77000.0,200,1000.0,0.0,BU,394900.0,191600.0,False,100.0,14:28:38
76900.0,100,900.0,0.0,BU,394700.0,191600.0,False,0.0,14:28:38
76900.0,100,900.0,0.0,BU,394600.0,191600.0,False,0.0,14:28:38
76900.0,600,900.0,0.0,BU,394500.0,191600.0,False,0.0,14:28:38
76900.0,100,900.0,0.0,BU,393900.0,191600.0,False,0.0,14:28:34
76900.0,100,900.0,0.0,BU,393800.0,191600.0,False,100.0,14:28:06
76800.0,600,800.0,0.0,BU,393700.0,191600.0,False,0.0,14:28:04
76800.0,200,800.0,0.0,BU,393100.0,191600.0,False,0.0,14:28:03
76800.0,100,800.0,0.0,BU,392900.0,191600.0,False,0.0,14:27:49
76800.0,100,800.0,0.0,BU,392800.0,191600.0,False,0.0,14:27:39
76800.0,1000,800.0,0.0,SD,392700.0,191600.0,False,-100.0,14:27:38
76900.0,200,900.0,0.0,BU,392700.0,190600.0,False,0.0,14:27:16
76900.0,300,900.0,0.0,BU,392500.0,190600.0,False,0.0,14:27:16
76900.0,1000,900.0,0.0,BU,392200.0,190600.0,False,0.0,14:27:12
76900.0,200,900.0,0.0,BU,391200.0,190600.0,False,100.0,14:27:11
76800.0,500,800.0,0.0,BU,391000.0,190600.0,False,-100.0,14:27:11
76900.0,3000,900.0,0.0,BU,390500.0,190600.0,True,0.0,14:26:47
76900.0,100,900.0,0.0,BU,387500.0,190600.0,False,100.0,14:26:44
76800.0,100,800.0,0.0,SD,387400.0,190600.0,False,-100.0,14:26:25
76900.0,100,900.0,0.0,BU,387400.0,190500.0,False,0.0,14:26:16
76900.0,300,900.0,0.0,BU,387300.0,190500.0,False,0.0,14:25:53
76900.0,200,900.0,0.0,BU,387000.0,190500.0,False,0.0,14:25:48
76900.0,100,900.0,0.0,BU,386800.0,190500.0,False,0.0,14:25:26
76900.0,100,900.0,0.0,BU,386700.0,190500.0,False,0.0,14:25:21
76900.0,600,900.0,0.0,BU,386600.0,190500.0,False,100.0,14:25:09
76800.0,500,800.0,0.0,BU,386000.0,190500.0,False,0.0,14:25:09
76800.0,100,800.0,0.0,BU,385500.0,190500.0,False,0.0,14:25:09
76800.0,400,800.0,0.0,BU,385400.0,190500.0,False,0.0,14:25:09
76800.0,200,800.0,0.0,BU,385000.0,190500.0,False,200.0,14:24:53
76600.0,500,600.0,0.0,SD,384800.0,190500.0,False,0.0,14:24:46
76600.0,1500,600.0,0.0,SD,384800.0,190000.0,False,-200.0,14:24:46
76800.0,400,800.0,0.0,SD,384800.0,188500.0,False,-100.0,14:24:40
76900.0,100,900.0,0.0,BU,384800.0,188100.0,False,300.0,14:24:26
76600.0,200,600.0,0.0,SD,384700.0,188100.0,False,-100.0,14:24:18
76700.0,100,700.0,0.0,BU,384700.0,187900.0,False,0.0,14:23:58
76700.0,100,700.0,0.0,SD,384600.0,187900.0,False,0.0,14:23:58
76700.0,200,700.0,0.0,SD,384600.0,187800.0,False,-200.0,14:23:58
76900.0,1000,900.0,0.0,BU,384600.0,187600.0,False,0.0,14:23:43
76900.0,1000,900.0,0.0,BU,383600.0,187600.0,False,0.0,14:23:43
76900.0,400,900.0,0.0,BU,382600.0,187600.0,False,0.0,14:23:43
76900.0,200,900.0,0.0,BU,382200.0,187600.0,False,0.0,14:23:31
76900.0,100,900.0,0.0,BU,382000.0,187600.0,False,200.0,14:23:03
76700.0,100,700.0,0.0,SD,381900.0,187600.0,False,0.0,14:22:54
76700.0,100,700.0,0.0,SD,381900.0,187500.0,False,-300.0,14:22:54
77000.0,200,1000.0,0.0,BU,381900.0,187400.0,False,0.0,14:22:35
77000.0,100,1000.0,0.0,BU,381700.0,187400.0,False,0.0,14:22:08
77000.0,100,1000.0,0.0,BU,381600.0,187400.0,False,0.0,14:21:40
77000.0,200,1000.0,0.0,BU,381500.0,187400.0,False,200.0,14:21:13
76800.0,100,800.0,0.0,SD,381300.0,187400.0,False,-200.0,14:20:50
77000.0,100,1000.0,0.0,BU,381300.0,187300.0,False,0.0,14:20:45
77000.0,200,1000.0,0.0,BU,381200.0,187300.0,False,0.0,14:20:18
77000.0,100,1000.0,0.0,BU,381000.0,187300.0,False,0.0,14:19:50
77000.0,100,1000.0,0.0,BU,380900.0,187300.0,False,0.0,14:19:31
77000.0,100,1000.0,0.0,BU,380800.0,187300.0,False,0.0,14:19:31
77000.0,100,1000.0,0.0,BU,380700.0,187300.0,False,0.0,14:19:31
77000.0,200,1000.0,0.0,BU,380600.0,187300.0,False,0.0,14:19:31
77000.0,400,1000.0,0.0,BU,380400.0,187300.0,False,0.0,14:19:31
77000.0,100,1000.0,0.0,BU,380000.0,187300.0,False,0.0,14:19:22
77000.0,200,1000.0,0.0,BU,379900.0,187300.0,False,0.0,14:18:56
77000.0,1000,1000.0,0.0,BU,379700.0,187300.0,False,0.0,14:18:43
77000.0,200,1000.0,0.0,BU,378700.0,187300.0,False,100.0,14:18:27
76900.0,200,900.0,0.0,BU,378500.0,187300.0,False,0.0,14:17:27
76900.0,100,900.0,0.0,BU,378300.0,187300.0,False,100.0,14:17:25
76800.0,1000,800.0,0.0,BU,378200.0,187300.0,False,0.0,14:16:28
76800.0,100,800.0,0.0,BU,377200.0,187300.0,False,0.0,14:16:28
76800.0,1700,800.0,0.0,BU,377100.0,187300.0,False,0.0,14:16:28
76800.0,100,800.0,0.0,BU,375400.0,187300.0,False,0.0,14:16:26
76800.0,300,800.0,0.0,BU,375300.0,187300.0,False,0.0,14:16:22
76800.0,100,800.0,0.0,BU,375000.0,187300.0,False,0.0,14:16:22
76800.0,500,800.0,0.0,BU,374900.0,187300.0,False,0.0,14:16:22
76800.0,100,800.0,0.0,BU,374400.0,187300.0,False,0.0,14:16:22
76800.0,100,800.0,0.0,BU,374300.0,187300.0,False,0.0,14:16:09
76800.0,1000,800.0,0.0,BU,374200.0,187300.0,False,0.0,14:16:06
76800.0,100,800.0,0.0,BU,373200.0,187300.0,False,0.0,14:15:42
76800.0,400,800.0,0.0,BU,373100.0,187300.0,False,0.0,14:15:35
76800.0,500,800.0,0.0,BU,372700.0,187300.0,False,0.0,14:15:32
76800.0,100,800.0,0.0,BU,372200.0,187300.0,False,0.0,14:15:14
76800.0,100,800.0,0.0,BU,372100.0,187300.0,False,200.0,14:14:47
76600.0,1400,600.0,0.0,BU,372000.0,187300.0,False,0.0,14:14:43
76600.0,1900,600.0,0.0,BU,370600.0,187300.0,False,0.0,14:14:43
76600.0,200,600.0,0.0,BU,368700.0,187300.0,False,0.0,14:14:19
76600.0,5000,600.0,0.0,BU,368500.0,187300.0,True,0.0,14:14:01
76600.0,100,600.0,0.0,BU,363500.0,187300.0,False,0.0,14:13:52
