p,v,cp,rcp,a,ba,sa,hl,pcp,t
29500.0,49300,650.0,0.0,,1183800.0,1016700.0,False,-250.0,14:45:00
29750.0,200,900.0,0.0,BU,1183800.0,1016700.0,False,0.0,14:29:54
29750.0,200,900.0,0.0,BU,1183600.0,1016700.0,False,0.0,14:29:44
29750.0,100,900.0,0.0,BU,1183400.0,1016700.0,False,150.0,14:29:35
29600.0,100,750.0,0.0,SD,1183300.0,1016700.0,False,-100.0,14:29:28
29700.0,400,850.0,0.0,BU,1183300.0,1016600.0,False,0.0,14:29:28
29700.0,400,850.0,0.0,SD,1182900.0,1016600.0,False,0.0,14:29:23
29700.0,1000,850.0,0.0,SD,1182900.0,1016200.0,False,0.0,14:29:22
29700.0,10000,850.0,0.0,BU,1182900.0,1015200.0,True,0.0,14:29:22
29700.0,300,850.0,0.0,BU,1172900.0,1015200.0,False,0.0,14:29:22
29700.0,2000,850.0,0.0,BU,1172600.0,1015200.0,False,0.0,14:29:22
29700.0,4900,850.0,0.0,BU,1170600.0,1015200.0,False,0.0,14:29:22
29700.0,500,850.0,0.0,BU,1165700.0,1015200.0,False,0.0,14:29:22
29700.0,400,850.0,0.0,BU,1165200.0,1015200.0,False,50.0,14:29:22
29650.0,1000,800.0,0.0,BU,1164800.0,1015200.0,False,0.0,14:29:22
29650.0,200,800.0,0.0,BU,1163800.0,1015200.0,False,0.0,14:29:22
29650.0,2000,800.0,0.0,BU,1163600.0,1015200.0,False,0.0,14:29:22
29650.0,300,800.0,0.0,BU,1161600.0,1015200.0,False,0.0,14:29:22
29650.0,700,800.0,0.0,BU,1161300.0,1015200.0,False,0.0,14:29:22
29650.0,900,800.0,0.0,BU,1160600.0,1015200.0,False,0.0,14:29:22
29650.0,300,800.0,0.0,BU,1159700.0,1015200.0,False,50.0,14:29:20
29600.0,2400,750.0,0.0,BU,1159400.0,1015200.0,False,0.0,14:29:17
29600.0,500,750.0,0.0,BU,1157000.0,1015200.0,False,0.0,14:29:15
29600.0,2000,750.0,0.0,BU,1156500.0,1015200.0,False,0.0,14:29:10
29600.0,200,750.0,0.0,BU,1154500.0,1015200.0,False,0.0,14:29:10
29600.0,600,750.0,0.0,SD,1154300.0,1015200.0,False,0.0,14:29:00
29600.0,200,750.0,0.0,SD,1154300.0,1014600.0,False,50.0,14:28:59
29550.0,300,700.0,0.0,BU,1154300.0,1014400.0,False,50.0,14:28:41
29500.0,300,650.0,0.0,SD,1154000.0,1014400.0,False,0.0,14:28:36
29500.0,700,650.0,0.0,SD,1154000.0,1014100.0,False,0.0,14:28:36
29500.0,1000,650.0,0.0,SD,1154000.0,1013400.0,False,-150.0,14:28:35
29650.0,400,800.0,0.0,BU,1154000.0,1012400.0,False,0.0,14:28:32
29650.0,100,800.0,0.0,BU,1153600.0,1012400.0,False,150.0,14:28:28
29500.0,500,650.0,0.0,SD,1153500.0,1012400.0,False,0.0,14:28:14
29500.0,1400,650.0,0.0,SD,1153500.0,1011900.0,False,0.0,14:28:14
29500.0,400,650.0,0.0,BU,1153500.0,1010500.0,False,0.0,14:28:02
29500.0,600,650.0,0.0,BU,1153100.0,1010500.0,False,0.0,14:28:02
29500.0,300,650.0,0.0,BU,1152500.0,1010500.0,False,0.0,14:27:49
29500.0,100,650.0,0.0,BU,1152200.0,1010500.0,False,50.0,14:27:41
29450.0,100,600.0,0.0,SD,1152100.0,1010500.0,False,0.0,14:27:34
29450.0,1200,600.0,0.0,BU,1152100.0,1010400.0,False,0.0,14:27:28
29450.0,500,600.0,0.0,BU,1150900.0,1010400.0,False,0.0,14:27:24
29450.0,200,600.0,0.0,BU,1150400.0,1010400.0,False,0.0,14:27:23
29450.0,100,600.0,0.0,SD,1150200.0,1010400.0,False,-50.0,14:27:21
29500.0,6000,650.0,0.0,SD,1150200.0,1010300.0,False,0.0,14:27:17
29500.0,2000,650.0,0.0,SD,1150200.0,1004300.0,False,-150.0,14:27:16
29650.0,100,800.0,0.0,BU,1150200.0,1002300.0,False,150.0,14:27:12
29500.0,2000,650.0,0.0,BU,1150100.0,1002300.0,False,0.0,14:27:07
29500.0,3000,650.0,0.0,BU,1148100.0,1002300.0,False,50.0,14:27:07
29450.0,1500,600.0,0.0,BU,1145100.0,1002300.0,False,-50.0,14:27:07
29500.0,500,650.0,0.0,BU,1143600.0,1002300.0,False,300.0,14:27:07
29200.0,1400,350.0,0.0,SD,1143100.0,1002300.0,False,0.0,14:27:01
29200.0,500,350.0,0.0,SD,1143100.0,1000900.0,False,0.0,14:27:00
29200.0,3000,350.0,0.0,SD,1143100.0,1000400.0,False,-50.0,14:27:00
29250.0,1000,400.0,0.0,SD,1143100.0,997400.0,False,-50.0,14:27:00
29300.0,100,450.0,0.0,SD,1143100.0,996400.0,False,0.0,14:27:00
29300.0,1000,450.0,0.0,SD,1143100.0,996300.0,False,-50.0,14:27:00
29350.0,1000,500.0,0.0,SD,1143100.0,995300.0,False,-100.0,14:27:00
29450.0,500,600.0,0.0,BU,1143100.0,994300.0,False,0.0,14:26:53
29450.0,500,600.0,0.0,SD,1142600.0,994300.0,False,-50.0,14:26:46
29500.0,100,650.0,0.0,BU,1142600.0,993800.0,False,0.0,14:26:45
29500.0,100,650.0,0.0,BU,1142500.0,993800.0,False,0.0,14:26:45
29500.0,300,650.0,0.0,BU,1142400.0,993800.0,False,0.0,14:26:45
29500.0,700,650.0,0.0,BU,1142100.0,993800.0,False,50.0,14:26:27
29450.0,1000,600.0,0.0,SD,1141400.0,993800.0,False,-50.0,14:26:23
