p,v,cp,rcp,a,ba,sa,hl,pcp,t
22050.0,123700,-250.0,0.0,,502700.0,1050600.0,False,-200.0,14:45:00
22250.0,4400,-50.0,0.0,BU,502700.0,1050600.0,False,0.0,14:29:52
22250.0,1000,-50.0,0.0,BU,498300.0,1050600.0,False,50.0,14:29:52
22200.0,1500,-100.0,0.0,SD,497300.0,1050600.0,False,0.0,14:29:49
22200.0,100,-100.0,0.0,SD,497300.0,1049100.0,False,0.0,14:29:37
22200.0,1000,-100.0,0.0,SD,497300.0,1049000.0,False,0.0,14:29:37
22200.0,1000,-100.0,0.0,SD,497300.0,1048000.0,False,0.0,14:29:37
22200.0,500,-100.0,0.0,SD,497300.0,1047000.0,False,0.0,14:29:37
22200.0,5000,-100.0,0.0,SD,497300.0,1046500.0,False,0.0,14:29:37
22200.0,3700,-100.0,0.0,SD,497300.0,1041500.0,False,50.0,14:29:37
22150.0,4300,-150.0,0.0,SD,497300.0,1037800.0,False,0.0,14:29:37
22150.0,300,-150.0,0.0,SD,497300.0,1033500.0,False,0.0,14:29:37
22150.0,400,-150.0,0.0,BU,497300.0,1033200.0,False,0.0,14:29:36
22150.0,3600,-150.0,0.0,SD,496900.0,1033200.0,False,0.0,14:29:34
22150.0,6400,-150.0,0.0,SD,496900.0,1029600.0,False,0.0,14:29:34
22150.0,100,-150.0,0.0,SD,496900.0,1023200.0,False,0.0,14:28:49
22150.0,200,-150.0,0.0,BU,496900.0,1023100.0,False,0.0,14:28:24
22150.0,800,-150.0,0.0,BU,496700.0,1023100.0,False,0.0,14:28:24
22150.0,2500,-150.0,0.0,BU,495900.0,1023100.0,False,50.0,14:28:24
22100.0,1000,-200.0,0.0,SD,493400.0,1023100.0,False,0.0,14:28:06
22100.0,1000,-200.0,0.0,SD,493400.0,1022100.0,False,0.0,14:28:02
22100.0,500,-200.0,0.0,SD,493400.0,1021100.0,False,0.0,14:28:02
22100.0,2000,-200.0,0.0,SD,493400.0,1020600.0,False,0.0,14:27:53
22100.0,1000,-200.0,0.0,SD,493400.0,1018600.0,False,0.0,14:27:53
22100.0,1000,-200.0,0.0,SD,493400.0,1017600.0,False,0.0,14:27:53
22100.0,1000,-200.0,0.0,SD,493400.0,1016600.0,False,0.0,14:27:53
22100.0,2000,-200.0,0.0,SD,493400.0,1015600.0,False,0.0,14:27:47
22100.0,5000,-200.0,0.0,SD,493400.0,1013600.0,False,0.0,14:27:25
22100.0,9000,-200.0,0.0,SD,493400.0,1008600.0,False,0.0,14:27:05
22100.0,10000,-200.0,0.0,SD,493400.0,999600.0,True,-50.0,14:26:57
