p,v,cp,rcp,a,ba,sa,hl,pcp,t
22350.0,1600,-500.0,0.0,,66500.0,11000.0,False,-500.0,14:45:00
22850.0,100,0.0,0.0,BU,66500.0,11000.0,False,50.0,14:29:41
22800.0,100,-50.0,0.0,BU,66400.0,11000.0,False,0.0,14:29:41
22800.0,600,-50.0,0.0,BU,66300.0,11000.0,False,0.0,14:29:41
22800.0,1300,-50.0,0.0,BU,65700.0,11000.0,False,0.0,14:29:41
22800.0,300,-50.0,0.0,BU,64400.0,11000.0,False,0.0,14:29:41
22800.0,300,-50.0,0.0,BU,64100.0,11000.0,False,0.0,14:29:41
22800.0,100,-50.0,0.0,BU,63800.0,11000.0,False,100.0,14:29:41
22700.0,200,-150.0,0.0,BU,63700.0,11000.0,False,0.0,14:29:41
22700.0,4000,-150.0,0.0,BU,63500.0,11000.0,False,0.0,14:28:50
22700.0,5500,-150.0,0.0,BU,59500.0,11000.0,False,0.0,14:28:40
22700.0,5000,-150.0,0.0,BU,54000.0,11000.0,False,0.0,14:28:33
22700.0,400,-150.0,0.0,BU,49000.0,11000.0,False,50.0,14:28:27
22650.0,2600,-200.0,0.0,BU,48600.0,11000.0,False,0.0,14:28:27
22650.0,3500,-200.0,0.0,BU,46000.0,11000.0,False,0.0,14:28:19
22650.0,4000,-200.0,0.0,BU,42500.0,11000.0,False,-150.0,14:28:13
22800.0,100,-50.0,0.0,BU,38500.0,11000.0,False,0.0,13:41:17
22800.0,100,-50.0,0.0,BU,38400.0,11000.0,False,550.0,13:40:57
22250.0,100,-600.0,0.0,BU,38300.0,11000.0,False,0.0,11:18:40
22250.0,1000,-600.0,0.0,BU,38200.0,11000.0,False,0.0,11:18:40
22250.0,300,-600.0,0.0,BU,37200.0,11000.0,False,0.0,10:59:02
22250.0,1000,-600.0,0.0,BU,36900.0,11000.0,False,0.0,10:58:38
22250.0,100,-600.0,0.0,BU,35900.0,11000.0,False,0.0,10:58:30
22250.0,500,-600.0,0.0,SD,35800.0,11000.0,False,0.0,10:57:34
22250.0,100,-600.0,0.0,SD,35800.0,10500.0,False,50.0,10:57:34
22200.0,7000,-650.0,0.0,BU,35800.0,10400.0,False,0.0,10:46:19
22200.0,200,-650.0,0.0,SD,28800.0,10400.0,False,0.0,10:46:09
22200.0,100,-650.0,0.0,SD,28800.0,10200.0,False,-100.0,10:46:09
22300.0,400,-550.0,0.0,BU,28800.0,10100.0,False,100.0,10:45:30
22200.0,100,-650.0,0.0,SD,28400.0,10100.0,False,-100.0,10:45:29
22300.0,100,-550.0,0.0,BU,28400.0,10000.0,False,0.0,10:45:28
22300.0,500,-550.0,0.0,BU,28300.0,10000.0,False,0.0,10:45:28
22300.0,800,-550.0,0.0,BU,27800.0,10000.0,False,0.0,10:45:28
22300.0,100,-550.0,0.0,BU,27000.0,10000.0,False,-50.0,10:45:28
22350.0,300,-500.0,0.0,BU,26900.0,10000.0,False,0.0,10:45:28
22350.0,300,-500.0,0.0,BU,26600.0,10000.0,False,0.0,10:45:28
22350.0,200,-500.0,0.0,BU,26300.0,10000.0,False,-450.0,10:45:28
22800.0,500,-50.0,0.0,BU,26100.0,10000.0,False,-50.0,10:17:00
22850.0,2500,0.0,0.0,BU,25600.0,10000.0,False,0.0,09:34:08
22850.0,2200,0.0,0.0,BU,23100.0,10000.0,False,0.0,09:33:55
22850.0,800,0.0,0.0,BU,20900.0,10000.0,False,0.0,09:33:55
22850.0,1600,0.0,0.0,BU,20100.0,10000.0,False,350.0,09:33:25
22500.0,400,-350.0,0.0,BU,18500.0,10000.0,False,0.0,09:33:25
22500.0,4600,-350.0,0.0,BU,18100.0,10000.0,False,-350.0,09:33:11
22850.0,3500,0.0,0.0,BU,13500.0,10000.0,False,0.0,09:33:03
22850.0,600,0.0,0.0,BU,10000.0,10000.0,False,50.0,09:32:57
22800.0,2400,-50.0,0.0,BU,9400.0,10000.0,False,300.0,09:32:57
22500.0,2500,-350.0,0.0,SD,7000.0,10000.0,False,0.0,09:32:49
22500.0,2900,-350.0,0.0,SD,7000.0,7500.0,False,0.0,09:32:42
22500.0,100,-350.0,0.0,SD,7000.0,4600.0,False,-300.0,09:32:42
22800.0,4000,-50.0,0.0,BU,7000.0,4500.0,False,0.0,09:32:35
22800.0,2500,-50.0,0.0,BU,3000.0,4500.0,False,250.0,09:32:28
22550.0,500,-300.0,0.0,BU,500.0,4500.0,False,0.0,09:32:28
22550.0,4500,-300.0,0.0,SD,0.0,4500.0,False,0.0,09:32:20
