p,v,cp,rcp,a,ba,sa,hl,pcp,t
27800.0,1000,-1500.0,-0.1,,6100.0,4600.0,False,-200.0,14:45:01
28000.0,400,-1300.0,0.0,BU,6100.0,4600.0,False,0.0,14:26:21
28000.0,100,-1300.0,0.0,BU,5700.0,4600.0,False,300.0,14:25:52
27700.0,500,-1600.0,-0.1,SD,5600.0,4600.0,False,0.0,13:48:48
27700.0,200,-1600.0,-0.1,SD,5600.0,4100.0,False,0.0,13:31:41
27700.0,1100,-1600.0,-0.1,SD,5600.0,3900.0,False,-300.0,13:29:54
28000.0,100,-1300.0,0.0,BU,5600.0,2800.0,False,0.0,13:19:10
28000.0,500,-1300.0,0.0,BU,5500.0,2800.0,False,0.0,13:18:40
28000.0,1000,-1300.0,0.0,BU,5000.0,2800.0,False,0.0,13:14:54
28000.0,3500,-1300.0,0.0,BU,4000.0,2800.0,False,-100.0,13:00:04
28100.0,1200,-1200.0,0.0,SD,500.0,2800.0,False,100.0,11:29:47
28000.0,500,-1300.0,0.0,BU,500.0,1600.0,False,-100.0,10:33:51
28100.0,1500,-1200.0,0.0,SD,0.0,1600.0,False,100.0,10:32:04
28000.0,100,-1300.0,0.0,SD,0.0,100.0,False,0.0,09:38:15
