p,v,cp,rcp,a,ba,sa,hl,pcp,t
36700.0,31600,-800.0,0.0,,214600.0,249900.0,False,0.0,14:45:00
36700.0,200,-800.0,0.0,SD,214600.0,249900.0,False,0.0,14:29:49
36700.0,300,-800.0,0.0,SD,214600.0,249700.0,False,0.0,14:29:49
36700.0,100,-800.0,0.0,SD,214600.0,249400.0,False,0.0,14:29:49
36700.0,100,-800.0,0.0,SD,214600.0,249300.0,False,0.0,14:29:49
36700.0,500,-800.0,0.0,SD,214600.0,249200.0,False,0.0,14:29:49
36700.0,300,-800.0,0.0,SD,214600.0,248700.0,False,-50.0,14:29:49
36750.0,700,-750.0,0.0,BU,214600.0,248400.0,False,0.0,14:29:49
36750.0,1800,-750.0,0.0,BU,213900.0,248400.0,False,0.0,14:29:49
36750.0,200,-750.0,0.0,SD,212100.0,248400.0,False,0.0,14:29:42
36750.0,100,-750.0,0.0,BU,212100.0,248200.0,False,0.0,14:29:32
36750.0,400,-750.0,0.0,BU,212000.0,248200.0,False,50.0,14:29:32
36700.0,500,-800.0,0.0,SD,211600.0,248200.0,False,0.0,14:29:25
36700.0,100,-800.0,0.0,SD,211600.0,247700.0,False,-50.0,14:29:13
36750.0,200,-750.0,0.0,BU,211600.0,247600.0,False,50.0,14:28:59
36700.0,100,-800.0,0.0,SD,211400.0,247600.0,False,-50.0,14:28:36
36750.0,400,-750.0,0.0,BU,211400.0,247500.0,False,-50.0,14:27:47
36800.0,700,-700.0,0.0,SD,211000.0,247500.0,False,0.0,14:27:32
36800.0,1000,-700.0,0.0,BU,211000.0,246800.0,False,0.0,14:27:26
36800.0,100,-700.0,0.0,BU,210000.0,246800.0,False,0.0,14:27:26
36800.0,400,-700.0,0.0,BU,209900.0,246800.0,False,0.0,14:27:26
36800.0,100,-700.0,0.0,BU,209500.0,246800.0,False,50.0,14:27:22
36750.0,800,-750.0,0.0,BU,209400.0,246800.0,False,-50.0,14:27:22
36800.0,100,-700.0,0.0,BU,208600.0,246800.0,False,0.0,14:27:13
36800.0,200,-700.0,0.0,BU,208500.0,246800.0,False,0.0,14:26:26
36800.0,200,-700.0,0.0,BU,208300.0,246800.0,False,0.0,14:25:01
36800.0,100,-700.0,0.0,BU,208100.0,246800.0,False,0.0,14:25:01
36800.0,100,-700.0,0.0,SD,208000.0,246800.0,False,-100.0,14:24:28
36900.0,100,-600.0,0.0,BU,208000.0,246700.0,False,-100.0,14:24:06
37000.0,500,-500.0,0.0,BU,207900.0,246700.0,False,0.0,14:24:00
37000.0,200,-500.0,0.0,SD,207400.0,246700.0,False,0.0,14:23:23
37000.0,100,-500.0,0.0,SD,207400.0,246500.0,False,0.0,14:23:23
37000.0,400,-500.0,0.0,SD,207400.0,246400.0,False,0.0,14:23:01
37000.0,2000,-500.0,0.0,SD,207400.0,246000.0,False,0.0,14:23:01
37000.0,300,-500.0,0.0,SD,207400.0,244000.0,False,-50.0,14:23:01
37050.0,300,-450.0,0.0,SD,207400.0,243700.0,False,-300.0,14:23:01
37350.0,1200,-150.0,0.0,SD,207400.0,243400.0,False,-50.0,14:22:19
37400.0,100,-100.0,0.0,BU,207400.0,242200.0,False,0.0,14:22:17
37400.0,700,-100.0,0.0,SD,207300.0,242200.0,False,-50.0,14:21:52
37450.0,100,-50.0,0.0,BU,207300.0,241500.0,False,0.0,14:21:44
37450.0,200,-50.0,0.0,SD,207200.0,241500.0,False,0.0,14:21:26
37450.0,500,-50.0,0.0,BU,207200.0,241300.0,False,0.0,14:21:17
37450.0,300,-50.0,0.0,BU,206700.0,241300.0,False,50.0,14:21:17
37400.0,200,-100.0,0.0,SD,206400.0,241300.0,False,0.0,14:21:17
37400.0,100,-100.0,0.0,SD,206400.0,241100.0,False,0.0,14:21:17
37400.0,1300,-100.0,0.0,SD,206400.0,241000.0,False,0.0,14:21:17
37400.0,700,-100.0,0.0,SD,206400.0,239700.0,False,0.0,14:21:10
37400.0,300,-100.0,0.0,SD,206400.0,239000.0,False,0.0,14:21:10
37400.0,700,-100.0,0.0,SD,206400.0,238700.0,False,0.0,14:20:55
37400.0,100,-100.0,0.0,SD,206400.0,238000.0,False,0.0,14:20:55
37400.0,200,-100.0,0.0,SD,206400.0,237900.0,False,0.0,14:20:55
37400.0,1700,-100.0,0.0,SD,206400.0,237700.0,False,0.0,14:20:54
37400.0,2000,-100.0,0.0,SD,206400.0,236000.0,False,0.0,14:20:54
37400.0,100,-100.0,0.0,SD,206400.0,234000.0,False,-50.0,14:20:54
37450.0,700,-50.0,0.0,SD,206400.0,233900.0,False,0.0,14:20:40
