p,v,cp,rcp,a,ba,sa,hl,pcp,t
7200.0,100,100.0,0.0,SD,144500.0,71500.0,False,0.0,15:00:00
7200.0,100,100.0,0.0,SD,144500.0,71400.0,False,0.0,14:59:54
7200.0,100,100.0,0.0,SD,144500.0,71300.0,False,0.0,14:59:49
7200.0,100,100.0,0.0,SD,144500.0,71200.0,False,0.0,14:59:26
7200.0,1000,100.0,0.0,SD,144500.0,71100.0,False,0.0,14:59:11
7200.0,100,100.0,0.0,SD,144500.0,70100.0,False,0.0,14:59:07
7200.0,300,100.0,0.0,SD,144500.0,70000.0,False,0.0,14:59:01
7200.0,200,100.0,0.0,SD,144500.0,69700.0,False,0.0,14:58:57
7200.0,200,100.0,0.0,SD,144500.0,69500.0,False,0.0,14:58:51
7200.0,300,100.0,0.0,SD,144500.0,69300.0,False,0.0,14:58:44
7200.0,6900,100.0,0.0,BU,144500.0,69000.0,False,0.0,14:58:36
7200.0,100,100.0,0.0,BU,137600.0,69000.0,False,0.0,14:54:34
7200.0,500,100.0,0.0,BU,137500.0,69000.0,False,100.0,14:49:39
7100.0,1000,0.0,0.0,SD,137000.0,69000.0,False,0.0,14:25:52
7100.0,300,0.0,0.0,SD,137000.0,68000.0,False,-100.0,14:24:09
7200.0,5700,100.0,0.0,BU,137000.0,67700.0,False,100.0,14:18:10
7100.0,17000,0.0,0.0,SD,131300.0,67700.0,False,-100.0,14:10:01
7200.0,100,100.0,0.0,BU,131300.0,50700.0,False,0.0,13:54:37
7200.0,2800,100.0,0.0,BU,131200.0,50700.0,False,100.0,13:50:55
7100.0,6900,0.0,0.0,SD,128400.0,50700.0,False,-100.0,13:49:40
7200.0,100,100.0,0.0,BU,128400.0,43800.0,False,0.0,13:49:28
7200.0,600,100.0,0.0,BU,128300.0,43800.0,False,100.0,13:39:04
7100.0,2600,0.0,0.0,SD,127700.0,43800.0,False,0.0,13:38:30
7100.0,100,0.0,0.0,SD,127700.0,41200.0,False,0.0,13:34:36
7100.0,200,0.0,0.0,BU,127700.0,41100.0,False,100.0,13:28:09
7000.0,3600,-100.0,0.0,SD,127500.0,41100.0,False,-100.0,13:27:46
7100.0,100,0.0,0.0,BU,127500.0,37500.0,False,100.0,13:22:42
7000.0,10400,-100.0,0.0,SD,127400.0,37500.0,False,-100.0,13:22:41
7100.0,300,0.0,0.0,BU,127400.0,27100.0,False,0.0,13:18:33
7100.0,100,0.0,0.0,BU,127100.0,27100.0,False,100.0,13:17:02
7000.0,700,-100.0,0.0,SD,127000.0,27100.0,False,0.0,13:16:54
7000.0,1000,-100.0,0.0,BU,127000.0,26400.0,False,0.0,13:16:51
7000.0,100,-100.0,0.0,BU,126000.0,26400.0,False,0.0,13:16:40
7000.0,1000,-100.0,0.0,BU,125900.0,26400.0,False,0.0,13:16:01
7000.0,1000,-100.0,0.0,BU,124900.0,26400.0,False,0.0,13:15:19
7000.0,2200,-100.0,0.0,SD,123900.0,26400.0,False,0.0,13:14:28
7000.0,900,-100.0,0.0,BU,123900.0,24200.0,False,0.0,13:09:12
7000.0,200,-100.0,0.0,BU,123000.0,24200.0,False,0.0,13:08:50
7000.0,2000,-100.0,0.0,BU,122800.0,24200.0,False,0.0,13:08:42
7000.0,21900,-100.0,0.0,BU,120800.0,24200.0,False,0.0,13:08:03
7000.0,500,-100.0,0.0,SD,98900.0,24200.0,False,0.0,13:01:27
7000.0,500,-100.0,0.0,SD,98900.0,23700.0,False,0.0,13:00:09
7000.0,400,-100.0,0.0,SD,98900.0,23200.0,False,0.0,13:00:04
7000.0,100,-100.0,0.0,SD,98900.0,22800.0,False,0.0,13:00:03
7000.0,3700,-100.0,0.0,SD,98900.0,22700.0,False,-100.0,11:26:37
7100.0,300,0.0,0.0,BU,98900.0,19000.0,False,0.0,11:25:50
7100.0,1000,0.0,0.0,BU,98600.0,19000.0,False,0.0,11:25:12
7100.0,500,0.0,0.0,BU,97600.0,19000.0,False,0.0,11:24:33
7100.0,200,0.0,0.0,BU,97100.0,19000.0,False,0.0,11:20:58
7100.0,800,0.0,0.0,BU,96900.0,19000.0,False,0.0,11:20:04
7100.0,300,0.0,0.0,BU,96100.0,19000.0,False,0.0,11:19:43
7100.0,7800,0.0,0.0,BU,95800.0,19000.0,False,-100.0,11:18:10
7200.0,200,100.0,0.0,BU,88000.0,19000.0,False,0.0,10:58:57
7200.0,700,100.0,0.0,BU,87800.0,19000.0,False,100.0,10:58:26
7100.0,500,0.0,0.0,SD,87100.0,19000.0,False,0.0,10:52:51
7100.0,100,0.0,0.0,BU,87100.0,18500.0,False,0.0,10:51:52
7100.0,500,0.0,0.0,BU,87000.0,18500.0,False,0.0,10:49:09
7100.0,500,0.0,0.0,BU,86500.0,18500.0,False,0.0,10:48:53
7100.0,1000,0.0,0.0,BU,86000.0,18500.0,False,0.0,10:47:18
7100.0,200,0.0,0.0,BU,85000.0,18500.0,False,0.0,10:46:49
7100.0,1000,0.0,0.0,BU,84800.0,18500.0,False,0.0,10:46:01
7100.0,100,0.0,0.0,BU,83800.0,18500.0,False,0.0,10:45:27
7100.0,1000,0.0,0.0,BU,83700.0,18500.0,False,0.0,10:44:25
7100.0,25100,0.0,0.0,BU,82700.0,18500.0,False,0.0,10:43:51
7100.0,1500,0.0,0.0,SD,57600.0,18500.0,False,-100.0,10:34:28
7200.0,1500,100.0,0.0,BU,57600.0,17000.0,False,0.0,10:31:38
7200.0,1000,100.0,0.0,SD,56100.0,17000.0,False,0.0,10:31:02
7200.0,2700,100.0,0.0,SD,56100.0,16000.0,False,0.0,10:26:24
7200.0,500,100.0,0.0,BU,56100.0,13300.0,False,0.0,10:25:29
7200.0,1000,100.0,0.0,BU,55600.0,13300.0,False,0.0,10:25:20
7200.0,26500,100.0,0.0,BU,54600.0,13300.0,False,0.0,10:18:38
7200.0,2000,100.0,0.0,SD,28100.0,13300.0,False,0.0,10:15:10
7200.0,1000,100.0,0.0,SD,28100.0,11300.0,False,0.0,10:14:48
7200.0,1000,100.0,0.0,SD,28100.0,10300.0,False,0.0,10:13:17
7200.0,300,100.0,0.0,SD,28100.0,9300.0,False,-100.0,10:09:01
7300.0,2000,200.0,0.0,BU,28100.0,9000.0,False,0.0,10:02:08
7300.0,300,200.0,0.0,SD,26100.0,9000.0,False,0.0,09:57:28
7300.0,5000,200.0,0.0,BU,26100.0,8700.0,False,0.0,09:54:18
7300.0,100,200.0,0.0,SD,21100.0,8700.0,False,0.0,09:54:04
7300.0,5000,200.0,0.0,SD,21100.0,8600.0,False,0.0,09:53:35
7300.0,3000,200.0,0.0,SD,21100.0,3600.0,False,-100.0,09:52:35
7400.0,100,300.0,0.0,BU,21100.0,600.0,False,0.0,09:47:20
7400.0,100,300.0,0.0,BU,21000.0,600.0,False,0.0,09:45:27
7400.0,200,300.0,0.0,BU,20900.0,600.0,False,0.0,09:43:00
7400.0,100,300.0,0.0,BU,20700.0,600.0,False,100.0,09:40:38
7300.0,100,200.0,0.0,SD,20600.0,600.0,False,0.0,09:37:19
7300.0,200,200.0,0.0,SD,20600.0,500.0,False,0.0,09:36:58
7300.0,700,200.0,0.0,BU,20600.0,300.0,False,0.0,09:36:02
7300.0,300,200.0,0.0,BU,19900.0,300.0,False,0.0,09:30:41
7300.0,500,200.0,0.0,BU,19600.0,300.0,False,100.0,09:28:22
7200.0,200,100.0,0.0,SD,19100.0,300.0,False,-100.0,09:26:42
7300.0,5000,200.0,0.0,BU,19100.0,100.0,False,0.0,09:26:07
7300.0,1000,200.0,0.0,BU,14100.0,100.0,False,0.0,09:14:58
7300.0,2700,200.0,0.0,BU,13100.0,100.0,False,0.0,09:12:17
7300.0,10000,200.0,0.0,BU,10400.0,100.0,False,0.0,09:09:44
7300.0,100,200.0,0.0,BU,400.0,100.0,False,0.0,09:04:12
7300.0,100,200.0,0.0,BU,300.0,100.0,False,0.0,09:03:05
7300.0,100,200.0,0.0,BU,200.0,100.0,False,100.0,09:01:50
7200.0,100,100.0,0.0,SD,100.0,100.0,False,-100.0,09:00:29
7300.0,100,200.0,0.0,BU,100.0,0.0,False,0.0,09:00:04
