p,v,cp,rcp,a,ba,sa,hl,pcp,t
53300.0,500,-100.0,0.0,,2400.0,200.0,False,0.0,14:45:01
53300.0,100,-100.0,0.0,BU,2400.0,200.0,False,0.0,14:21:53
53300.0,100,-100.0,0.0,BU,2300.0,200.0,False,200.0,14:07:56
53100.0,500,-300.0,0.0,BU,2200.0,200.0,False,0.0,10:40:26
53100.0,600,-300.0,0.0,BU,1700.0,200.0,False,0.0,10:20:56
53100.0,200,-300.0,0.0,BU,1100.0,200.0,False,-300.0,10:20:56
53400.0,100,0.0,0.0,BU,900.0,200.0,False,0.0,09:55:18
53400.0,100,0.0,0.0,BU,800.0,200.0,False,0.0,09:40:37
53400.0,100,0.0,0.0,BU,700.0,200.0,False,0.0,09:39:28
53400.0,300,0.0,0.0,BU,600.0,200.0,False,0.0,09:35:41
53400.0,100,0.0,0.0,BU,300.0,200.0,False,0.0,09:34:07
53400.0,100,0.0,0.0,SD,200.0,200.0,False,0.0,09:28:04
53400.0,100,0.0,0.0,BU,200.0,100.0,False,400.0,09:27:20
53000.0,100,-400.0,0.0,SD,100.0,100.0,False,-400.0,09:26:48
53400.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,09:15:25
53400.0,200,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
