p,v,cp,rcp,a,ba,sa,hl,pcp,t
64200.0,1100,1200.0,0.0,,8400.0,5100.0,False,-300.0,14:45:00
64500.0,100,1500.0,0.0,SD,8400.0,5100.0,False,0.0,13:00:58
64500.0,100,1500.0,0.0,SD,8400.0,5000.0,False,-400.0,13:00:06
64900.0,100,1900.0,0.0,BU,8400.0,4900.0,False,300.0,13:00:06
64600.0,200,1600.0,0.0,BU,8300.0,4900.0,False,-400.0,11:06:30
65000.0,800,2000.0,0.0,BU,8100.0,4900.0,False,500.0,11:06:30
64500.0,100,1500.0,0.0,BU,7300.0,4900.0,False,0.0,10:55:32
64500.0,500,1500.0,0.0,BU,7200.0,4900.0,False,0.0,10:50:01
64500.0,200,1500.0,0.0,BU,6700.0,4900.0,False,300.0,10:50:01
64200.0,300,1200.0,0.0,SD,6500.0,4900.0,False,0.0,10:45:16
64200.0,500,1200.0,0.0,SD,6500.0,4600.0,False,-300.0,10:41:51
64500.0,100,1500.0,0.0,BU,6500.0,4100.0,False,-100.0,10:40:56
64600.0,400,1600.0,0.0,BU,6400.0,4100.0,False,0.0,10:20:00
64600.0,300,1600.0,0.0,BU,6000.0,4100.0,False,0.0,10:12:39
64600.0,100,1600.0,0.0,SD,5700.0,4100.0,False,0.0,10:12:35
64600.0,100,1600.0,0.0,SD,5700.0,4000.0,False,0.0,10:09:20
64600.0,400,1600.0,0.0,SD,5700.0,3900.0,False,-400.0,10:07:18
65000.0,500,2000.0,0.0,BU,5700.0,3500.0,False,0.0,10:04:59
65000.0,500,2000.0,0.0,BU,5200.0,3500.0,False,400.0,10:04:59
64600.0,100,1600.0,0.0,BU,4700.0,3500.0,False,100.0,10:04:19
64500.0,500,1500.0,0.0,SD,4600.0,3500.0,False,0.0,10:03:34
64500.0,1000,1500.0,0.0,BU,4600.0,3000.0,False,0.0,10:02:59
64500.0,100,1500.0,0.0,BU,3600.0,3000.0,False,300.0,10:02:59
64200.0,200,1200.0,0.0,BU,3500.0,3000.0,False,0.0,10:02:59
64200.0,1000,1200.0,0.0,BU,3300.0,3000.0,False,0.0,10:02:40
64200.0,1000,1200.0,0.0,BU,2300.0,3000.0,False,100.0,10:01:06
64100.0,1700,1100.0,0.0,SD,1300.0,3000.0,False,0.0,10:00:48
64100.0,300,1100.0,0.0,SD,1300.0,1300.0,False,0.0,09:58:59
64100.0,100,1100.0,0.0,SD,1300.0,1000.0,False,-500.0,09:52:57
64600.0,1000,1600.0,0.0,BU,1300.0,900.0,False,600.0,09:45:25
64000.0,100,1000.0,0.0,SD,300.0,900.0,False,0.0,09:40:11
64000.0,100,1000.0,0.0,BU,300.0,800.0,False,800.0,09:34:48
63200.0,100,200.0,0.0,BU,200.0,800.0,False,100.0,09:33:24
63100.0,100,100.0,0.0,BU,100.0,800.0,False,100.0,09:33:24
63000.0,100,0.0,0.0,SD,0.0,800.0,False,0.0,09:32:52
63000.0,200,0.0,0.0,SD,0.0,700.0,False,0.0,09:32:52
63000.0,500,0.0,0.0,SD,0.0,500.0,False,0.0,09:21:18
63000.0,1000,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
