p,v,cp,rcp,a,ba,sa,hl,pcp,t
17450.0,1274900,-700.0,0.0,,2319700.0,5005100.0,False,-200.0,14:45:00
17650.0,1500,-500.0,0.0,SD,2319700.0,5005100.0,False,0.0,14:29:34
17650.0,2000,-500.0,0.0,SD,2319700.0,5003600.0,False,0.0,14:29:34
17650.0,200,-500.0,0.0,SD,2319700.0,5001600.0,False,0.0,14:29:34
17650.0,200,-500.0,0.0,SD,2319700.0,5001400.0,False,0.0,14:29:34
17650.0,7200,-500.0,0.0,SD,2319700.0,5001200.0,False,0.0,14:29:34
17650.0,3000,-500.0,0.0,BU,2319700.0,4994000.0,False,0.0,14:29:30
17650.0,500,-500.0,0.0,BU,2316700.0,4994000.0,False,50.0,14:29:22
17600.0,1000,-550.0,0.0,SD,2316200.0,4994000.0,False,-50.0,14:29:13
17650.0,1000,-500.0,0.0,BU,2316200.0,4993000.0,False,0.0,14:29:10
17650.0,2000,-500.0,0.0,BU,2315200.0,4993000.0,False,50.0,14:29:08
17600.0,200,-550.0,0.0,SD,2313200.0,4993000.0,False,0.0,14:29:03
17600.0,200,-550.0,0.0,SD,2313200.0,4992800.0,False,0.0,14:29:03
17600.0,20000,-550.0,0.0,SD,2313200.0,4992600.0,True,0.0,14:29:03
17600.0,5000,-550.0,0.0,BU,2313200.0,4972600.0,False,100.0,14:29:03
17500.0,21800,-650.0,0.0,BU,2308200.0,4972600.0,True,0.0,14:29:03
17500.0,100,-650.0,0.0,BU,2286400.0,4972600.0,False,0.0,14:29:01
17500.0,100,-650.0,0.0,BU,2286300.0,4972600.0,False,0.0,14:28:58
17500.0,2000,-650.0,0.0,BU,2286200.0,4972600.0,False,0.0,14:28:56
17500.0,1000,-650.0,0.0,BU,2284200.0,4972600.0,False,0.0,14:28:55
17500.0,3000,-650.0,0.0,BU,2283200.0,4972600.0,False,0.0,14:28:53
17500.0,200,-650.0,0.0,BU,2280200.0,4972600.0,False,0.0,14:28:46
17500.0,15000,-650.0,0.0,BU,2280000.0,4972600.0,True,0.0,14:28:38
17500.0,1000,-650.0,0.0,BU,2265000.0,4972600.0,False,0.0,14:28:37
17500.0,10000,-650.0,0.0,BU,2264000.0,4972600.0,False,0.0,14:28:35
17500.0,10000,-650.0,0.0,BU,2254000.0,4972600.0,False,0.0,14:28:30
17500.0,500,-650.0,0.0,BU,2244000.0,4972600.0,False,0.0,14:28:28
17500.0,30000,-650.0,0.0,BU,2243500.0,4972600.0,True,100.0,14:28:21
17400.0,800,-750.0,0.0,BU,2213500.0,4972600.0,False,0.0,14:28:01
17400.0,200,-750.0,0.0,BU,2212700.0,4972600.0,False,0.0,14:28:01
17400.0,500,-750.0,0.0,BU,2212500.0,4972600.0,False,0.0,14:27:59
17400.0,2500,-750.0,0.0,BU,2212000.0,4972600.0,False,0.0,14:27:59
17400.0,100,-750.0,0.0,BU,2209500.0,4972600.0,False,0.0,14:27:59
17400.0,100,-750.0,0.0,BU,2209400.0,4972600.0,False,0.0,14:27:54
17400.0,500,-750.0,0.0,BU,2209300.0,4972600.0,False,0.0,14:27:54
17400.0,500,-750.0,0.0,BU,2208800.0,4972600.0,False,0.0,14:27:52
17400.0,100,-750.0,0.0,BU,2208300.0,4972600.0,False,0.0,14:27:50
17400.0,1000,-750.0,0.0,BU,2208200.0,4972600.0,False,0.0,14:27:43
17400.0,300,-750.0,0.0,BU,2207200.0,4972600.0,False,0.0,14:27:39
17400.0,100,-750.0,0.0,BU,2206900.0,4972600.0,False,0.0,14:27:36
17400.0,100,-750.0,0.0,BU,2206800.0,4972600.0,False,0.0,14:27:36
17400.0,100,-750.0,0.0,BU,2206700.0,4972600.0,False,0.0,14:27:35
17400.0,1000,-750.0,0.0,BU,2206600.0,4972600.0,False,0.0,14:27:33
17400.0,1000,-750.0,0.0,BU,2205600.0,4972600.0,False,0.0,14:27:26
17400.0,800,-750.0,0.0,BU,2204600.0,4972600.0,False,0.0,14:27:25
17400.0,100,-750.0,0.0,BU,2203800.0,4972600.0,False,0.0,14:27:22
17400.0,100,-750.0,0.0,BU,2203700.0,4972600.0,False,0.0,14:27:12
17400.0,1600,-750.0,0.0,SD,2203600.0,4972600.0,False,0.0,14:27:10
17400.0,7100,-750.0,0.0,BU,2203600.0,4971000.0,False,0.0,14:27:06
17400.0,1000,-750.0,0.0,BU,2196500.0,4971000.0,False,0.0,14:27:06
17400.0,2000,-750.0,0.0,BU,2195500.0,4971000.0,False,0.0,14:27:05
17400.0,100,-750.0,0.0,BU,2193500.0,4971000.0,False,0.0,14:27:02
17400.0,1800,-750.0,0.0,BU,2193400.0,4971000.0,False,0.0,14:27:02
17400.0,3200,-750.0,0.0,SD,2191600.0,4971000.0,False,0.0,14:27:00
17400.0,4000,-750.0,0.0,SD,2191600.0,4967800.0,False,0.0,14:26:56
17400.0,4800,-750.0,0.0,SD,2191600.0,4963800.0,False,0.0,14:26:56
17400.0,4100,-750.0,0.0,SD,2191600.0,4959000.0,False,0.0,14:26:50
17400.0,200,-750.0,0.0,SD,2191600.0,4954900.0,False,0.0,14:26:50
17400.0,600,-750.0,0.0,SD,2191600.0,4954700.0,False,0.0,14:26:50
17400.0,600,-750.0,0.0,SD,2191600.0,4954100.0,False,0.0,14:26:50
17400.0,4000,-750.0,0.0,SD,2191600.0,4953500.0,False,0.0,14:26:50
17400.0,500,-750.0,0.0,SD,2191600.0,4949500.0,False,0.0,14:26:50
17400.0,1100,-750.0,0.0,SD,2191600.0,4949000.0,False,0.0,14:26:36
17400.0,2400,-750.0,0.0,BU,2191600.0,4947900.0,False,0.0,14:26:26
17400.0,200,-750.0,0.0,BU,2189200.0,4947900.0,False,0.0,14:26:13
17400.0,100,-750.0,0.0,BU,2189000.0,4947900.0,False,0.0,14:26:13
17400.0,2000,-750.0,0.0,BU,2188900.0,4947900.0,False,50.0,14:26:12
17350.0,800,-800.0,0.0,SD,2186900.0,4947900.0,False,-50.0,14:26:11
17400.0,100,-750.0,0.0,BU,2186900.0,4947100.0,False,0.0,14:26:10
17400.0,500,-750.0,0.0,SD,2186800.0,4947100.0,False,0.0,14:26:04
17400.0,5700,-750.0,0.0,SD,2186800.0,4946600.0,False,0.0,14:26:04
17400.0,200,-750.0,0.0,SD,2186800.0,4940900.0,False,0.0,14:26:04
17400.0,700,-750.0,0.0,SD,2186800.0,4940700.0,False,0.0,14:26:04
17400.0,200,-750.0,0.0,SD,2186800.0,4940000.0,False,0.0,14:26:04
17400.0,5000,-750.0,0.0,SD,2186800.0,4939800.0,False,0.0,14:26:04
17400.0,1000,-750.0,0.0,SD,2186800.0,4934800.0,False,0.0,14:26:04
17400.0,200,-750.0,0.0,SD,2186800.0,4933800.0,False,0.0,14:26:04
17400.0,100,-750.0,0.0,SD,2186800.0,4933600.0,False,0.0,14:26:04
17400.0,100,-750.0,0.0,SD,2186800.0,4933500.0,False,0.0,14:26:04
17400.0,1500,-750.0,0.0,SD,2186800.0,4933400.0,False,0.0,14:26:04
17400.0,5500,-750.0,0.0,SD,2186800.0,4931900.0,False,0.0,14:25:56
17400.0,4000,-750.0,0.0,SD,2186800.0,4926400.0,False,0.0,14:25:56
17400.0,300,-750.0,0.0,SD,2186800.0,4922400.0,False,0.0,14:25:56
17400.0,200,-750.0,0.0,SD,2186800.0,4922100.0,False,0.0,14:25:56
17400.0,200,-750.0,0.0,SD,2186800.0,4921900.0,False,0.0,14:25:00
17400.0,500,-750.0,0.0,SD,2186800.0,4921700.0,False,0.0,14:25:00
17400.0,500,-750.0,0.0,SD,2186800.0,4921200.0,False,0.0,14:24:27
17400.0,500,-750.0,0.0,BU,2186800.0,4920700.0,False,50.0,14:24:25
17350.0,60500,-800.0,0.0,SD,2186300.0,4920700.0,True,0.0,14:24:25
17350.0,3000,-800.0,0.0,SD,2186300.0,4860200.0,False,0.0,14:24:25
17350.0,200,-800.0,0.0,SD,2186300.0,4857200.0,False,0.0,14:24:25
17350.0,300,-800.0,0.0,SD,2186300.0,4857000.0,False,0.0,14:24:25
