p,v,cp,rcp,a,ba,sa,hl,pcp,t
23100.0,9300,-200.0,0.0,,54100.0,85100.0,False,0.0,14:45:00
23100.0,1300,-200.0,0.0,BU,54100.0,85100.0,False,50.0,14:29:05
23050.0,2000,-250.0,0.0,BU,52800.0,85100.0,False,50.0,14:29:05
23000.0,5000,-300.0,0.0,BU,50800.0,85100.0,False,0.0,14:29:05
23000.0,5000,-300.0,0.0,BU,45800.0,85100.0,False,0.0,14:29:05
23000.0,1000,-300.0,0.0,BU,40800.0,85100.0,False,0.0,14:29:05
23000.0,1000,-300.0,0.0,BU,39800.0,85100.0,False,0.0,14:29:05
23000.0,100,-300.0,0.0,BU,38800.0,85100.0,False,0.0,14:29:05
23000.0,600,-300.0,0.0,BU,38700.0,85100.0,False,0.0,14:29:05
23000.0,400,-300.0,0.0,BU,38100.0,85100.0,False,0.0,14:23:22
23000.0,200,-300.0,0.0,BU,37700.0,85100.0,False,0.0,14:22:02
23000.0,700,-300.0,0.0,BU,37500.0,85100.0,False,0.0,14:22:02
23000.0,400,-300.0,0.0,BU,36800.0,85100.0,False,0.0,14:14:24
23000.0,900,-300.0,0.0,BU,36400.0,85100.0,False,100.0,14:04:44
22900.0,100,-400.0,0.0,BU,35500.0,85100.0,False,100.0,14:04:44
22800.0,300,-500.0,0.0,SD,35400.0,85100.0,False,-100.0,13:59:50
22900.0,500,-400.0,0.0,BU,35400.0,84800.0,False,0.0,13:59:47
22900.0,400,-400.0,0.0,SD,34900.0,84800.0,False,-100.0,13:59:23
23000.0,100,-300.0,0.0,BU,34900.0,84400.0,False,0.0,13:55:35
23000.0,200,-300.0,0.0,BU,34800.0,84400.0,False,600.0,13:55:35
22400.0,2600,-900.0,0.0,SD,34600.0,84400.0,False,-50.0,13:30:38
22450.0,2000,-850.0,0.0,SD,34600.0,81800.0,False,0.0,13:30:38
22450.0,100,-850.0,0.0,SD,34600.0,79800.0,False,-50.0,13:30:38
22500.0,1000,-800.0,0.0,SD,34600.0,79700.0,False,0.0,13:30:38
22500.0,1000,-800.0,0.0,SD,34600.0,78700.0,False,-50.0,13:30:38
22550.0,1000,-750.0,0.0,SD,34600.0,77700.0,False,0.0,13:30:38
22550.0,1000,-750.0,0.0,SD,34600.0,76700.0,False,0.0,13:30:38
22550.0,1000,-750.0,0.0,SD,34600.0,75700.0,False,0.0,13:30:38
22550.0,100,-750.0,0.0,SD,34600.0,74700.0,False,-50.0,13:30:38
22600.0,200,-700.0,0.0,SD,34600.0,74600.0,False,-600.0,13:30:38
23200.0,100,-100.0,0.0,BU,34600.0,74400.0,False,0.0,13:29:40
23200.0,500,-100.0,0.0,BU,34500.0,74400.0,False,50.0,13:29:40
23150.0,1000,-150.0,0.0,BU,34000.0,74400.0,False,0.0,13:29:40
