p,v,cp,rcp,a,ba,sa,hl,pcp,t
68000.0,200,200.0,0.0,BU,11100.0,2800.0,False,0.0,14:46:18
68000.0,800,200.0,0.0,BU,10900.0,2800.0,False,0.0,14:46:04
68000.0,200,200.0,0.0,BU,10100.0,2800.0,False,0.0,14:43:41
68000.0,200,200.0,0.0,BU,9900.0,2800.0,False,0.0,14:42:10
68000.0,100,200.0,0.0,BU,9700.0,2800.0,False,0.0,14:41:39
68000.0,100,200.0,0.0,BU,9600.0,2800.0,False,0.0,14:40:23
68000.0,700,200.0,0.0,SD,9500.0,2800.0,False,0.0,14:33:10
68000.0,2000,200.0,0.0,SD,9500.0,2100.0,False,0.0,14:33:07
68000.0,800,200.0,0.0,BU,9500.0,100.0,False,0.0,14:20:09
68000.0,200,200.0,0.0,BU,8700.0,100.0,False,0.0,14:09:25
68000.0,500,200.0,0.0,BU,8500.0,100.0,False,200.0,13:09:34
67800.0,100,0.0,0.0,SD,8000.0,100.0,False,-200.0,13:00:06
68000.0,400,200.0,0.0,BU,8000.0,0.0,False,200.0,11:17:15
67800.0,100,0.0,0.0,BU,7600.0,0.0,False,0.0,10:27:13
67800.0,700,0.0,0.0,BU,7500.0,0.0,False,-200.0,10:23:19
68000.0,100,200.0,0.0,BU,6800.0,0.0,False,0.0,10:17:24
68000.0,100,200.0,0.0,BU,6700.0,0.0,False,0.0,10:10:21
68000.0,100,200.0,0.0,BU,6600.0,0.0,False,0.0,10:10:00
68000.0,2700,200.0,0.0,BU,6500.0,0.0,False,0.0,09:39:10
68000.0,800,200.0,0.0,BU,3800.0,0.0,False,0.0,09:38:33
68000.0,100,200.0,0.0,BU,3000.0,0.0,False,0.0,09:36:04
68000.0,100,200.0,0.0,BU,2900.0,0.0,False,0.0,09:35:42
68000.0,2000,200.0,0.0,BU,2800.0,0.0,False,0.0,09:35:15
68000.0,800,200.0,0.0,BU,800.0,0.0,False,0.0,09:34:24
