p,v,cp,rcp,a,ba,sa,hl,pcp,t
94000.0,99600,-300.0,0.0,,704300.0,905200.0,False,600.0,14:45:01
93400.0,100,-900.0,0.0,BU,704300.0,905200.0,False,0.0,14:29:28
93400.0,2400,-900.0,0.0,BU,704200.0,905200.0,True,0.0,14:29:28
93400.0,5000,-900.0,0.0,BU,701800.0,905200.0,True,0.0,14:29:28
93400.0,400,-900.0,0.0,BU,696800.0,905200.0,False,300.0,14:29:28
93100.0,3200,-1200.0,0.0,SD,696400.0,905200.0,True,0.0,14:29:25
93100.0,2200,-1200.0,0.0,SD,696400.0,902000.0,True,0.0,14:29:25
93100.0,5300,-1200.0,0.0,SD,696400.0,899800.0,True,0.0,14:29:05
93100.0,100,-1200.0,0.0,SD,696400.0,894500.0,False,0.0,14:29:05
93100.0,1800,-1200.0,0.0,SD,696400.0,894400.0,False,-100.0,14:28:49
93200.0,100,-1100.0,0.0,SD,696400.0,892600.0,False,0.0,14:28:49
93200.0,100,-1100.0,0.0,SD,696400.0,892500.0,False,0.0,14:28:49
93200.0,100,-1100.0,0.0,SD,696400.0,892400.0,False,0.0,14:28:49
93200.0,100,-1100.0,0.0,SD,696400.0,892300.0,False,0.0,14:28:49
93200.0,1000,-1100.0,0.0,SD,696400.0,892200.0,False,0.0,14:28:49
93200.0,2200,-1100.0,0.0,SD,696400.0,891200.0,True,0.0,14:28:49
93200.0,2000,-1100.0,0.0,SD,696400.0,889000.0,False,-200.0,14:28:36
93400.0,5000,-900.0,0.0,BU,696400.0,887000.0,True,200.0,14:28:34
93200.0,800,-1100.0,0.0,SD,691400.0,887000.0,False,100.0,14:28:08
93100.0,1000,-1200.0,0.0,SD,691400.0,886200.0,False,0.0,14:28:03
93100.0,200,-1200.0,0.0,SD,691400.0,885200.0,False,0.0,14:28:03
93100.0,300,-1200.0,0.0,SD,691400.0,885000.0,False,-100.0,14:28:03
93200.0,100,-1100.0,0.0,BU,691400.0,884700.0,False,0.0,14:28:01
93200.0,500,-1100.0,0.0,BU,691300.0,884700.0,False,100.0,14:28:00
93100.0,500,-1200.0,0.0,SD,690800.0,884700.0,False,-100.0,14:27:53
93200.0,500,-1100.0,0.0,BU,690800.0,884200.0,False,100.0,14:27:50
93100.0,1000,-1200.0,0.0,SD,690300.0,884200.0,False,-100.0,14:27:38
93200.0,200,-1100.0,0.0,BU,690300.0,883200.0,False,100.0,14:27:26
93100.0,2100,-1200.0,0.0,SD,690100.0,883200.0,False,0.0,14:27:23
93100.0,100,-1200.0,0.0,SD,690100.0,881100.0,False,0.0,14:27:23
93100.0,300,-1200.0,0.0,SD,690100.0,881000.0,False,0.0,14:27:23
93100.0,2900,-1200.0,0.0,SD,690100.0,880700.0,True,0.0,14:27:23
93100.0,100,-1200.0,0.0,SD,690100.0,877800.0,False,-100.0,14:27:20
93200.0,1000,-1100.0,0.0,BU,690100.0,877700.0,False,100.0,14:27:20
93100.0,1000,-1200.0,0.0,SD,689100.0,877700.0,False,0.0,14:27:19
93100.0,5400,-1200.0,0.0,SD,689100.0,876700.0,True,0.0,14:27:09
93100.0,3900,-1200.0,0.0,SD,689100.0,871300.0,True,0.0,14:27:07
93100.0,600,-1200.0,0.0,SD,689100.0,867400.0,False,0.0,14:27:07
93100.0,500,-1200.0,0.0,SD,689100.0,866800.0,False,-100.0,14:27:07
93200.0,400,-1100.0,0.0,BU,689100.0,866300.0,False,100.0,14:27:05
93100.0,600,-1200.0,0.0,SD,688700.0,866300.0,False,0.0,14:26:58
93100.0,1000,-1200.0,0.0,SD,688700.0,865700.0,False,0.0,14:26:56
93100.0,1800,-1200.0,0.0,SD,688700.0,864700.0,False,0.0,14:26:48
93100.0,200,-1200.0,0.0,SD,688700.0,862900.0,False,0.0,14:26:48
93100.0,500,-1200.0,0.0,SD,688700.0,862700.0,False,0.0,14:26:48
93100.0,100,-1200.0,0.0,SD,688700.0,862200.0,False,0.0,14:26:48
93100.0,100,-1200.0,0.0,SD,688700.0,862100.0,False,0.0,14:26:48
93100.0,2700,-1200.0,0.0,SD,688700.0,862000.0,True,-100.0,14:26:48
93200.0,500,-1100.0,0.0,BU,688700.0,859300.0,False,100.0,14:26:46
93100.0,1000,-1200.0,0.0,SD,688200.0,859300.0,False,0.0,14:26:36
93100.0,200,-1200.0,0.0,SD,688200.0,858300.0,False,0.0,14:26:32
93100.0,200,-1200.0,0.0,SD,688200.0,858100.0,False,0.0,14:26:32
93100.0,5000,-1200.0,0.0,SD,688200.0,857900.0,True,-100.0,14:26:32
93200.0,2000,-1100.0,0.0,BU,688200.0,852900.0,False,0.0,14:26:26
93200.0,100,-1100.0,0.0,BU,686200.0,852900.0,False,100.0,14:26:22
93100.0,100,-1200.0,0.0,SD,686100.0,852900.0,False,-100.0,14:26:21
93200.0,500,-1100.0,0.0,BU,686100.0,852800.0,False,100.0,14:26:20
93100.0,4900,-1200.0,0.0,SD,685600.0,852800.0,True,0.0,14:26:18
93100.0,200,-1200.0,0.0,SD,685600.0,847900.0,False,0.0,14:26:18
93100.0,300,-1200.0,0.0,SD,685600.0,847700.0,False,0.0,14:26:18
93100.0,1000,-1200.0,0.0,SD,685600.0,847400.0,False,-100.0,14:26:16
93200.0,100,-1100.0,0.0,BU,685600.0,846400.0,False,0.0,14:26:06
93200.0,1900,-1100.0,0.0,SD,685500.0,846400.0,False,0.0,14:26:03
93200.0,1400,-1100.0,0.0,SD,685500.0,844500.0,False,0.0,14:26:03
93200.0,2600,-1100.0,0.0,SD,685500.0,843100.0,True,0.0,14:26:00
