p,v,cp,rcp,a,ba,sa,hl,pcp,t
7900.0,500,300.0,0.0,BU,174600.0,189200.0,False,0.0,14:54:19
7900.0,500,300.0,0.0,BU,174100.0,189200.0,False,100.0,14:52:51
7800.0,500,200.0,0.0,SD,173600.0,189200.0,False,-100.0,14:27:28
7900.0,6300,300.0,0.0,SD,173600.0,188700.0,False,0.0,14:23:26
7900.0,500,300.0,0.0,SD,173600.0,182400.0,False,0.0,14:23:22
7900.0,500,300.0,0.0,SD,173600.0,181900.0,False,0.0,14:23:10
7900.0,1000,300.0,0.0,SD,173600.0,181400.0,False,0.0,14:23:02
7900.0,600,300.0,0.0,BU,173600.0,180400.0,False,0.0,14:22:35
7900.0,100,300.0,0.0,BU,173000.0,180400.0,False,0.0,14:22:18
7900.0,100,300.0,0.0,BU,172900.0,180400.0,False,0.0,14:21:20
7900.0,400,300.0,0.0,BU,172800.0,180400.0,False,0.0,14:20:42
7900.0,100,300.0,0.0,BU,172400.0,180400.0,False,0.0,14:19:53
7900.0,1600,300.0,0.0,BU,172300.0,180400.0,False,0.0,14:19:20
7900.0,2000,300.0,0.0,BU,170700.0,180400.0,False,0.0,14:18:42
7900.0,15000,300.0,0.0,BU,168700.0,180400.0,False,100.0,14:18:33
7800.0,600,200.0,0.0,SD,153700.0,180400.0,False,0.0,14:10:48
7800.0,3000,200.0,0.0,SD,153700.0,179800.0,False,0.0,14:10:47
7800.0,3100,200.0,0.0,SD,153700.0,176800.0,False,0.0,14:10:21
7800.0,4100,200.0,0.0,SD,153700.0,173700.0,False,0.0,14:09:21
7800.0,15900,200.0,0.0,SD,153700.0,169600.0,False,0.0,14:08:44
7800.0,5000,200.0,0.0,SD,153700.0,153700.0,False,0.0,14:08:32
7800.0,33000,200.0,0.0,SD,153700.0,148700.0,True,0.0,14:08:30
7800.0,1000,200.0,0.0,SD,153700.0,115700.0,False,0.0,14:06:23
7800.0,1500,200.0,0.0,SD,153700.0,114700.0,False,-100.0,14:05:49
7900.0,100,300.0,0.0,BU,153700.0,113200.0,False,100.0,14:05:14
7800.0,500,200.0,0.0,SD,153600.0,113200.0,False,-100.0,14:04:11
7900.0,200,300.0,0.0,BU,153600.0,112700.0,False,0.0,14:02:18
7900.0,1000,300.0,0.0,BU,153400.0,112700.0,False,0.0,14:02:00
7900.0,3000,300.0,0.0,BU,152400.0,112700.0,False,0.0,14:01:51
