p,v,cp,rcp,a,ba,sa,hl,pcp,t
91500.0,74400,2600.0,0.0,,534600.0,293600.0,False,1000.0,14:45:00
90500.0,100,1600.0,0.0,SD,534600.0,293600.0,False,0.0,14:29:37
90500.0,600,1600.0,0.0,SD,534600.0,293500.0,False,-100.0,14:29:25
90600.0,100,1700.0,0.0,BU,534600.0,292900.0,False,100.0,14:29:13
90500.0,200,1600.0,0.0,SD,534500.0,292900.0,False,0.0,14:29:08
90500.0,600,1600.0,0.0,SD,534500.0,292700.0,False,-100.0,14:29:06
90600.0,100,1700.0,0.0,BU,534500.0,292100.0,False,0.0,14:29:05
90600.0,200,1700.0,0.0,BU,534400.0,292100.0,False,0.0,14:29:02
90600.0,100,1700.0,0.0,SD,534200.0,292100.0,False,-200.0,14:28:49
90800.0,5000,1900.0,0.0,BU,534200.0,292000.0,True,0.0,14:28:45
90800.0,2400,1900.0,0.0,BU,529200.0,292000.0,True,0.0,14:28:41
90800.0,100,1900.0,0.0,BU,526800.0,292000.0,False,200.0,14:28:41
90600.0,2400,1700.0,0.0,BU,526700.0,292000.0,True,0.0,14:28:32
90600.0,100,1700.0,0.0,BU,524300.0,292000.0,False,100.0,14:28:32
90500.0,100,1600.0,0.0,SD,524200.0,292000.0,False,0.0,14:28:20
90500.0,200,1600.0,0.0,BU,524200.0,291900.0,False,0.0,14:27:47
90500.0,200,1600.0,0.0,BU,524000.0,291900.0,False,0.0,14:27:47
90500.0,1200,1600.0,0.0,BU,523800.0,291900.0,False,0.0,14:27:47
90500.0,800,1600.0,0.0,BU,522600.0,291900.0,False,0.0,14:27:39
90500.0,100,1600.0,0.0,BU,521800.0,291900.0,False,0.0,14:27:39
90500.0,8100,1600.0,0.0,BU,521700.0,291900.0,True,100.0,14:27:39
90400.0,100,1500.0,0.0,SD,513600.0,291900.0,False,0.0,14:27:39
90400.0,600,1500.0,0.0,SD,513600.0,291800.0,False,0.0,14:27:24
90400.0,100,1500.0,0.0,SD,513600.0,291200.0,False,0.0,14:27:19
90400.0,600,1500.0,0.0,SD,513600.0,291100.0,False,0.0,14:27:09
90400.0,100,1500.0,0.0,SD,513600.0,290500.0,False,0.0,14:26:57
90400.0,600,1500.0,0.0,SD,513600.0,290400.0,False,0.0,14:26:49
90400.0,600,1500.0,0.0,BU,513600.0,289800.0,False,200.0,14:26:42
90200.0,200,1300.0,0.0,SD,513000.0,289800.0,False,-100.0,14:26:41
90300.0,100,1400.0,0.0,SD,513000.0,289600.0,False,-200.0,14:26:36
90500.0,200,1600.0,0.0,BU,513000.0,289500.0,False,300.0,14:26:20
90200.0,600,1300.0,0.0,SD,512800.0,289500.0,False,-100.0,14:26:19
90300.0,100,1400.0,0.0,SD,512800.0,288900.0,False,-200.0,14:26:15
90500.0,300,1600.0,0.0,BU,512800.0,288800.0,False,200.0,14:26:11
90300.0,100,1400.0,0.0,SD,512500.0,288800.0,False,100.0,14:26:07
90200.0,600,1300.0,0.0,SD,512500.0,288700.0,False,0.0,14:26:01
90200.0,300,1300.0,0.0,BU,512500.0,288100.0,False,0.0,14:25:46
90200.0,100,1300.0,0.0,SD,512200.0,288100.0,False,-100.0,14:25:38
