p,v,cp,rcp,a,ba,sa,hl,pcp,t
25800.0,300,100.0,0.0,BU,14300.0,4500.0,False,0.0,14:33:58
25800.0,200,100.0,0.0,BU,14000.0,4500.0,False,200.0,14:30:53
25600.0,100,-100.0,0.0,SD,13800.0,4500.0,False,0.0,14:10:05
25600.0,1000,-100.0,0.0,SD,13800.0,4400.0,False,-100.0,14:08:42
25700.0,500,0.0,0.0,BU,13800.0,3400.0,False,0.0,14:05:18
25700.0,500,0.0,0.0,BU,13300.0,3400.0,False,0.0,14:03:58
25700.0,500,0.0,0.0,SD,12800.0,3400.0,False,0.0,13:48:13
25700.0,4200,0.0,0.0,BU,12800.0,2900.0,False,0.0,13:26:20
25700.0,2400,0.0,0.0,BU,8600.0,2900.0,False,0.0,13:02:51
25700.0,500,0.0,0.0,SD,6200.0,2900.0,False,100.0,11:14:18
25600.0,200,-100.0,0.0,SD,6200.0,2400.0,False,-100.0,10:44:34
25700.0,3000,0.0,0.0,BU,6200.0,2200.0,False,0.0,10:33:32
25700.0,1400,0.0,0.0,BU,3200.0,2200.0,False,0.0,10:29:57
25700.0,1700,0.0,0.0,SD,1800.0,2200.0,False,-100.0,10:20:33
25800.0,400,100.0,0.0,SD,1800.0,500.0,False,0.0,10:00:19
25800.0,200,100.0,0.0,BU,1800.0,100.0,False,-100.0,09:55:43
25900.0,100,200.0,0.0,BU,1600.0,100.0,False,100.0,09:49:55
25800.0,700,100.0,0.0,BU,1500.0,100.0,False,-200.0,09:42:45
26000.0,300,300.0,0.0,BU,800.0,100.0,False,200.0,09:30:23
25800.0,100,100.0,0.0,SD,500.0,100.0,False,0.0,09:29:14
25800.0,300,100.0,0.0,BU,500.0,0.0,False,0.0,09:22:57
25800.0,200,100.0,0.0,BU,200.0,0.0,False,0.0,09:14:20
