p,v,cp,rcp,a,ba,sa,hl,pcp,t
34600.0,1000,0.0,0.0,,217500.0,500.0,False,0.0,14:49:11
34600.0,53000,0.0,0.0,,217500.0,500.0,False,0.0,14:49:03
34600.0,17000,0.0,0.0,,217500.0,500.0,False,0.0,14:45:17
34600.0,800,0.0,0.0,,217500.0,500.0,False,100.0,14:45:02
34500.0,1000,-100.0,0.0,BU,217500.0,500.0,False,0.0,14:25:15
34500.0,24000,-100.0,0.0,BU,216500.0,500.0,True,0.0,14:25:04
34500.0,1000,-100.0,0.0,BU,192500.0,500.0,False,0.0,14:23:14
34500.0,59000,-100.0,0.0,BU,191500.0,500.0,True,0.0,14:23:07
34500.0,2000,-100.0,0.0,BU,132500.0,500.0,False,0.0,14:07:20
34500.0,58000,-100.0,0.0,BU,130500.0,500.0,True,-100.0,14:07:16
34600.0,2900,0.0,0.0,BU,72500.0,500.0,False,0.0,09:45:05
34600.0,300,0.0,0.0,BU,69600.0,500.0,False,0.0,09:43:22
34600.0,1000,0.0,0.0,BU,69300.0,500.0,False,0.0,09:42:24
34600.0,65000,0.0,0.0,BU,68300.0,500.0,True,1400.0,09:42:18
33200.0,1000,-1400.0,0.0,BU,3300.0,500.0,False,-1500.0,09:32:54
34700.0,100,100.0,0.0,BU,2300.0,500.0,False,1900.0,09:26:21
32800.0,200,-1800.0,-0.1,BU,2200.0,500.0,False,-700.0,09:16:41
33500.0,1200,-1100.0,0.0,BU,2000.0,500.0,False,500.0,09:15:41
33000.0,300,-1600.0,0.0,BU,800.0,500.0,False,-400.0,09:15:00
33400.0,500,-1200.0,0.0,SD,500.0,500.0,False,-700.0,09:13:07
34100.0,500,-500.0,0.0,BU,500.0,0.0,False,0.0,09:11:33
