p,v,cp,rcp,a,ba,sa,hl,pcp,t
38700.0,84500,1200.0,0.0,,2778200.0,2110000.0,False,-250.0,14:45:01
38950.0,100,1450.0,0.0,BU,2778200.0,2110000.0,False,150.0,14:29:50
38800.0,1200,1300.0,0.0,BU,2778100.0,2110000.0,False,-200.0,14:29:50
39000.0,800,1500.0,0.0,BU,2776900.0,2110000.0,False,50.0,14:29:50
38950.0,1000,1450.0,0.0,BU,2776100.0,2110000.0,False,0.0,14:29:50
38950.0,1000,1450.0,0.0,BU,2775100.0,2110000.0,False,50.0,14:29:50
38900.0,100,1400.0,0.0,BU,2774100.0,2110000.0,False,100.0,14:29:50
38800.0,900,1300.0,0.0,BU,2774000.0,2110000.0,False,0.0,14:29:50
38800.0,100,1300.0,0.0,BU,2773100.0,2110000.0,False,0.0,14:29:49
38800.0,200,1300.0,0.0,BU,2773000.0,2110000.0,False,100.0,14:29:48
38700.0,600,1200.0,0.0,SD,2772800.0,2110000.0,False,0.0,14:29:33
38700.0,800,1200.0,0.0,BU,2772800.0,2109400.0,False,0.0,14:29:28
38700.0,400,1200.0,0.0,SD,2772000.0,2109400.0,False,0.0,14:29:28
38700.0,100,1200.0,0.0,SD,2772000.0,2109000.0,False,0.0,14:29:28
38700.0,300,1200.0,0.0,SD,2772000.0,2108900.0,False,0.0,14:29:28
38700.0,1800,1200.0,0.0,SD,2772000.0,2108600.0,False,-50.0,14:29:28
38750.0,100,1250.0,0.0,BU,2772000.0,2106800.0,False,-50.0,14:29:24
38800.0,400,1300.0,0.0,BU,2771900.0,2106800.0,False,50.0,14:29:20
38750.0,100,1250.0,0.0,BU,2771500.0,2106800.0,False,50.0,14:29:20
38700.0,1200,1200.0,0.0,SD,2771400.0,2106800.0,False,-50.0,14:29:14
38750.0,100,1250.0,0.0,BU,2771400.0,2105600.0,False,0.0,14:29:14
38750.0,200,1250.0,0.0,BU,2771300.0,2105600.0,False,0.0,14:29:14
38750.0,100,1250.0,0.0,SD,2771100.0,2105600.0,False,-50.0,14:29:13
38800.0,500,1300.0,0.0,BU,2771100.0,2105500.0,False,0.0,14:29:12
38800.0,100,1300.0,0.0,BU,2770600.0,2105500.0,False,0.0,14:29:06
38800.0,700,1300.0,0.0,BU,2770500.0,2105500.0,False,0.0,14:28:56
38800.0,100,1300.0,0.0,BU,2769800.0,2105500.0,False,50.0,14:28:45
38750.0,700,1250.0,0.0,SD,2769700.0,2105500.0,False,0.0,14:28:44
38750.0,200,1250.0,0.0,BU,2769700.0,2104800.0,False,0.0,14:28:39
38750.0,100,1250.0,0.0,SD,2769500.0,2104800.0,False,-50.0,14:28:34
38800.0,4800,1300.0,0.0,BU,2769500.0,2104700.0,False,0.0,14:28:33
38800.0,100,1300.0,0.0,BU,2764700.0,2104700.0,False,0.0,14:28:20
38800.0,2600,1300.0,0.0,SD,2764600.0,2104700.0,False,0.0,14:28:02
38800.0,100,1300.0,0.0,SD,2764600.0,2102100.0,False,50.0,14:27:53
38750.0,200,1250.0,0.0,BU,2764600.0,2102000.0,False,50.0,14:27:53
38700.0,100,1200.0,0.0,BU,2764400.0,2102000.0,False,0.0,14:27:53
38700.0,400,1200.0,0.0,BU,2764300.0,2102000.0,False,0.0,14:27:46
38700.0,300,1200.0,0.0,BU,2763900.0,2102000.0,False,0.0,14:27:40
38700.0,200,1200.0,0.0,SD,2763600.0,2102000.0,False,0.0,14:27:39
38700.0,100,1200.0,0.0,SD,2763600.0,2101800.0,False,-100.0,14:27:39
38800.0,100,1300.0,0.0,SD,2763600.0,2101700.0,False,-200.0,14:27:16
39000.0,11100,1500.0,0.0,BU,2763600.0,2101600.0,True,0.0,14:26:29
39000.0,900,1500.0,0.0,BU,2752500.0,2101600.0,False,0.0,14:26:29
39000.0,3000,1500.0,0.0,BU,2751600.0,2101600.0,False,0.0,14:26:29
39000.0,5000,1500.0,0.0,BU,2748600.0,2101600.0,False,0.0,14:26:29
39000.0,500,1500.0,0.0,BU,2743600.0,2101600.0,False,0.0,14:26:29
39000.0,1400,1500.0,0.0,BU,2743100.0,2101600.0,False,0.0,14:26:29
39000.0,100,1500.0,0.0,BU,2741700.0,2101600.0,False,0.0,14:26:29
39000.0,500,1500.0,0.0,BU,2741600.0,2101600.0,False,0.0,14:26:29
39000.0,25700,1500.0,0.0,BU,2741100.0,2101600.0,True,50.0,14:26:29
38950.0,900,1450.0,0.0,BU,2715400.0,2101600.0,False,150.0,14:26:29
38800.0,500,1300.0,0.0,BU,2714500.0,2101600.0,False,0.0,14:26:29
38800.0,100,1300.0,0.0,BU,2714000.0,2101600.0,False,-150.0,14:26:29
38950.0,600,1450.0,0.0,BU,2713900.0,2101600.0,False,0.0,14:26:29
38950.0,5000,1450.0,0.0,BU,2713300.0,2101600.0,False,50.0,14:26:29
38900.0,8700,1400.0,0.0,BU,2708300.0,2101600.0,True,0.0,14:26:29
38900.0,500,1400.0,0.0,BU,2699600.0,2101600.0,False,0.0,14:26:29
38900.0,200,1400.0,0.0,BU,2699100.0,2101600.0,False,0.0,14:26:29
38900.0,2000,1400.0,0.0,BU,2698900.0,2101600.0,False,50.0,14:26:29
38850.0,400,1350.0,0.0,BU,2696900.0,2101600.0,False,50.0,14:26:29
38800.0,100,1300.0,0.0,BU,2696500.0,2101600.0,False,0.0,14:26:29
38800.0,1400,1300.0,0.0,BU,2696400.0,2101600.0,False,100.0,14:26:29
38700.0,4800,1200.0,0.0,BU,2695000.0,2101600.0,False,-50.0,14:26:29
38750.0,400,1250.0,0.0,BU,2690200.0,2101600.0,False,50.0,14:26:29
38700.0,200,1200.0,0.0,BU,2689800.0,2101600.0,False,0.0,14:26:24
38700.0,100,1200.0,0.0,BU,2689600.0,2101600.0,False,100.0,14:26:24
38600.0,100,1100.0,0.0,SD,2689500.0,2101600.0,False,0.0,14:26:18
38600.0,900,1100.0,0.0,SD,2689500.0,2101500.0,False,0.0,14:26:18
38600.0,100,1100.0,0.0,SD,2689500.0,2100600.0,False,0.0,14:26:12
38600.0,100,1100.0,0.0,SD,2689500.0,2100500.0,False,0.0,14:26:12
38600.0,100,1100.0,0.0,BU,2689500.0,2100400.0,False,0.0,14:26:08
38600.0,100,1100.0,0.0,BU,2689400.0,2100400.0,False,0.0,14:26:08
38600.0,700,1100.0,0.0,BU,2689300.0,2100400.0,False,0.0,14:26:08
38600.0,700,1100.0,0.0,BU,2688600.0,2100400.0,False,0.0,14:26:00
38600.0,5300,1100.0,0.0,BU,2687900.0,2100400.0,True,50.0,14:26:00
38550.0,1500,1050.0,0.0,SD,2682600.0,2100400.0,False,0.0,14:26:00
38550.0,500,1050.0,0.0,SD,2682600.0,2098900.0,False,0.0,14:25:47
38550.0,3000,1050.0,0.0,SD,2682600.0,2098400.0,False,0.0,14:25:23
38550.0,200,1050.0,0.0,SD,2682600.0,2095400.0,False,0.0,14:25:20
38550.0,100,1050.0,0.0,SD,2682600.0,2095200.0,False,0.0,14:25:04
38550.0,100,1050.0,0.0,SD,2682600.0,2095100.0,False,-50.0,14:25:04
38600.0,600,1100.0,0.0,BU,2682600.0,2095000.0,False,0.0,14:25:01
38600.0,100,1100.0,0.0,BU,2682000.0,2095000.0,False,0.0,14:24:56
38600.0,100,1100.0,0.0,BU,2681900.0,2095000.0,False,0.0,14:24:50
38600.0,100,1100.0,0.0,BU,2681800.0,2095000.0,False,50.0,14:24:48
38550.0,900,1050.0,0.0,SD,2681700.0,2095000.0,False,0.0,14:24:45
38550.0,100,1050.0,0.0,SD,2681700.0,2094100.0,False,-50.0,14:24:45
38600.0,100,1100.0,0.0,BU,2681700.0,2094000.0,False,0.0,14:24:38
