p,v,cp,rcp,a,ba,sa,hl,pcp,t
4630.0,4700,30.0,0.0,,39300.0,31100.0,False,-60.0,14:45:00
4690.0,500,90.0,0.0,BU,39300.0,31100.0,False,90.0,14:29:27
4600.0,400,0.0,0.0,SD,38800.0,31100.0,False,0.0,14:28:29
4600.0,600,0.0,0.0,SD,38800.0,30700.0,False,-10.0,14:28:29
4610.0,600,10.0,0.0,BU,38800.0,30100.0,False,0.0,14:28:16
4610.0,200,10.0,0.0,SD,38200.0,30100.0,False,0.0,14:26:06
4610.0,9000,10.0,0.0,SD,38200.0,29900.0,False,-10.0,14:25:44
4620.0,1000,20.0,0.0,SD,38200.0,20900.0,False,-80.0,14:25:28
4700.0,2000,100.0,0.0,BU,38200.0,19900.0,False,0.0,14:22:12
4700.0,3000,100.0,0.0,BU,36200.0,19900.0,False,0.0,14:21:25
4700.0,500,100.0,0.0,BU,33200.0,19900.0,False,0.0,14:19:03
4700.0,100,100.0,0.0,BU,32700.0,19900.0,False,0.0,14:19:03
4700.0,5000,100.0,0.0,BU,32600.0,19900.0,False,0.0,14:19:03
4700.0,100,100.0,0.0,BU,27600.0,19900.0,False,0.0,14:19:03
4700.0,2000,100.0,0.0,BU,27500.0,19900.0,False,0.0,14:19:03
4700.0,5800,100.0,0.0,BU,25500.0,19900.0,False,0.0,14:19:03
4700.0,100,100.0,0.0,BU,19700.0,19900.0,False,10.0,14:18:36
4690.0,500,90.0,0.0,BU,19600.0,19900.0,False,0.0,14:17:27
4690.0,1000,90.0,0.0,BU,19100.0,19900.0,False,-10.0,14:16:24
4700.0,300,100.0,0.0,BU,18100.0,19900.0,False,100.0,14:06:33
4600.0,4600,0.0,0.0,SD,17800.0,19900.0,False,0.0,14:05:50
4600.0,300,0.0,0.0,SD,17800.0,15300.0,False,0.0,14:05:50
4600.0,100,0.0,0.0,SD,17800.0,15000.0,False,-10.0,14:05:50
4610.0,500,10.0,0.0,BU,17800.0,14900.0,False,0.0,14:05:24
4610.0,200,10.0,0.0,BU,17300.0,14900.0,False,-40.0,14:05:24
4650.0,1000,50.0,0.0,BU,17100.0,14900.0,False,0.0,14:01:11
4650.0,3000,50.0,0.0,BU,16100.0,14900.0,False,0.0,13:59:14
4650.0,100,50.0,0.0,BU,13100.0,14900.0,False,0.0,13:57:51
4650.0,1500,50.0,0.0,BU,13000.0,14900.0,False,0.0,13:57:51
4650.0,100,50.0,0.0,BU,11500.0,14900.0,False,0.0,13:57:51
4650.0,400,50.0,0.0,BU,11400.0,14900.0,False,10.0,13:55:59
4640.0,100,40.0,0.0,BU,11000.0,14900.0,False,40.0,13:55:59
4600.0,100,0.0,0.0,SD,10900.0,14900.0,False,0.0,13:54:01
4600.0,700,0.0,0.0,BU,10900.0,14800.0,False,-30.0,13:36:58
4630.0,300,30.0,0.0,SD,10200.0,14800.0,False,0.0,13:36:25
4630.0,300,30.0,0.0,BU,10200.0,14500.0,False,0.0,13:36:11
4630.0,100,30.0,0.0,SD,9900.0,14500.0,False,0.0,13:30:57
4630.0,100,30.0,0.0,SD,9900.0,14400.0,False,0.0,13:26:05
4630.0,100,30.0,0.0,SD,9900.0,14300.0,False,0.0,13:21:26
4630.0,700,30.0,0.0,BU,9900.0,14200.0,False,70.0,13:20:24
4560.0,100,-40.0,0.0,SD,9200.0,14200.0,False,-80.0,13:15:58
4640.0,100,40.0,0.0,BU,9200.0,14100.0,False,90.0,13:00:19
4550.0,3500,-50.0,0.0,SD,9100.0,14100.0,False,0.0,11:25:30
4550.0,100,-50.0,0.0,SD,9100.0,10600.0,False,0.0,11:25:30
4550.0,1600,-50.0,0.0,SD,9100.0,10500.0,False,-50.0,11:25:30
4600.0,1000,0.0,0.0,SD,9100.0,8900.0,False,-50.0,11:24:30
4650.0,300,50.0,0.0,BU,9100.0,7900.0,False,0.0,11:18:17
4650.0,300,50.0,0.0,BU,8800.0,7900.0,False,0.0,11:17:17
4650.0,500,50.0,0.0,BU,8500.0,7900.0,False,0.0,11:16:41
4650.0,300,50.0,0.0,BU,8000.0,7900.0,False,0.0,11:16:02
4650.0,200,50.0,0.0,BU,7700.0,7900.0,False,40.0,11:15:09
4610.0,500,10.0,0.0,SD,7500.0,7900.0,False,-40.0,11:15:05
4650.0,300,50.0,0.0,BU,7500.0,7400.0,False,40.0,11:14:48
4610.0,2000,10.0,0.0,SD,7200.0,7400.0,False,10.0,11:13:31
4600.0,1000,0.0,0.0,SD,7200.0,5400.0,False,0.0,10:58:51
4600.0,1000,0.0,0.0,BU,7200.0,4400.0,False,0.0,10:30:17
4600.0,2000,0.0,0.0,BU,6200.0,4400.0,False,0.0,10:19:23
4600.0,600,0.0,0.0,SD,4200.0,4400.0,False,0.0,10:18:37
4600.0,300,0.0,0.0,SD,4200.0,3800.0,False,0.0,10:18:37
4600.0,1000,0.0,0.0,SD,4200.0,3500.0,False,0.0,10:18:37
4600.0,1000,0.0,0.0,SD,4200.0,2500.0,False,-10.0,10:18:37
4610.0,100,10.0,0.0,SD,4200.0,1500.0,False,-40.0,10:18:37
4650.0,100,50.0,0.0,SD,4200.0,1400.0,False,0.0,10:11:02
4650.0,200,50.0,0.0,SD,4200.0,1300.0,False,-10.0,10:11:02
4660.0,400,60.0,0.0,SD,4200.0,1100.0,False,-40.0,10:10:22
4700.0,100,100.0,0.0,BU,4200.0,700.0,False,0.0,10:10:15
4700.0,400,100.0,0.0,BU,4100.0,700.0,False,0.0,10:09:04
4700.0,1000,100.0,0.0,BU,3700.0,700.0,False,40.0,09:41:35
4660.0,100,60.0,0.0,SD,2700.0,700.0,False,0.0,09:38:38
4660.0,100,60.0,0.0,SD,2700.0,600.0,False,-40.0,09:35:14
4700.0,400,100.0,0.0,BU,2700.0,500.0,False,0.0,09:34:55
4700.0,1900,100.0,0.0,BU,2300.0,500.0,False,0.0,09:33:39
4700.0,100,100.0,0.0,BU,400.0,500.0,False,0.0,09:33:39
4700.0,300,100.0,0.0,BU,300.0,500.0,False,0.0,09:19:06
4700.0,100,100.0,0.0,SD,0.0,500.0,False,0.0,09:18:59
4700.0,100,100.0,0.0,SD,0.0,400.0,False,0.0,09:18:36
4700.0,100,100.0,0.0,SD,0.0,300.0,False,0.0,09:15:21
4700.0,200,100.0,0.0,SD,0.0,200.0,False,-20.0,09:15:21
4720.0,2700,120.0,0.0,,0.0,0.0,False,0.0,09:15:01
