p,v,cp,rcp,a,ba,sa,hl,pcp,t
3750.0,56500,-70.0,0.0,,98700.0,233900.0,False,-10.0,14:45:01
3760.0,100,-60.0,0.0,BU,98700.0,233900.0,False,0.0,14:29:54
3760.0,1000,-60.0,0.0,BU,98600.0,233900.0,False,0.0,14:29:53
3760.0,500,-60.0,0.0,BU,97600.0,233900.0,False,0.0,14:29:31
3760.0,200,-60.0,0.0,BU,97100.0,233900.0,False,0.0,14:29:31
3760.0,100,-60.0,0.0,BU,96900.0,233900.0,False,0.0,14:29:31
3760.0,100,-60.0,0.0,BU,96800.0,233900.0,False,-20.0,14:29:31
3780.0,2100,-40.0,0.0,BU,96700.0,233900.0,False,20.0,14:29:14
3760.0,1000,-60.0,0.0,BU,94600.0,233900.0,False,0.0,14:25:25
3760.0,1100,-60.0,0.0,BU,93600.0,233900.0,False,0.0,14:25:19
3760.0,300,-60.0,0.0,SD,92500.0,233900.0,False,0.0,14:23:45
3760.0,10000,-60.0,0.0,SD,92500.0,233600.0,False,0.0,14:23:45
3760.0,26600,-60.0,0.0,SD,92500.0,223600.0,False,0.0,14:23:45
3760.0,500,-60.0,0.0,SD,92500.0,197000.0,False,0.0,14:23:45
3760.0,500,-60.0,0.0,SD,92500.0,196500.0,False,-10.0,14:23:45
3770.0,1000,-50.0,0.0,SD,92500.0,196000.0,False,-10.0,14:23:45
3780.0,200,-40.0,0.0,SD,92500.0,195000.0,False,-10.0,14:23:35
3790.0,700,-30.0,0.0,SD,92500.0,194800.0,False,-10.0,14:23:35
3800.0,2000,-20.0,0.0,SD,92500.0,194100.0,False,-20.0,14:22:08
3820.0,200,0.0,0.0,BU,92500.0,192100.0,False,0.0,14:17:41
3820.0,2300,0.0,0.0,BU,92300.0,192100.0,False,0.0,14:16:40
3820.0,300,0.0,0.0,BU,90000.0,192100.0,False,20.0,14:16:40
3800.0,1800,-20.0,0.0,BU,89700.0,192100.0,False,40.0,14:15:21
3760.0,6800,-60.0,0.0,BU,87900.0,192100.0,False,0.0,14:15:12
3760.0,500,-60.0,0.0,BU,81100.0,192100.0,False,0.0,14:15:11
3760.0,3000,-60.0,0.0,BU,80600.0,192100.0,False,0.0,14:15:00
3760.0,100,-60.0,0.0,BU,77600.0,192100.0,False,0.0,14:14:56
3760.0,900,-60.0,0.0,BU,77500.0,192100.0,False,0.0,14:14:54
3760.0,2000,-60.0,0.0,BU,76600.0,192100.0,False,0.0,14:14:43
3760.0,500,-60.0,0.0,BU,74600.0,192100.0,False,0.0,14:14:43
3760.0,500,-60.0,0.0,BU,74100.0,192100.0,False,0.0,14:14:37
3760.0,300,-60.0,0.0,BU,73600.0,192100.0,False,0.0,14:14:21
3760.0,200,-60.0,0.0,BU,73300.0,192100.0,False,0.0,14:14:12
3760.0,300,-60.0,0.0,BU,73100.0,192100.0,False,0.0,14:14:01
3760.0,2000,-60.0,0.0,BU,72800.0,192100.0,False,0.0,14:12:16
3760.0,6000,-60.0,0.0,BU,70800.0,192100.0,False,0.0,14:12:03
3760.0,500,-60.0,0.0,BU,64800.0,192100.0,False,0.0,14:11:35
3760.0,100,-60.0,0.0,BU,64300.0,192100.0,False,0.0,14:10:56
3760.0,100,-60.0,0.0,BU,64200.0,192100.0,False,0.0,14:10:47
3760.0,3000,-60.0,0.0,BU,64100.0,192100.0,False,-10.0,14:10:41
3770.0,3000,-50.0,0.0,SD,61100.0,192100.0,False,10.0,14:10:31
3760.0,100,-60.0,0.0,SD,61100.0,189100.0,False,0.0,14:10:31
3760.0,300,-60.0,0.0,SD,61100.0,189000.0,False,0.0,14:10:31
3760.0,1000,-60.0,0.0,SD,61100.0,188700.0,False,0.0,14:10:31
3760.0,3000,-60.0,0.0,SD,61100.0,187700.0,False,0.0,14:10:31
3760.0,1000,-60.0,0.0,SD,61100.0,184700.0,False,-10.0,14:10:31
3770.0,100,-50.0,0.0,SD,61100.0,183700.0,False,0.0,14:10:31
3770.0,500,-50.0,0.0,SD,61100.0,183600.0,False,0.0,14:10:31
3770.0,1000,-50.0,0.0,SD,61100.0,183100.0,False,-10.0,14:10:31
3780.0,100,-40.0,0.0,SD,61100.0,182100.0,False,0.0,14:10:31
3780.0,5000,-40.0,0.0,SD,61100.0,182000.0,False,-10.0,14:10:31
3790.0,500,-30.0,0.0,SD,61100.0,177000.0,False,0.0,14:10:31
3790.0,500,-30.0,0.0,SD,61100.0,176500.0,False,0.0,14:10:31
3790.0,100,-30.0,0.0,SD,61100.0,176000.0,False,-10.0,14:10:31
3800.0,400,-20.0,0.0,BU,61100.0,175900.0,False,0.0,14:08:37
3800.0,100,-20.0,0.0,BU,60700.0,175900.0,False,0.0,14:07:59
3800.0,400,-20.0,0.0,BU,60600.0,175900.0,False,0.0,14:05:23
3800.0,500,-20.0,0.0,SD,60200.0,175900.0,False,-10.0,14:05:05
3810.0,100,-10.0,0.0,BU,60200.0,175400.0,False,0.0,14:04:50
3810.0,100,-10.0,0.0,BU,60100.0,175400.0,False,10.0,13:57:07
3800.0,100,-20.0,0.0,SD,60000.0,175400.0,False,0.0,13:56:58
3800.0,5000,-20.0,0.0,BU,60000.0,175300.0,False,0.0,13:54:31
3800.0,800,-20.0,0.0,BU,55000.0,175300.0,False,10.0,13:54:31
3790.0,1100,-30.0,0.0,SD,54200.0,175300.0,False,0.0,13:52:34
3790.0,400,-30.0,0.0,SD,54200.0,174200.0,False,0.0,13:52:34
3790.0,600,-30.0,0.0,SD,54200.0,173800.0,False,0.0,13:47:32
3790.0,500,-30.0,0.0,SD,54200.0,173200.0,False,0.0,13:47:32
3790.0,100,-30.0,0.0,SD,54200.0,172700.0,False,-10.0,13:47:32
3800.0,100,-20.0,0.0,BU,54200.0,172600.0,False,0.0,13:44:35
3800.0,1700,-20.0,0.0,SD,54100.0,172600.0,False,0.0,13:43:46
3800.0,700,-20.0,0.0,SD,54100.0,170900.0,False,-10.0,13:43:46
3810.0,1700,-10.0,0.0,SD,54100.0,170200.0,False,0.0,13:43:46
3810.0,300,-10.0,0.0,SD,54100.0,168500.0,False,0.0,13:43:06
3810.0,100,-10.0,0.0,BU,54100.0,168200.0,False,0.0,13:41:29
3810.0,100,-10.0,0.0,BU,54000.0,168200.0,False,-10.0,13:41:25
3820.0,500,0.0,0.0,BU,53900.0,168200.0,False,0.0,13:34:27
3820.0,500,0.0,0.0,BU,53400.0,168200.0,False,0.0,13:32:34
3820.0,700,0.0,0.0,BU,52900.0,168200.0,False,0.0,13:24:48
3820.0,900,0.0,0.0,BU,52200.0,168200.0,False,0.0,13:23:12
3820.0,300,0.0,0.0,BU,51300.0,168200.0,False,0.0,13:23:12
3820.0,100,0.0,0.0,BU,51000.0,168200.0,False,0.0,13:23:12
3820.0,2000,0.0,0.0,BU,50900.0,168200.0,False,0.0,13:21:33
3820.0,7900,0.0,0.0,SD,48900.0,168200.0,False,0.0,13:13:08
3820.0,1000,0.0,0.0,SD,48900.0,160300.0,False,0.0,13:12:49
3820.0,4000,0.0,0.0,SD,48900.0,159300.0,False,0.0,13:12:49
3820.0,500,0.0,0.0,SD,48900.0,155300.0,False,0.0,13:12:49
3820.0,1500,0.0,0.0,BU,48900.0,154800.0,False,0.0,13:12:12
3820.0,500,0.0,0.0,BU,47400.0,154800.0,False,0.0,13:12:12
