p,v,cp,rcp,a,ba,sa,hl,pcp,t
14000.0,600,0.0,0.0,BU,5200.0,8000.0,False,0.0,14:29:21
14000.0,1000,0.0,0.0,BU,4600.0,8000.0,False,0.0,13:26:50
14000.0,1000,0.0,0.0,BU,3600.0,8000.0,False,0.0,13:25:53
14000.0,1000,0.0,0.0,BU,2600.0,8000.0,False,0.0,13:24:56
14000.0,200,0.0,0.0,BU,1600.0,8000.0,False,0.0,13:22:42
14000.0,800,0.0,0.0,SD,1400.0,8000.0,False,200.0,13:19:42
13800.0,3000,-200.0,0.0,SD,1400.0,7200.0,False,0.0,13:18:29
13800.0,300,-200.0,0.0,SD,1400.0,4200.0,False,-100.0,10:48:59
13900.0,3600,-100.0,0.0,SD,1400.0,3900.0,False,-100.0,10:48:18
14000.0,1000,0.0,0.0,BU,1400.0,300.0,False,0.0,10:04:14
14000.0,400,0.0,0.0,BU,400.0,300.0,False,0.0,09:46:34
14000.0,100,0.0,0.0,SD,0.0,300.0,False,100.0,09:38:28
13900.0,200,-100.0,0.0,SD,0.0,200.0,False,0.0,09:02:27
