p,v,cp,rcp,a,ba,sa,hl,pcp,t
5300.0,3500,-100.0,0.0,,31900.0,3600.0,False,0.0,14:45:01
5300.0,300,-100.0,0.0,BU,31900.0,3600.0,False,0.0,14:15:44
5300.0,100,-100.0,0.0,BU,31600.0,3600.0,False,0.0,14:12:20
5300.0,9800,-100.0,0.0,BU,31500.0,3600.0,False,0.0,14:05:25
5300.0,2500,-100.0,0.0,SD,21700.0,3600.0,False,-100.0,13:38:23
5400.0,100,0.0,0.0,BU,21700.0,1100.0,False,100.0,13:35:18
5300.0,200,-100.0,0.0,SD,21600.0,1100.0,False,0.0,13:03:15
5300.0,100,-100.0,0.0,SD,21600.0,900.0,False,0.0,11:15:02
5300.0,200,-100.0,0.0,BU,21600.0,800.0,False,0.0,10:32:31
5300.0,5000,-100.0,0.0,BU,21400.0,800.0,False,0.0,10:32:03
5300.0,100,-100.0,0.0,BU,16400.0,800.0,False,0.0,10:31:39
5300.0,500,-100.0,0.0,BU,16300.0,800.0,False,0.0,10:31:37
5300.0,13700,-100.0,0.0,BU,15800.0,800.0,False,0.0,10:25:06
5300.0,800,-100.0,0.0,SD,2100.0,800.0,False,-100.0,10:08:31
5400.0,100,0.0,0.0,BU,2100.0,0.0,False,0.0,09:46:02
5400.0,2000,0.0,0.0,BU,2000.0,0.0,False,0.0,09:11:20
