p,v,cp,rcp,a,ba,sa,hl,pcp,t
20300.0,595400,300.0,0.0,,5522300.0,4772400.0,False,0.0,14:45:01
20300.0,10000,300.0,0.0,BU,5522300.0,4772400.0,True,0.0,14:29:57
20300.0,500,300.0,0.0,BU,5512300.0,4772400.0,False,50.0,14:29:57
20250.0,400,250.0,0.0,SD,5511800.0,4772400.0,False,0.0,14:29:55
20250.0,2000,250.0,0.0,SD,5511800.0,4772000.0,False,-50.0,14:29:53
20300.0,500,300.0,0.0,BU,5511800.0,4770000.0,False,50.0,14:29:47
20250.0,200,250.0,0.0,SD,5511300.0,4770000.0,False,0.0,14:29:47
20250.0,3400,250.0,0.0,SD,5511300.0,4769800.0,False,0.0,14:29:47
20250.0,1000,250.0,0.0,SD,5511300.0,4766400.0,False,0.0,14:29:47
20250.0,400,250.0,0.0,SD,5511300.0,4765400.0,False,0.0,14:29:47
20250.0,200,250.0,0.0,SD,5511300.0,4765000.0,False,0.0,14:29:47
20250.0,1000,250.0,0.0,SD,5511300.0,4764800.0,False,0.0,14:29:45
20250.0,2000,250.0,0.0,SD,5511300.0,4763800.0,False,0.0,14:29:40
20250.0,1600,250.0,0.0,SD,5511300.0,4761800.0,False,0.0,14:29:37
20250.0,100,250.0,0.0,SD,5511300.0,4760200.0,False,0.0,14:29:37
20250.0,300,250.0,0.0,SD,5511300.0,4760100.0,False,-50.0,14:29:37
20300.0,1000,300.0,0.0,BU,5511300.0,4759800.0,False,0.0,14:29:36
20300.0,2000,300.0,0.0,BU,5510300.0,4759800.0,False,0.0,14:29:30
20300.0,2000,300.0,0.0,BU,5508300.0,4759800.0,False,50.0,14:29:28
20250.0,200,250.0,0.0,SD,5506300.0,4759800.0,False,0.0,14:29:27
20250.0,100,250.0,0.0,SD,5506300.0,4759600.0,False,-50.0,14:29:27
20300.0,2000,300.0,0.0,BU,5506300.0,4759500.0,False,50.0,14:29:26
20250.0,100,250.0,0.0,SD,5504300.0,4759500.0,False,0.0,14:29:25
20250.0,400,250.0,0.0,SD,5504300.0,4759400.0,False,-50.0,14:29:25
20300.0,2000,300.0,0.0,BU,5504300.0,4759000.0,False,0.0,14:29:22
20300.0,2000,300.0,0.0,BU,5502300.0,4759000.0,False,0.0,14:29:20
20300.0,1000,300.0,0.0,BU,5500300.0,4759000.0,False,0.0,14:29:20
20300.0,2000,300.0,0.0,BU,5499300.0,4759000.0,False,0.0,14:29:19
20300.0,4500,300.0,0.0,BU,5497300.0,4759000.0,False,0.0,14:29:19
20300.0,2000,300.0,0.0,BU,5492800.0,4759000.0,False,0.0,14:29:17
20300.0,200,300.0,0.0,BU,5490800.0,4759000.0,False,0.0,14:29:17
20300.0,100,300.0,0.0,BU,5490600.0,4759000.0,False,0.0,14:29:16
20300.0,500,300.0,0.0,BU,5490500.0,4759000.0,False,50.0,14:29:15
20250.0,100,250.0,0.0,SD,5490000.0,4759000.0,False,0.0,14:29:14
20250.0,900,250.0,0.0,SD,5490000.0,4758900.0,False,-50.0,14:29:14
20300.0,2000,300.0,0.0,BU,5490000.0,4758000.0,False,0.0,14:29:14
20300.0,2000,300.0,0.0,BU,5488000.0,4758000.0,False,50.0,14:29:12
20250.0,100,250.0,0.0,SD,5486000.0,4758000.0,False,0.0,14:29:11
20250.0,400,250.0,0.0,SD,5486000.0,4757900.0,False,0.0,14:29:11
20250.0,100,250.0,0.0,SD,5486000.0,4757500.0,False,-50.0,14:29:10
20300.0,2000,300.0,0.0,BU,5486000.0,4757400.0,False,0.0,14:29:10
20300.0,45200,300.0,0.0,BU,5484000.0,4757400.0,True,0.0,14:29:09
20300.0,500,300.0,0.0,BU,5438800.0,4757400.0,False,0.0,14:29:09
20300.0,200,300.0,0.0,BU,5438300.0,4757400.0,False,0.0,14:29:09
20300.0,1000,300.0,0.0,BU,5438100.0,4757400.0,False,0.0,14:29:09
20300.0,1000,300.0,0.0,BU,5437100.0,4757400.0,False,0.0,14:29:09
20300.0,1100,300.0,0.0,BU,5436100.0,4757400.0,False,50.0,14:29:09
20250.0,1000,250.0,0.0,BU,5435000.0,4757400.0,False,-50.0,14:29:09
20300.0,200,300.0,0.0,BU,5434000.0,4757400.0,False,0.0,14:29:08
20300.0,1100,300.0,0.0,BU,5433800.0,4757400.0,False,0.0,14:29:08
20300.0,200,300.0,0.0,BU,5432700.0,4757400.0,False,0.0,14:29:08
20300.0,100,300.0,0.0,BU,5432500.0,4757400.0,False,0.0,14:29:08
20300.0,300,300.0,0.0,BU,5432400.0,4757400.0,False,0.0,14:29:08
20300.0,300,300.0,0.0,BU,5432100.0,4757400.0,False,0.0,14:29:08
20300.0,300,300.0,0.0,BU,5431800.0,4757400.0,False,50.0,14:29:07
20250.0,1000,250.0,0.0,BU,5431500.0,4757400.0,False,0.0,14:29:07
20250.0,700,250.0,0.0,BU,5430500.0,4757400.0,False,0.0,14:29:07
20250.0,100,250.0,0.0,SD,5429800.0,4757400.0,False,0.0,14:29:06
20250.0,300,250.0,0.0,SD,5429800.0,4757300.0,False,0.0,14:29:06
20250.0,300,250.0,0.0,SD,5429800.0,4757000.0,False,0.0,14:29:06
20250.0,300,250.0,0.0,SD,5429800.0,4756700.0,False,0.0,14:29:06
20250.0,500,250.0,0.0,SD,5429800.0,4756400.0,False,-50.0,14:29:06
20300.0,400,300.0,0.0,BU,5429800.0,4755900.0,False,0.0,14:29:05
20300.0,200,300.0,0.0,BU,5429400.0,4755900.0,False,0.0,14:29:05
20300.0,100,300.0,0.0,BU,5429200.0,4755900.0,False,0.0,14:29:05
20300.0,1300,300.0,0.0,BU,5429100.0,4755900.0,False,0.0,14:29:05
20300.0,700,300.0,0.0,BU,5427800.0,4755900.0,False,0.0,14:29:04
20300.0,1000,300.0,0.0,BU,5427100.0,4755900.0,False,0.0,14:29:04
20300.0,300,300.0,0.0,BU,5426100.0,4755900.0,False,0.0,14:29:04
20300.0,1700,300.0,0.0,BU,5425800.0,4755900.0,False,0.0,14:29:03
20300.0,300,300.0,0.0,BU,5424100.0,4755900.0,False,50.0,14:29:03
20250.0,1000,250.0,0.0,SD,5423800.0,4755900.0,False,-50.0,14:29:01
20300.0,200,300.0,0.0,BU,5423800.0,4754900.0,False,0.0,14:29:01
20300.0,1800,300.0,0.0,BU,5423600.0,4754900.0,False,0.0,14:29:01
20300.0,200,300.0,0.0,BU,5421800.0,4754900.0,False,0.0,14:28:59
20300.0,500,300.0,0.0,BU,5421600.0,4754900.0,False,0.0,14:28:59
