p,v,cp,rcp,a,ba,sa,hl,pcp,t
16150.0,38600,-650.0,0.0,,428800.0,746600.0,False,-50.0,14:45:00
16200.0,5000,-600.0,0.0,SD,428800.0,746600.0,False,50.0,14:29:50
16150.0,100,-650.0,0.0,SD,428800.0,741600.0,False,0.0,14:29:48
16150.0,700,-650.0,0.0,SD,428800.0,741500.0,False,0.0,14:29:45
16150.0,100,-650.0,0.0,SD,428800.0,740800.0,False,0.0,14:29:44
16150.0,100,-650.0,0.0,SD,428800.0,740700.0,False,0.0,14:29:40
16150.0,1000,-650.0,0.0,SD,428800.0,740600.0,False,-50.0,14:29:33
16200.0,2000,-600.0,0.0,BU,428800.0,739600.0,False,50.0,14:29:24
16150.0,400,-650.0,0.0,BU,426800.0,739600.0,False,0.0,14:29:13
16150.0,100,-650.0,0.0,SD,426400.0,739600.0,False,0.0,14:28:54
16150.0,100,-650.0,0.0,SD,426400.0,739500.0,False,0.0,14:28:42
16150.0,2900,-650.0,0.0,SD,426400.0,739400.0,False,0.0,14:28:41
16150.0,1000,-650.0,0.0,SD,426400.0,736500.0,False,0.0,14:28:35
16150.0,900,-650.0,0.0,SD,426400.0,735500.0,False,0.0,14:28:32
16150.0,100,-650.0,0.0,SD,426400.0,734600.0,False,0.0,14:28:28
16150.0,1100,-650.0,0.0,SD,426400.0,734500.0,False,50.0,14:28:21
16100.0,300,-700.0,0.0,SD,426400.0,733400.0,False,0.0,14:28:20
16100.0,700,-700.0,0.0,SD,426400.0,733100.0,False,0.0,14:28:01
16100.0,300,-700.0,0.0,BU,426400.0,732400.0,False,0.0,14:28:00
16100.0,4700,-700.0,0.0,BU,426100.0,732400.0,False,0.0,14:28:00
16100.0,1800,-700.0,0.0,BU,421400.0,732400.0,False,0.0,14:27:59
16100.0,3200,-700.0,0.0,BU,419600.0,732400.0,False,0.0,14:27:48
16100.0,100,-700.0,0.0,BU,416400.0,732400.0,False,0.0,14:27:36
16100.0,200,-700.0,0.0,BU,416300.0,732400.0,False,100.0,14:27:28
16000.0,400,-800.0,0.0,SD,416100.0,732400.0,False,0.0,14:27:13
16000.0,200,-800.0,0.0,SD,416100.0,732000.0,False,0.0,14:27:13
16000.0,100,-800.0,0.0,BU,416100.0,731800.0,False,0.0,14:27:10
16000.0,200,-800.0,0.0,BU,416000.0,731800.0,False,0.0,14:27:08
16000.0,1000,-800.0,0.0,BU,415800.0,731800.0,False,0.0,14:27:07
16000.0,800,-800.0,0.0,BU,414800.0,731800.0,False,0.0,14:27:03
16000.0,1200,-800.0,0.0,BU,414000.0,731800.0,False,0.0,14:27:03
16000.0,100,-800.0,0.0,BU,412800.0,731800.0,False,0.0,14:26:58
16000.0,500,-800.0,0.0,BU,412700.0,731800.0,False,0.0,14:26:46
16000.0,8500,-800.0,0.0,BU,412200.0,731800.0,False,0.0,14:26:38
16000.0,1000,-800.0,0.0,BU,403700.0,731800.0,False,0.0,14:26:34
16000.0,500,-800.0,0.0,BU,402700.0,731800.0,False,100.0,14:26:13
15900.0,500,-900.0,-0.1,BU,402200.0,731800.0,False,150.0,14:26:13
15750.0,300,-1050.0,-0.1,BU,401700.0,731800.0,False,0.0,14:26:12
15750.0,100,-1050.0,-0.1,BU,401400.0,731800.0,False,50.0,14:26:12
15700.0,700,-1100.0,-0.1,SD,401300.0,731800.0,False,0.0,14:26:11
15700.0,300,-1100.0,-0.1,SD,401300.0,731100.0,False,-50.0,14:26:11
15750.0,400,-1050.0,-0.1,BU,401300.0,730800.0,False,0.0,14:26:10
15750.0,100,-1050.0,-0.1,BU,400900.0,730800.0,False,50.0,14:26:10
15700.0,700,-1100.0,-0.1,SD,400800.0,730800.0,False,0.0,14:26:05
15700.0,700,-1100.0,-0.1,SD,400800.0,730100.0,False,0.0,14:26:05
15700.0,800,-1100.0,-0.1,SD,400800.0,729400.0,False,0.0,14:26:00
15700.0,200,-1100.0,-0.1,SD,400800.0,728600.0,False,0.0,14:26:00
15700.0,500,-1100.0,-0.1,SD,400800.0,728400.0,False,50.0,14:25:58
15650.0,100,-1150.0,-0.1,SD,400800.0,727900.0,False,0.0,14:25:55
15650.0,1000,-1150.0,-0.1,SD,400800.0,727800.0,False,0.0,14:25:55
15650.0,400,-1150.0,-0.1,SD,400800.0,726800.0,False,0.0,14:25:55
15650.0,100,-1150.0,-0.1,SD,400800.0,726400.0,False,0.0,14:25:55
15650.0,3100,-1150.0,-0.1,SD,400800.0,726300.0,False,-50.0,14:25:55
15700.0,300,-1100.0,-0.1,SD,400800.0,723200.0,False,0.0,14:25:55
15700.0,700,-1100.0,-0.1,BU,400800.0,722900.0,False,0.0,14:25:54
15700.0,100,-1100.0,-0.1,BU,400100.0,722900.0,False,0.0,14:25:50
15700.0,100,-1100.0,-0.1,BU,400000.0,722900.0,False,0.0,14:25:50
15700.0,4100,-1100.0,-0.1,BU,399900.0,722900.0,False,50.0,14:25:50
15650.0,6900,-1150.0,-0.1,SD,395800.0,722900.0,False,0.0,14:25:47
15650.0,100,-1150.0,-0.1,SD,395800.0,716000.0,False,-50.0,14:25:47
15700.0,100,-1100.0,-0.1,BU,395800.0,715900.0,False,0.0,14:25:47
15700.0,500,-1100.0,-0.1,BU,395700.0,715900.0,False,0.0,14:25:45
15700.0,300,-1100.0,-0.1,BU,395200.0,715900.0,False,0.0,14:25:44
15700.0,1000,-1100.0,-0.1,BU,394900.0,715900.0,False,0.0,14:25:41
15700.0,100,-1100.0,-0.1,BU,393900.0,715900.0,False,50.0,14:25:41
15650.0,900,-1150.0,-0.1,SD,393800.0,715900.0,False,-50.0,14:25:39
15700.0,100,-1100.0,-0.1,BU,393800.0,715000.0,False,50.0,14:25:38
15650.0,500,-1150.0,-0.1,SD,393700.0,715000.0,False,0.0,14:25:36
15650.0,1100,-1150.0,-0.1,SD,393700.0,714500.0,False,0.0,14:25:35
15650.0,1000,-1150.0,-0.1,SD,393700.0,713400.0,False,0.0,14:25:35
15650.0,2000,-1150.0,-0.1,SD,393700.0,712400.0,False,0.0,14:25:35
15650.0,400,-1150.0,-0.1,SD,393700.0,710400.0,False,0.0,14:25:35
15650.0,100,-1150.0,-0.1,SD,393700.0,710000.0,False,0.0,14:25:35
15650.0,100,-1150.0,-0.1,SD,393700.0,709900.0,False,0.0,14:25:35
15650.0,100,-1150.0,-0.1,SD,393700.0,709800.0,False,0.0,14:25:35
15650.0,400,-1150.0,-0.1,SD,393700.0,709700.0,False,0.0,14:25:34
15650.0,500,-1150.0,-0.1,SD,393700.0,709300.0,False,0.0,14:25:34
15650.0,500,-1150.0,-0.1,SD,393700.0,708800.0,False,0.0,14:25:34
15650.0,500,-1150.0,-0.1,SD,393700.0,708300.0,False,0.0,14:25:34
15650.0,100,-1150.0,-0.1,SD,393700.0,707800.0,False,-50.0,14:25:34
15700.0,100,-1100.0,-0.1,BU,393700.0,707700.0,False,50.0,14:25:32
15650.0,100,-1150.0,-0.1,SD,393600.0,707700.0,False,0.0,14:25:29
15650.0,5400,-1150.0,-0.1,SD,393600.0,707600.0,False,0.0,14:25:29
15650.0,500,-1150.0,-0.1,SD,393600.0,702200.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,701700.0,False,0.0,14:25:29
15650.0,500,-1150.0,-0.1,SD,393600.0,701600.0,False,0.0,14:25:29
15650.0,500,-1150.0,-0.1,SD,393600.0,701100.0,False,0.0,14:25:29
15650.0,500,-1150.0,-0.1,SD,393600.0,700600.0,False,0.0,14:25:29
15650.0,1000,-1150.0,-0.1,SD,393600.0,700100.0,False,0.0,14:25:29
15650.0,200,-1150.0,-0.1,SD,393600.0,699100.0,False,0.0,14:25:29
15650.0,2000,-1150.0,-0.1,SD,393600.0,698900.0,False,0.0,14:25:29
15650.0,1000,-1150.0,-0.1,SD,393600.0,696900.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,695900.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,695800.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,695700.0,False,0.0,14:25:29
15650.0,500,-1150.0,-0.1,SD,393600.0,695600.0,False,0.0,14:25:29
15650.0,200,-1150.0,-0.1,SD,393600.0,695100.0,False,0.0,14:25:29
15650.0,5000,-1150.0,-0.1,SD,393600.0,694900.0,False,0.0,14:25:29
15650.0,200,-1150.0,-0.1,SD,393600.0,689900.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,689700.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,689600.0,False,0.0,14:25:29
15650.0,10000,-1150.0,-0.1,SD,393600.0,689500.0,False,0.0,14:25:29
15650.0,2500,-1150.0,-0.1,SD,393600.0,679500.0,False,0.0,14:25:29
15650.0,100,-1150.0,-0.1,SD,393600.0,677000.0,False,0.0,14:25:29
15650.0,200,-1150.0,-0.1,SD,393600.0,676900.0,False,0.0,14:25:29
15650.0,1400,-1150.0,-0.1,SD,393600.0,676700.0,False,-50.0,14:25:29
15700.0,100,-1100.0,-0.1,BU,393600.0,675300.0,False,50.0,14:25:25
15650.0,1600,-1150.0,-0.1,SD,393500.0,675300.0,False,0.0,14:25:24
15650.0,2400,-1150.0,-0.1,SD,393500.0,673700.0,False,-50.0,14:25:24
15700.0,200,-1100.0,-0.1,BU,393500.0,671300.0,False,0.0,14:25:20
15700.0,100,-1100.0,-0.1,BU,393300.0,671300.0,False,0.0,14:25:18
15700.0,300,-1100.0,-0.1,BU,393200.0,671300.0,False,50.0,14:25:17
15650.0,600,-1150.0,-0.1,SD,392900.0,671300.0,False,0.0,14:25:16
15650.0,1400,-1150.0,-0.1,SD,392900.0,670700.0,False,-50.0,14:25:16
15700.0,100,-1100.0,-0.1,SD,392900.0,669300.0,False,-50.0,14:25:13
15750.0,100,-1050.0,-0.1,BU,392900.0,669200.0,False,100.0,14:25:06
