p,v,cp,rcp,a,ba,sa,hl,pcp,t
10600.0,12800,-350.0,0.0,,86500.0,119200.0,False,-150.0,14:45:00
10750.0,200,-200.0,0.0,BU,86500.0,119200.0,False,150.0,14:29:36
10600.0,1400,-350.0,0.0,BU,86300.0,119200.0,False,0.0,14:28:38
10600.0,300,-350.0,0.0,BU,84900.0,119200.0,False,0.0,14:27:41
10600.0,7000,-350.0,0.0,BU,84600.0,119200.0,False,0.0,14:27:02
10600.0,200,-350.0,0.0,BU,77600.0,119200.0,False,50.0,14:25:55
10550.0,2100,-400.0,0.0,SD,77400.0,119200.0,False,-50.0,14:25:17
10600.0,100,-350.0,0.0,BU,77400.0,117100.0,False,0.0,14:24:53
10600.0,1000,-350.0,0.0,BU,77300.0,117100.0,False,-100.0,14:24:22
10700.0,200,-250.0,0.0,BU,76300.0,117100.0,False,0.0,14:24:14
10700.0,500,-250.0,0.0,BU,76100.0,117100.0,False,0.0,14:24:13
10700.0,300,-250.0,0.0,BU,75600.0,117100.0,False,100.0,14:24:13
10600.0,3000,-350.0,0.0,SD,75300.0,117100.0,False,-50.0,14:23:40
10650.0,200,-300.0,0.0,SD,75300.0,114100.0,False,0.0,14:23:29
10650.0,1800,-300.0,0.0,SD,75300.0,113900.0,False,0.0,14:23:29
10650.0,2000,-300.0,0.0,SD,75300.0,112100.0,False,0.0,14:23:02
10650.0,3200,-300.0,0.0,BU,75300.0,110100.0,False,0.0,14:21:41
10650.0,200,-300.0,0.0,BU,72100.0,110100.0,False,0.0,14:21:33
10650.0,100,-300.0,0.0,BU,71900.0,110100.0,False,0.0,14:21:33
10650.0,100,-300.0,0.0,BU,71800.0,110100.0,False,0.0,14:21:33
10650.0,100,-300.0,0.0,BU,71700.0,110100.0,False,0.0,14:21:33
10650.0,100,-300.0,0.0,BU,71600.0,110100.0,False,0.0,14:21:24
10650.0,100,-300.0,0.0,BU,71500.0,110100.0,False,50.0,14:19:52
10600.0,1000,-350.0,0.0,BU,71400.0,110100.0,False,0.0,14:18:52
10600.0,3000,-350.0,0.0,BU,70400.0,110100.0,False,0.0,14:18:23
10600.0,1100,-350.0,0.0,BU,67400.0,110100.0,False,0.0,14:17:56
10600.0,1000,-350.0,0.0,BU,66300.0,110100.0,False,0.0,14:17:53
10600.0,3700,-350.0,0.0,BU,65300.0,110100.0,False,0.0,14:17:37
10600.0,1300,-350.0,0.0,BU,61600.0,110100.0,False,100.0,14:17:37
10500.0,500,-450.0,0.0,SD,60300.0,110100.0,False,0.0,14:14:43
10500.0,3000,-450.0,0.0,BU,60300.0,109600.0,False,0.0,14:13:54
10500.0,7000,-450.0,0.0,BU,57300.0,109600.0,False,-50.0,14:12:38
10550.0,800,-400.0,0.0,BU,50300.0,109600.0,False,0.0,14:10:50
10550.0,100,-400.0,0.0,BU,49500.0,109600.0,False,0.0,14:10:50
10550.0,100,-400.0,0.0,BU,49400.0,109600.0,False,0.0,14:10:50
10550.0,3900,-400.0,0.0,BU,49300.0,109600.0,False,50.0,14:10:50
10500.0,100,-450.0,0.0,BU,45400.0,109600.0,False,0.0,14:10:50
10500.0,1400,-450.0,0.0,SD,45300.0,109600.0,False,0.0,14:10:31
10500.0,2000,-450.0,0.0,SD,45300.0,108200.0,False,0.0,14:10:29
10500.0,1600,-450.0,0.0,SD,45300.0,106200.0,False,0.0,14:10:13
10500.0,1900,-450.0,0.0,SD,45300.0,104600.0,False,0.0,14:10:13
10500.0,2800,-450.0,0.0,SD,45300.0,102700.0,False,0.0,14:10:10
10500.0,200,-450.0,0.0,SD,45300.0,99900.0,False,0.0,14:10:10
10500.0,1000,-450.0,0.0,SD,45300.0,99700.0,False,0.0,14:09:56
10500.0,800,-450.0,0.0,SD,45300.0,98700.0,False,0.0,14:09:52
10500.0,1000,-450.0,0.0,SD,45300.0,97900.0,False,0.0,14:09:52
10500.0,1200,-450.0,0.0,SD,45300.0,96900.0,False,-50.0,14:09:52
10550.0,100,-400.0,0.0,BU,45300.0,95700.0,False,0.0,14:06:38
10550.0,500,-400.0,0.0,SD,45200.0,95700.0,False,0.0,14:06:05
10550.0,5500,-400.0,0.0,SD,45200.0,95200.0,False,-50.0,14:06:05
10600.0,100,-350.0,0.0,BU,45200.0,89700.0,False,0.0,14:04:51
10600.0,1800,-350.0,0.0,BU,45100.0,89700.0,False,0.0,14:03:40
10600.0,200,-350.0,0.0,SD,43300.0,89700.0,False,0.0,13:58:09
10600.0,5000,-350.0,0.0,BU,43300.0,89500.0,False,50.0,13:56:30
10550.0,4500,-400.0,0.0,BU,38300.0,89500.0,False,0.0,13:56:03
10550.0,5000,-400.0,0.0,BU,33800.0,89500.0,False,0.0,13:55:54
10550.0,200,-400.0,0.0,BU,28800.0,89500.0,False,0.0,13:55:45
10550.0,2000,-400.0,0.0,BU,28600.0,89500.0,False,0.0,13:55:31
10550.0,100,-400.0,0.0,BU,26600.0,89500.0,False,0.0,13:55:10
10550.0,200,-400.0,0.0,BU,26500.0,89500.0,False,50.0,13:54:08
10500.0,100,-450.0,0.0,SD,26300.0,89500.0,False,-150.0,13:51:35
10650.0,200,-300.0,0.0,BU,26300.0,89400.0,False,0.0,13:44:22
10650.0,600,-300.0,0.0,BU,26100.0,89400.0,False,-50.0,13:41:52
10700.0,100,-250.0,0.0,BU,25500.0,89400.0,False,200.0,13:32:12
10500.0,200,-450.0,0.0,BU,25400.0,89400.0,False,50.0,13:28:23
10450.0,100,-500.0,0.0,SD,25200.0,89400.0,False,50.0,13:24:21
10400.0,11800,-550.0,-0.1,SD,25200.0,89300.0,False,0.0,13:15:12
10400.0,1000,-550.0,-0.1,SD,25200.0,77500.0,False,0.0,13:15:12
10400.0,200,-550.0,-0.1,SD,25200.0,76500.0,False,0.0,13:15:12
10400.0,800,-550.0,-0.1,SD,25200.0,76300.0,False,0.0,13:15:12
10400.0,200,-550.0,-0.1,SD,25200.0,75500.0,False,0.0,13:15:12
10400.0,300,-550.0,-0.1,SD,25200.0,75300.0,False,0.0,13:15:12
10400.0,1000,-550.0,-0.1,SD,25200.0,75000.0,False,0.0,13:15:12
10400.0,4700,-550.0,-0.1,SD,25200.0,74000.0,False,-50.0,13:15:12
10450.0,1000,-500.0,0.0,SD,25200.0,69300.0,False,0.0,13:15:12
10450.0,800,-500.0,0.0,SD,25200.0,68300.0,False,0.0,13:15:12
10450.0,700,-500.0,0.0,SD,25200.0,67500.0,False,0.0,13:15:12
10450.0,2000,-500.0,0.0,SD,25200.0,66800.0,False,0.0,13:15:12
10450.0,500,-500.0,0.0,SD,25200.0,64800.0,False,-100.0,13:15:12
10550.0,100,-400.0,0.0,SD,25200.0,64300.0,False,-100.0,13:15:12
10650.0,200,-300.0,0.0,BU,25200.0,64200.0,False,0.0,13:14:46
10650.0,300,-300.0,0.0,BU,25000.0,64200.0,False,0.0,13:14:46
10650.0,500,-300.0,0.0,BU,24700.0,64200.0,False,0.0,13:14:46
10650.0,1000,-300.0,0.0,BU,24200.0,64200.0,False,0.0,13:12:29
10650.0,200,-300.0,0.0,SD,23200.0,64200.0,False,0.0,13:12:23
10650.0,300,-300.0,0.0,BU,23200.0,64000.0,False,0.0,13:09:33
10650.0,200,-300.0,0.0,BU,22900.0,64000.0,False,50.0,13:06:46
10600.0,500,-350.0,0.0,BU,22700.0,64000.0,False,-50.0,13:06:46
10650.0,100,-300.0,0.0,BU,22200.0,64000.0,False,0.0,13:05:57
10650.0,400,-300.0,0.0,BU,22100.0,64000.0,False,0.0,13:03:50
