p,v,cp,rcp,a,ba,sa,hl,pcp,t
12400.0,100,100.0,0.0,BU,136700.0,11100.0,False,0.0,14:06:54
12400.0,200,100.0,0.0,BU,136600.0,11100.0,False,0.0,14:06:46
12400.0,14900,100.0,0.0,BU,136400.0,11100.0,False,0.0,13:55:07
12400.0,20600,100.0,0.0,BU,121500.0,11100.0,True,0.0,13:53:32
12400.0,20000,100.0,0.0,BU,100900.0,11100.0,True,0.0,13:50:36
12400.0,100,100.0,0.0,BU,80900.0,11100.0,False,0.0,13:45:20
12400.0,300,100.0,0.0,SD,80800.0,11100.0,False,0.0,13:41:44
12400.0,2600,100.0,0.0,BU,80800.0,10800.0,False,0.0,13:38:24
12400.0,1000,100.0,0.0,BU,78200.0,10800.0,False,0.0,13:32:05
12400.0,100,100.0,0.0,BU,77200.0,10800.0,False,100.0,13:27:42
12300.0,4900,0.0,0.0,SD,77100.0,10800.0,False,-100.0,13:25:41
12400.0,3000,100.0,0.0,BU,77100.0,5900.0,False,0.0,13:22:13
12400.0,10000,100.0,0.0,BU,74100.0,5900.0,False,0.0,13:19:11
12400.0,100,100.0,0.0,BU,64100.0,5900.0,False,100.0,13:07:32
12300.0,100,0.0,0.0,BU,64000.0,5900.0,False,300.0,13:07:21
12000.0,1300,-300.0,0.0,BU,63900.0,5900.0,False,0.0,11:26:51
12000.0,700,-300.0,0.0,BU,62600.0,5900.0,False,-400.0,11:26:36
12400.0,100,100.0,0.0,BU,61900.0,5900.0,False,0.0,10:39:24
12400.0,100,100.0,0.0,BU,61800.0,5900.0,False,400.0,10:19:27
12000.0,300,-300.0,0.0,SD,61700.0,5900.0,False,-400.0,10:18:18
12400.0,100,100.0,0.0,BU,61700.0,5600.0,False,0.0,10:11:23
12400.0,100,100.0,0.0,BU,61600.0,5600.0,False,0.0,09:59:08
12400.0,100,100.0,0.0,BU,61500.0,5600.0,False,-100.0,09:53:52
12500.0,200,200.0,0.0,BU,61400.0,5600.0,False,100.0,09:40:00
12400.0,200,100.0,0.0,BU,61200.0,5600.0,False,-100.0,09:39:46
12500.0,100,200.0,0.0,BU,61000.0,5600.0,False,0.0,09:34:39
12500.0,100,200.0,0.0,BU,60900.0,5600.0,False,0.0,09:30:57
12500.0,100,200.0,0.0,BU,60800.0,5600.0,False,200.0,09:28:06
12300.0,200,0.0,0.0,SD,60700.0,5600.0,False,0.0,09:27:25
12300.0,400,0.0,0.0,SD,60700.0,5400.0,False,0.0,09:25:19
12300.0,5000,0.0,0.0,SD,60700.0,5000.0,False,-300.0,09:19:52
12600.0,100,300.0,0.0,BU,60700.0,0.0,False,0.0,09:15:55
12600.0,300,300.0,0.0,BU,60600.0,0.0,False,0.0,09:12:45
12600.0,200,300.0,0.0,BU,60300.0,0.0,False,0.0,09:10:24
12600.0,2600,300.0,0.0,BU,60100.0,0.0,False,0.0,09:06:59
12600.0,800,300.0,0.0,BU,57500.0,0.0,False,0.0,09:06:41
12600.0,700,300.0,0.0,BU,56700.0,0.0,False,0.0,09:06:37
12600.0,1200,300.0,0.0,BU,56000.0,0.0,False,0.0,09:06:07
12600.0,1800,300.0,0.0,BU,54800.0,0.0,False,0.0,09:06:06
12600.0,3000,300.0,0.0,BU,53000.0,0.0,False,0.0,09:05:55
12600.0,9000,300.0,0.0,BU,50000.0,0.0,False,0.0,09:05:19
12600.0,6000,300.0,0.0,BU,41000.0,0.0,False,0.0,09:05:17
12600.0,1100,300.0,0.0,BU,35000.0,0.0,False,0.0,09:05:08
12600.0,900,300.0,0.0,BU,33900.0,0.0,False,0.0,09:05:07
12600.0,1000,300.0,0.0,BU,33000.0,0.0,False,0.0,09:04:54
12600.0,2000,300.0,0.0,BU,32000.0,0.0,False,100.0,09:04:50
12500.0,5000,200.0,0.0,BU,30000.0,0.0,False,0.0,09:04:34
12500.0,3000,200.0,0.0,BU,25000.0,0.0,False,0.0,09:04:27
12500.0,2000,200.0,0.0,BU,22000.0,0.0,False,100.0,09:04:16
12400.0,1000,100.0,0.0,BU,20000.0,0.0,False,0.0,09:04:06
12400.0,4000,100.0,0.0,BU,19000.0,0.0,False,0.0,09:03:58
12400.0,2000,100.0,0.0,BU,15000.0,0.0,False,0.0,09:03:50
12400.0,3000,100.0,0.0,BU,13000.0,0.0,False,100.0,09:03:44
12300.0,7200,0.0,0.0,BU,10000.0,0.0,False,0.0,09:03:34
12300.0,300,0.0,0.0,BU,2800.0,0.0,False,0.0,09:03:05
12300.0,900,0.0,0.0,BU,2500.0,0.0,False,0.0,09:02:52
12300.0,400,0.0,0.0,BU,1600.0,0.0,False,0.0,09:02:39
12300.0,500,0.0,0.0,BU,1200.0,0.0,False,0.0,09:02:24
12300.0,600,0.0,0.0,BU,700.0,0.0,False,0.0,09:01:28
12300.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,09:01:07
