p,v,cp,rcp,a,ba,sa,hl,pcp,t
6190.0,272700,-90.0,0.0,,1092100.0,1584000.0,False,80.0,14:45:00
6110.0,100,-170.0,0.0,BU,1092100.0,1584000.0,False,0.0,14:29:58
6110.0,500,-170.0,0.0,BU,1092000.0,1584000.0,False,0.0,14:29:51
6110.0,5000,-170.0,0.0,BU,1091500.0,1584000.0,False,10.0,14:29:50
6100.0,1900,-180.0,0.0,SD,1086500.0,1584000.0,False,0.0,14:29:43
6100.0,100,-180.0,0.0,SD,1086500.0,1582100.0,False,-10.0,14:29:43
6110.0,2000,-170.0,0.0,BU,1086500.0,1582000.0,False,0.0,14:29:43
6110.0,3000,-170.0,0.0,BU,1084500.0,1582000.0,False,0.0,14:29:38
6110.0,5000,-170.0,0.0,BU,1081500.0,1582000.0,False,0.0,14:29:29
6110.0,2000,-170.0,0.0,BU,1076500.0,1582000.0,False,10.0,14:29:28
6100.0,600,-180.0,0.0,BU,1074500.0,1582000.0,False,-10.0,14:29:24
6110.0,4400,-170.0,0.0,BU,1073900.0,1582000.0,False,10.0,14:29:24
6100.0,500,-180.0,0.0,BU,1069500.0,1582000.0,False,0.0,14:29:21
6100.0,1000,-180.0,0.0,BU,1069000.0,1582000.0,False,0.0,14:29:20
6100.0,500,-180.0,0.0,BU,1068000.0,1582000.0,False,0.0,14:29:17
6100.0,100,-180.0,0.0,BU,1067500.0,1582000.0,False,0.0,14:29:17
6100.0,2000,-180.0,0.0,SD,1067400.0,1582000.0,False,0.0,14:29:16
6100.0,100,-180.0,0.0,SD,1067400.0,1580000.0,False,0.0,14:29:16
6100.0,1800,-180.0,0.0,SD,1067400.0,1579900.0,False,0.0,14:29:16
6100.0,400,-180.0,0.0,SD,1067400.0,1578100.0,False,0.0,14:29:16
6100.0,100,-180.0,0.0,SD,1067400.0,1577700.0,False,0.0,14:29:16
6100.0,200,-180.0,0.0,SD,1067400.0,1577600.0,False,0.0,14:29:16
6100.0,100,-180.0,0.0,SD,1067400.0,1577400.0,False,0.0,14:29:16
