p,v,cp,rcp,a,ba,sa,hl,pcp,t
6060.0,82600,-180.0,0.0,,402600.0,499100.0,False,0.0,14:45:01
6060.0,1600,-180.0,0.0,BU,402600.0,499100.0,False,10.0,14:29:52
6050.0,7500,-190.0,0.0,SD,401000.0,499100.0,False,0.0,14:29:44
6050.0,500,-190.0,0.0,SD,401000.0,491600.0,False,0.0,14:29:44
6050.0,1500,-190.0,0.0,SD,401000.0,491100.0,False,0.0,14:29:44
6050.0,500,-190.0,0.0,SD,401000.0,489600.0,False,0.0,14:29:44
6050.0,100,-190.0,0.0,SD,401000.0,489100.0,False,0.0,14:29:44
6050.0,100,-190.0,0.0,SD,401000.0,489000.0,False,-10.0,14:29:44
6060.0,1200,-180.0,0.0,BU,401000.0,488900.0,False,0.0,14:29:39
6060.0,300,-180.0,0.0,BU,399800.0,488900.0,False,0.0,14:29:36
6060.0,200,-180.0,0.0,SD,399500.0,488900.0,False,0.0,14:29:14
6060.0,3000,-180.0,0.0,SD,399500.0,488700.0,False,0.0,14:29:14
6060.0,100,-180.0,0.0,SD,399500.0,485700.0,False,0.0,14:29:14
6060.0,200,-180.0,0.0,SD,399500.0,485600.0,False,0.0,14:29:14
6060.0,900,-180.0,0.0,SD,399500.0,485400.0,False,0.0,14:29:14
6060.0,100,-180.0,0.0,SD,399500.0,484500.0,False,0.0,14:28:20
6060.0,100,-180.0,0.0,SD,399500.0,484400.0,False,-10.0,14:28:20
6070.0,300,-170.0,0.0,SD,399500.0,484300.0,False,-10.0,14:28:20
6080.0,600,-160.0,0.0,BU,399500.0,484000.0,False,0.0,14:27:55
6080.0,200,-160.0,0.0,BU,398900.0,484000.0,False,0.0,14:27:29
6080.0,200,-160.0,0.0,BU,398700.0,484000.0,False,10.0,14:27:29
6070.0,100,-170.0,0.0,BU,398500.0,484000.0,False,0.0,14:27:29
6070.0,2900,-170.0,0.0,SD,398400.0,484000.0,False,0.0,14:27:28
6070.0,100,-170.0,0.0,SD,398400.0,481100.0,False,0.0,14:27:07
6070.0,100,-170.0,0.0,SD,398400.0,481000.0,False,0.0,14:27:07
6070.0,100,-170.0,0.0,SD,398400.0,480900.0,False,0.0,14:27:07
6070.0,100,-170.0,0.0,SD,398400.0,480800.0,False,0.0,14:27:07
6070.0,100,-170.0,0.0,SD,398400.0,480700.0,False,0.0,14:27:07
6070.0,500,-170.0,0.0,SD,398400.0,480600.0,False,-10.0,14:27:07
6080.0,200,-160.0,0.0,BU,398400.0,480100.0,False,0.0,14:26:11
6080.0,400,-160.0,0.0,SD,398200.0,480100.0,False,0.0,14:25:36
6080.0,800,-160.0,0.0,SD,398200.0,479700.0,False,0.0,14:24:57
6080.0,1000,-160.0,0.0,SD,398200.0,478900.0,False,0.0,14:24:54
6080.0,5000,-160.0,0.0,SD,398200.0,477900.0,False,0.0,14:24:45
6080.0,100,-160.0,0.0,SD,398200.0,472900.0,False,0.0,14:24:45
6080.0,400,-160.0,0.0,SD,398200.0,472800.0,False,0.0,14:24:45
6080.0,900,-160.0,0.0,SD,398200.0,472400.0,False,0.0,14:24:45
6080.0,1100,-160.0,0.0,SD,398200.0,471500.0,False,-10.0,14:23:16
6090.0,100,-150.0,0.0,SD,398200.0,470400.0,False,0.0,14:23:04
6090.0,100,-150.0,0.0,SD,398200.0,470300.0,False,-10.0,14:23:04
6100.0,200,-140.0,0.0,BU,398200.0,470200.0,False,0.0,14:21:23
6100.0,300,-140.0,0.0,BU,398000.0,470200.0,False,0.0,14:21:15
