p,v,cp,rcp,a,ba,sa,hl,pcp,t
13650.0,379400,-100.0,0.0,,2241100.0,2199000.0,False,-100.0,14:45:00
13750.0,1000,0.0,0.0,SD,2241100.0,2199000.0,False,-50.0,14:29:58
13800.0,500,50.0,0.0,BU,2241100.0,2198000.0,False,0.0,14:29:56
13800.0,500,50.0,0.0,BU,2240600.0,2198000.0,False,0.0,14:29:56
13800.0,700,50.0,0.0,BU,2240100.0,2198000.0,False,0.0,14:29:54
13800.0,500,50.0,0.0,BU,2239400.0,2198000.0,False,0.0,14:29:54
13800.0,500,50.0,0.0,BU,2238900.0,2198000.0,False,0.0,14:29:54
13800.0,200,50.0,0.0,BU,2238400.0,2198000.0,False,0.0,14:29:54
13800.0,900,50.0,0.0,BU,2238200.0,2198000.0,False,0.0,14:29:54
13800.0,1000,50.0,0.0,BU,2237300.0,2198000.0,False,0.0,14:29:48
13800.0,100,50.0,0.0,BU,2236300.0,2198000.0,False,0.0,14:29:47
13800.0,1000,50.0,0.0,BU,2236200.0,2198000.0,False,0.0,14:29:42
13800.0,500,50.0,0.0,BU,2235200.0,2198000.0,False,0.0,14:29:36
13800.0,500,50.0,0.0,BU,2234700.0,2198000.0,False,0.0,14:29:35
13800.0,500,50.0,0.0,BU,2234200.0,2198000.0,False,0.0,14:29:35
13800.0,1000,50.0,0.0,BU,2233700.0,2198000.0,False,0.0,14:29:29
13800.0,8500,50.0,0.0,BU,2232700.0,2198000.0,False,0.0,14:29:24
13800.0,100,50.0,0.0,BU,2224200.0,2198000.0,False,0.0,14:29:24
13800.0,5000,50.0,0.0,BU,2224100.0,2198000.0,False,0.0,14:29:24
13800.0,100,50.0,0.0,BU,2219100.0,2198000.0,False,0.0,14:29:24
13800.0,100,50.0,0.0,BU,2219000.0,2198000.0,False,0.0,14:29:24
13800.0,5000,50.0,0.0,BU,2218900.0,2198000.0,False,0.0,14:29:24
13800.0,500,50.0,0.0,BU,2213900.0,2198000.0,False,0.0,14:29:24
13800.0,100,50.0,0.0,BU,2213400.0,2198000.0,False,0.0,14:29:24
13800.0,1000,50.0,0.0,BU,2213300.0,2198000.0,False,0.0,14:29:24
13800.0,9000,50.0,0.0,BU,2212300.0,2198000.0,False,50.0,14:29:24
13750.0,1000,0.0,0.0,SD,2203300.0,2198000.0,False,-50.0,14:29:22
13800.0,1000,50.0,0.0,BU,2203300.0,2197000.0,False,50.0,14:29:22
13750.0,100,0.0,0.0,SD,2202300.0,2197000.0,False,0.0,14:29:07
13750.0,1000,0.0,0.0,SD,2202300.0,2196900.0,False,0.0,14:28:59
13750.0,1000,0.0,0.0,SD,2202300.0,2195900.0,False,0.0,14:28:52
13750.0,100,0.0,0.0,SD,2202300.0,2194900.0,False,0.0,14:28:52
13750.0,1000,0.0,0.0,SD,2202300.0,2194800.0,False,0.0,14:28:52
13750.0,300,0.0,0.0,SD,2202300.0,2193800.0,False,0.0,14:28:52
13750.0,4000,0.0,0.0,SD,2202300.0,2193500.0,False,0.0,14:28:52
13750.0,1300,0.0,0.0,SD,2202300.0,2189500.0,False,0.0,14:28:52
13750.0,5000,0.0,0.0,SD,2202300.0,2188200.0,False,0.0,14:28:52
13750.0,5000,0.0,0.0,SD,2202300.0,2183200.0,False,0.0,14:28:52
13750.0,800,0.0,0.0,BU,2202300.0,2178200.0,False,0.0,14:28:52
13750.0,200,0.0,0.0,BU,2201500.0,2178200.0,False,0.0,14:28:48
13750.0,2000,0.0,0.0,BU,2201300.0,2178200.0,False,0.0,14:28:48
13750.0,5000,0.0,0.0,BU,2199300.0,2178200.0,False,0.0,14:28:48
13750.0,5000,0.0,0.0,BU,2194300.0,2178200.0,False,0.0,14:28:48
13750.0,17800,0.0,0.0,BU,2189300.0,2178200.0,True,0.0,14:28:48
13750.0,3000,0.0,0.0,BU,2171500.0,2178200.0,False,50.0,14:28:39
13700.0,1000,-50.0,0.0,SD,2168500.0,2178200.0,False,-50.0,14:28:33
13750.0,1000,0.0,0.0,BU,2168500.0,2177200.0,False,50.0,14:28:33
13700.0,1800,-50.0,0.0,BU,2167500.0,2177200.0,False,0.0,14:28:27
13700.0,1000,-50.0,0.0,BU,2165700.0,2177200.0,False,0.0,14:28:27
13700.0,200,-50.0,0.0,BU,2164700.0,2177200.0,False,0.0,14:28:27
13700.0,1000,-50.0,0.0,BU,2164500.0,2177200.0,False,0.0,14:28:27
13700.0,500,-50.0,0.0,BU,2163500.0,2177200.0,False,0.0,14:28:27
13700.0,24000,-50.0,0.0,BU,2163000.0,2177200.0,True,0.0,14:28:27
13700.0,2000,-50.0,0.0,BU,2139000.0,2177200.0,False,0.0,14:28:27
13700.0,2000,-50.0,0.0,BU,2137000.0,2177200.0,False,0.0,14:28:26
13700.0,2000,-50.0,0.0,BU,2135000.0,2177200.0,False,0.0,14:28:17
13700.0,100,-50.0,0.0,BU,2133000.0,2177200.0,False,0.0,14:28:17
13700.0,3000,-50.0,0.0,BU,2132900.0,2177200.0,False,0.0,14:28:11
13700.0,2000,-50.0,0.0,BU,2129900.0,2177200.0,False,0.0,14:28:05
13700.0,5000,-50.0,0.0,BU,2127900.0,2177200.0,False,0.0,14:27:57
13700.0,3900,-50.0,0.0,BU,2122900.0,2177200.0,False,0.0,14:27:51
13700.0,1100,-50.0,0.0,BU,2119000.0,2177200.0,False,50.0,14:27:51
13650.0,500,-100.0,0.0,SD,2117900.0,2177200.0,False,-50.0,14:27:49
13700.0,3000,-50.0,0.0,BU,2117900.0,2176700.0,False,0.0,14:27:45
13700.0,100,-50.0,0.0,BU,2114900.0,2176700.0,False,0.0,14:27:42
13700.0,1800,-50.0,0.0,BU,2114800.0,2176700.0,False,0.0,14:27:39
13700.0,200,-50.0,0.0,BU,2113000.0,2176700.0,False,50.0,14:27:38
13650.0,100,-100.0,0.0,SD,2112800.0,2176700.0,False,0.0,14:27:19
13650.0,100,-100.0,0.0,SD,2112800.0,2176600.0,False,0.0,14:27:19
13650.0,500,-100.0,0.0,SD,2112800.0,2176500.0,False,0.0,14:27:19
13650.0,5000,-100.0,0.0,SD,2112800.0,2176000.0,False,0.0,14:27:19
13650.0,2600,-100.0,0.0,SD,2112800.0,2171000.0,False,0.0,14:27:19
13650.0,5000,-100.0,0.0,BU,2112800.0,2168400.0,False,0.0,14:27:13
13650.0,1000,-100.0,0.0,BU,2107800.0,2168400.0,False,0.0,14:27:11
13650.0,2000,-100.0,0.0,BU,2106800.0,2168400.0,False,50.0,14:26:07
13600.0,100,-150.0,0.0,SD,2104800.0,2168400.0,False,0.0,14:26:03
13600.0,200,-150.0,0.0,SD,2104800.0,2168300.0,False,0.0,14:25:56
13600.0,1000,-150.0,0.0,SD,2104800.0,2168100.0,False,0.0,14:25:49
13600.0,100,-150.0,0.0,SD,2104800.0,2167100.0,False,-50.0,14:25:44
13650.0,1000,-100.0,0.0,BU,2104800.0,2167000.0,False,50.0,14:25:25
13600.0,100,-150.0,0.0,SD,2103800.0,2167000.0,False,0.0,14:25:17
13600.0,100,-150.0,0.0,SD,2103800.0,2166900.0,False,-50.0,14:25:16
13650.0,200,-100.0,0.0,BU,2103800.0,2166800.0,False,0.0,14:25:16
13650.0,2000,-100.0,0.0,BU,2103600.0,2166800.0,False,50.0,14:24:48
13600.0,6100,-150.0,0.0,SD,2101600.0,2166800.0,False,0.0,14:24:46
13600.0,100,-150.0,0.0,SD,2101600.0,2160700.0,False,-50.0,14:24:43
13650.0,1000,-100.0,0.0,BU,2101600.0,2160600.0,False,0.0,14:24:35
13650.0,2200,-100.0,0.0,BU,2100600.0,2160600.0,False,0.0,14:24:24
13650.0,1000,-100.0,0.0,SD,2098400.0,2160600.0,False,0.0,14:24:24
13650.0,1000,-100.0,0.0,SD,2098400.0,2159600.0,False,0.0,14:24:23
13650.0,800,-100.0,0.0,SD,2098400.0,2158600.0,False,0.0,14:24:17
13650.0,100,-100.0,0.0,SD,2098400.0,2157800.0,False,0.0,14:24:17
13650.0,100,-100.0,0.0,SD,2098400.0,2157700.0,False,0.0,14:24:17
13650.0,500,-100.0,0.0,SD,2098400.0,2157600.0,False,0.0,14:24:17
13650.0,200,-100.0,0.0,SD,2098400.0,2157100.0,False,0.0,14:24:11
13650.0,1300,-100.0,0.0,SD,2098400.0,2156900.0,False,0.0,14:24:04
13650.0,3700,-100.0,0.0,SD,2098400.0,2155600.0,False,0.0,14:24:04
13650.0,7000,-100.0,0.0,SD,2098400.0,2151900.0,False,0.0,14:24:04
13650.0,4700,-100.0,0.0,SD,2098400.0,2144900.0,False,0.0,14:23:54
13650.0,1000,-100.0,0.0,SD,2098400.0,2140200.0,False,0.0,14:23:49
13650.0,3600,-100.0,0.0,SD,2098400.0,2139200.0,False,0.0,14:23:30
13650.0,100,-100.0,0.0,SD,2098400.0,2135600.0,False,0.0,14:23:30
13650.0,1000,-100.0,0.0,SD,2098400.0,2135500.0,False,0.0,14:23:30
13650.0,300,-100.0,0.0,SD,2098400.0,2134500.0,False,-50.0,14:23:30
13700.0,2000,-50.0,0.0,BU,2098400.0,2134200.0,False,0.0,14:23:16
13700.0,100,-50.0,0.0,BU,2096400.0,2134200.0,False,0.0,14:22:53
13700.0,100,-50.0,0.0,SD,2096300.0,2134200.0,False,0.0,14:22:33
13700.0,400,-50.0,0.0,SD,2096300.0,2134100.0,False,0.0,14:22:33
13700.0,900,-50.0,0.0,SD,2096300.0,2133700.0,False,0.0,14:22:33
13700.0,500,-50.0,0.0,SD,2096300.0,2132800.0,False,0.0,14:22:33
13700.0,800,-50.0,0.0,SD,2096300.0,2132300.0,False,0.0,14:22:33
13700.0,2000,-50.0,0.0,SD,2096300.0,2131500.0,False,0.0,14:22:33
13700.0,500,-50.0,0.0,SD,2096300.0,2129500.0,False,0.0,14:22:33
13700.0,1600,-50.0,0.0,SD,2096300.0,2129000.0,False,0.0,14:22:33
13700.0,200,-50.0,0.0,SD,2096300.0,2127400.0,False,0.0,14:22:21
13700.0,100,-50.0,0.0,SD,2096300.0,2127200.0,False,0.0,14:22:19
13700.0,100,-50.0,0.0,SD,2096300.0,2127100.0,False,0.0,14:22:11
13700.0,300,-50.0,0.0,SD,2096300.0,2127000.0,False,0.0,14:22:11
13700.0,700,-50.0,0.0,SD,2096300.0,2126700.0,False,0.0,14:22:10
13700.0,5000,-50.0,0.0,SD,2096300.0,2126000.0,False,0.0,14:22:10
13700.0,9300,-50.0,0.0,SD,2096300.0,2121000.0,False,0.0,14:22:10
13700.0,700,-50.0,0.0,SD,2096300.0,2111700.0,False,0.0,14:22:02
13700.0,300,-50.0,0.0,SD,2096300.0,2111000.0,False,0.0,14:22:02
13700.0,200,-50.0,0.0,SD,2096300.0,2110700.0,False,0.0,14:22:00
13700.0,100,-50.0,0.0,SD,2096300.0,2110500.0,False,-50.0,14:21:47
13750.0,100,0.0,0.0,BU,2096300.0,2110400.0,False,0.0,14:21:16
13750.0,2000,0.0,0.0,BU,2096200.0,2110400.0,False,0.0,14:20:49
13750.0,1000,0.0,0.0,BU,2094200.0,2110400.0,False,0.0,14:20:42
13750.0,1000,0.0,0.0,BU,2093200.0,2110400.0,False,50.0,14:20:28
13700.0,100,-50.0,0.0,SD,2092200.0,2110400.0,False,0.0,14:20:26
13700.0,400,-50.0,0.0,SD,2092200.0,2110300.0,False,0.0,14:20:26
13700.0,500,-50.0,0.0,SD,2092200.0,2109900.0,False,-50.0,14:20:26
13750.0,500,0.0,0.0,BU,2092200.0,2109400.0,False,0.0,14:20:23
13750.0,1000,0.0,0.0,BU,2091700.0,2109400.0,False,0.0,14:20:21
13750.0,300,0.0,0.0,BU,2090700.0,2109400.0,False,0.0,14:20:21
13750.0,300,0.0,0.0,BU,2090400.0,2109400.0,False,0.0,14:20:21
