p,v,cp,rcp,a,ba,sa,hl,pcp,t
4500.0,19100,-100.0,0.0,,93100.0,288300.0,False,0.0,14:45:02
4500.0,100,-100.0,0.0,SD,93100.0,288300.0,False,-100.0,14:29:12
4600.0,1000,0.0,0.0,BU,93100.0,288200.0,False,0.0,14:28:13
4600.0,1000,0.0,0.0,BU,92100.0,288200.0,False,0.0,14:26:20
4600.0,100,0.0,0.0,BU,91100.0,288200.0,False,100.0,14:21:13
4500.0,2000,-100.0,0.0,SD,91000.0,288200.0,False,0.0,14:16:51
4500.0,500,-100.0,0.0,SD,91000.0,286200.0,False,-100.0,14:09:40
4600.0,100,0.0,0.0,BU,91000.0,285700.0,False,0.0,14:08:03
4600.0,100,0.0,0.0,BU,90900.0,285700.0,False,0.0,14:05:19
4600.0,2000,0.0,0.0,BU,90800.0,285700.0,False,0.0,14:04:58
4600.0,100,0.0,0.0,BU,88800.0,285700.0,False,0.0,14:04:56
4600.0,300,0.0,0.0,BU,88700.0,285700.0,False,0.0,14:04:24
4600.0,200,0.0,0.0,BU,88400.0,285700.0,False,0.0,13:59:55
4600.0,100,0.0,0.0,BU,88200.0,285700.0,False,100.0,13:59:36
4500.0,1000,-100.0,0.0,SD,88100.0,285700.0,False,0.0,13:57:24
4500.0,100,-100.0,0.0,SD,88100.0,284700.0,False,0.0,13:56:37
4500.0,600,-100.0,0.0,SD,88100.0,284600.0,False,0.0,13:53:14
4500.0,1000,-100.0,0.0,SD,88100.0,284000.0,False,0.0,13:52:48
4500.0,200,-100.0,0.0,BU,88100.0,283000.0,False,0.0,13:52:00
4500.0,9800,-100.0,0.0,BU,87900.0,283000.0,False,0.0,13:51:39
4500.0,4300,-100.0,0.0,SD,78100.0,283000.0,False,0.0,13:51:03
4500.0,4000,-100.0,0.0,SD,78100.0,278700.0,False,0.0,13:49:55
4500.0,1000,-100.0,0.0,SD,78100.0,274700.0,False,0.0,13:47:01
4500.0,1000,-100.0,0.0,SD,78100.0,273700.0,False,0.0,13:43:23
4500.0,1000,-100.0,0.0,SD,78100.0,272700.0,False,-100.0,13:42:55
4600.0,100,0.0,0.0,BU,78100.0,271700.0,False,100.0,13:42:44
4500.0,100,-100.0,0.0,SD,78000.0,271700.0,False,0.0,13:29:35
4500.0,1000,-100.0,0.0,SD,78000.0,271600.0,False,0.0,13:29:12
4500.0,98800,-100.0,0.0,SD,78000.0,270600.0,True,0.0,13:28:15
4500.0,1200,-100.0,0.0,BU,78000.0,171800.0,False,0.0,13:28:10
4500.0,3500,-100.0,0.0,SD,76800.0,171800.0,False,0.0,13:26:52
4500.0,200,-100.0,0.0,BU,76800.0,168300.0,False,0.0,13:26:48
4500.0,400,-100.0,0.0,BU,76600.0,168300.0,False,0.0,13:26:40
4500.0,4400,-100.0,0.0,BU,76200.0,168300.0,False,0.0,13:26:36
4500.0,2600,-100.0,0.0,BU,71800.0,168300.0,False,0.0,13:26:20
4500.0,1500,-100.0,0.0,BU,69200.0,168300.0,False,0.0,13:25:04
4500.0,100,-100.0,0.0,BU,67700.0,168300.0,False,0.0,13:24:57
4500.0,400,-100.0,0.0,BU,67600.0,168300.0,False,0.0,13:24:35
4500.0,900,-100.0,0.0,BU,67200.0,168300.0,False,100.0,13:23:52
4400.0,100,-200.0,0.0,SD,66300.0,168300.0,False,0.0,13:23:39
4400.0,1000,-200.0,0.0,SD,66300.0,168200.0,False,-100.0,13:23:16
4500.0,1800,-100.0,0.0,BU,66300.0,167200.0,False,0.0,13:20:38
4500.0,200,-100.0,0.0,BU,64500.0,167200.0,False,0.0,13:19:07
4500.0,100,-100.0,0.0,BU,64300.0,167200.0,False,0.0,13:18:15
4500.0,200,-100.0,0.0,BU,64200.0,167200.0,False,0.0,13:18:03
4500.0,600,-100.0,0.0,BU,64000.0,167200.0,False,0.0,13:18:02
4500.0,600,-100.0,0.0,BU,63400.0,167200.0,False,0.0,13:17:14
4500.0,100,-100.0,0.0,BU,62800.0,167200.0,False,0.0,13:16:41
4500.0,600,-100.0,0.0,BU,62700.0,167200.0,False,0.0,13:16:39
4500.0,600,-100.0,0.0,BU,62100.0,167200.0,False,0.0,13:15:58
4500.0,1000,-100.0,0.0,BU,61500.0,167200.0,False,0.0,13:14:30
4500.0,40300,-100.0,0.0,BU,60500.0,167200.0,False,0.0,13:13:10
