p,v,cp,rcp,a,ba,sa,hl,pcp,t
35550.0,103900,950.0,0.0,,1030900.0,1127300.0,False,50.0,14:45:01
35500.0,600,900.0,0.0,SD,1030900.0,1127300.0,False,0.0,14:29:57
35500.0,500,900.0,0.0,SD,1030900.0,1126700.0,False,0.0,14:29:57
35500.0,400,900.0,0.0,SD,1030900.0,1126200.0,False,-100.0,14:29:57
35600.0,500,1000.0,0.0,SD,1030900.0,1125800.0,False,-50.0,14:29:34
35650.0,100,1050.0,0.0,BU,1030900.0,1125300.0,False,0.0,14:29:30
35650.0,700,1050.0,0.0,BU,1030800.0,1125300.0,False,50.0,14:29:29
35600.0,1000,1000.0,0.0,SD,1030100.0,1125300.0,False,0.0,14:29:27
35600.0,1000,1000.0,0.0,SD,1030100.0,1124300.0,False,-50.0,14:29:27
35650.0,300,1050.0,0.0,BU,1030100.0,1123300.0,False,0.0,14:29:22
35650.0,400,1050.0,0.0,BU,1029800.0,1123300.0,False,0.0,14:29:22
35650.0,3900,1050.0,0.0,BU,1029400.0,1123300.0,False,50.0,14:29:20
35600.0,300,1000.0,0.0,BU,1025500.0,1123300.0,False,0.0,14:29:20
35600.0,700,1000.0,0.0,BU,1025200.0,1123300.0,False,-50.0,14:29:20
35650.0,700,1050.0,0.0,BU,1024500.0,1123300.0,False,0.0,14:29:16
35650.0,800,1050.0,0.0,BU,1023800.0,1123300.0,False,0.0,14:29:09
35650.0,700,1050.0,0.0,BU,1023000.0,1123300.0,False,50.0,14:29:03
35600.0,1000,1000.0,0.0,SD,1022300.0,1123300.0,False,0.0,14:29:03
35600.0,200,1000.0,0.0,SD,1022300.0,1122300.0,False,0.0,14:29:00
35600.0,1000,1000.0,0.0,SD,1022300.0,1122100.0,False,0.0,14:29:00
35600.0,300,1000.0,0.0,SD,1022300.0,1121100.0,False,0.0,14:28:59
35600.0,1000,1000.0,0.0,BU,1022300.0,1120800.0,False,0.0,14:28:57
35600.0,500,1000.0,0.0,BU,1021300.0,1120800.0,False,0.0,14:28:57
35600.0,400,1000.0,0.0,BU,1020800.0,1120800.0,False,0.0,14:28:57
35600.0,500,1000.0,0.0,BU,1020400.0,1120800.0,False,0.0,14:28:57
35600.0,200,1000.0,0.0,BU,1019900.0,1120800.0,False,0.0,14:28:57
