p,v,cp,rcp,a,ba,sa,hl,pcp,t
5600.0,12800,-200.0,0.0,,440100.0,378800.0,False,100.0,14:45:02
5500.0,29400,-300.0,-0.1,BU,440100.0,378800.0,False,0.0,14:28:14
5500.0,1500,-300.0,-0.1,BU,410700.0,378800.0,False,100.0,14:27:54
5400.0,200,-400.0,-0.1,SD,409200.0,378800.0,False,-100.0,14:27:43
5500.0,1800,-300.0,-0.1,BU,409200.0,378600.0,False,0.0,14:27:14
5500.0,5000,-300.0,-0.1,BU,407400.0,378600.0,False,100.0,14:25:28
5400.0,500,-400.0,-0.1,SD,402400.0,378600.0,False,-100.0,14:24:10
5500.0,200,-300.0,-0.1,BU,402400.0,378100.0,False,0.0,14:23:52
5500.0,10200,-300.0,-0.1,BU,402200.0,378100.0,False,0.0,14:23:03
5500.0,500,-300.0,-0.1,BU,392000.0,378100.0,False,0.0,14:22:53
5500.0,100,-300.0,-0.1,BU,391500.0,378100.0,False,0.0,14:22:26
5500.0,400,-300.0,-0.1,BU,391400.0,378100.0,False,0.0,14:20:55
5500.0,100,-300.0,-0.1,BU,391000.0,378100.0,False,0.0,14:20:05
5500.0,1000,-300.0,-0.1,BU,390900.0,378100.0,False,0.0,14:19:38
5500.0,3000,-300.0,-0.1,BU,389900.0,378100.0,False,0.0,14:18:25
5500.0,1000,-300.0,-0.1,BU,386900.0,378100.0,False,0.0,14:18:11
5500.0,500,-300.0,-0.1,BU,385900.0,378100.0,False,0.0,14:17:52
5500.0,2000,-300.0,-0.1,BU,385400.0,378100.0,False,0.0,14:17:44
5500.0,1000,-300.0,-0.1,BU,383400.0,378100.0,False,0.0,14:16:50
5500.0,1000,-300.0,-0.1,BU,382400.0,378100.0,False,0.0,14:16:39
5500.0,5500,-300.0,-0.1,BU,381400.0,378100.0,False,0.0,14:16:30
5500.0,200,-300.0,-0.1,BU,375900.0,378100.0,False,0.0,14:16:21
5500.0,300,-300.0,-0.1,BU,375700.0,378100.0,False,0.0,14:15:52
5500.0,200,-300.0,-0.1,BU,375400.0,378100.0,False,100.0,14:14:18
5400.0,200,-400.0,-0.1,SD,375200.0,378100.0,False,-100.0,14:12:35
5500.0,200,-300.0,-0.1,BU,375200.0,377900.0,False,100.0,14:11:38
5400.0,9000,-400.0,-0.1,SD,375000.0,377900.0,False,-100.0,14:11:14
5500.0,100,-300.0,-0.1,BU,375000.0,368900.0,False,100.0,14:08:44
5400.0,100,-400.0,-0.1,SD,374900.0,368900.0,False,-100.0,14:05:48
5500.0,500,-300.0,-0.1,BU,374900.0,368800.0,False,0.0,14:05:28
5500.0,300,-300.0,-0.1,BU,374400.0,368800.0,False,0.0,14:04:04
5500.0,700,-300.0,-0.1,BU,374100.0,368800.0,False,0.0,14:03:58
5500.0,100,-300.0,-0.1,BU,373400.0,368800.0,False,0.0,14:03:37
5500.0,100,-300.0,-0.1,BU,373300.0,368800.0,False,0.0,14:02:45
5500.0,500,-300.0,-0.1,BU,373200.0,368800.0,False,0.0,14:02:26
5500.0,3000,-300.0,-0.1,BU,372700.0,368800.0,False,0.0,14:00:29
5500.0,200,-300.0,-0.1,BU,369700.0,368800.0,False,0.0,13:59:49
5500.0,3000,-300.0,-0.1,BU,369500.0,368800.0,False,0.0,13:59:41
5500.0,400,-300.0,-0.1,BU,366500.0,368800.0,False,0.0,13:58:37
5500.0,1200,-300.0,-0.1,BU,366100.0,368800.0,False,0.0,13:57:06
5500.0,100,-300.0,-0.1,BU,364900.0,368800.0,False,0.0,13:56:32
5500.0,100,-300.0,-0.1,BU,364800.0,368800.0,False,0.0,13:56:26
5500.0,200,-300.0,-0.1,BU,364700.0,368800.0,False,0.0,13:56:20
5500.0,200,-300.0,-0.1,SD,364500.0,368800.0,False,0.0,13:55:08
5500.0,200,-300.0,-0.1,SD,364500.0,368600.0,False,0.0,13:54:51
5500.0,5000,-300.0,-0.1,BU,364500.0,368400.0,False,0.0,13:54:44
5500.0,1000,-300.0,-0.1,BU,359500.0,368400.0,False,0.0,13:54:30
5500.0,1000,-300.0,-0.1,BU,358500.0,368400.0,False,0.0,13:54:24
5500.0,11000,-300.0,-0.1,BU,357500.0,368400.0,False,0.0,13:54:15
5500.0,400,-300.0,-0.1,BU,346500.0,368400.0,False,0.0,13:54:13
5500.0,200,-300.0,-0.1,BU,346100.0,368400.0,False,0.0,13:53:50
5500.0,200,-300.0,-0.1,BU,345900.0,368400.0,False,0.0,13:50:41
5500.0,1000,-300.0,-0.1,BU,345700.0,368400.0,False,0.0,13:50:39
5500.0,400,-300.0,-0.1,BU,344700.0,368400.0,False,0.0,13:46:45
5500.0,2300,-300.0,-0.1,BU,344300.0,368400.0,False,0.0,13:46:18
5500.0,100,-300.0,-0.1,BU,342000.0,368400.0,False,100.0,13:45:17
5400.0,1100,-400.0,-0.1,SD,341900.0,368400.0,False,-100.0,13:44:19
5500.0,800,-300.0,-0.1,BU,341900.0,367300.0,False,0.0,13:42:23
5500.0,200,-300.0,-0.1,BU,341100.0,367300.0,False,0.0,13:42:12
5500.0,5000,-300.0,-0.1,BU,340900.0,367300.0,False,0.0,13:42:09
5500.0,2200,-300.0,-0.1,SD,335900.0,367300.0,False,0.0,13:41:58
5500.0,600,-300.0,-0.1,BU,335900.0,365100.0,False,0.0,13:41:32
5500.0,1200,-300.0,-0.1,BU,335300.0,365100.0,False,0.0,13:41:15
5500.0,2000,-300.0,-0.1,BU,334100.0,365100.0,False,0.0,13:41:14
5500.0,9800,-300.0,-0.1,BU,332100.0,365100.0,False,0.0,13:41:07
5500.0,1400,-300.0,-0.1,BU,322300.0,365100.0,False,0.0,13:41:02
5500.0,38600,-300.0,-0.1,BU,320900.0,365100.0,True,0.0,13:40:57
5500.0,10300,-300.0,-0.1,BU,282300.0,365100.0,False,0.0,13:40:50
5500.0,1000,-300.0,-0.1,BU,272000.0,365100.0,False,0.0,13:40:49
