p,v,cp,rcp,a,ba,sa,hl,pcp,t
36900.0,100,400.0,0.0,,1500.0,2700.0,False,-100.0,14:45:01
37000.0,100,500.0,0.0,BU,1500.0,2700.0,False,1000.0,14:26:52
36000.0,800,-500.0,0.0,SD,1400.0,2700.0,False,-1000.0,13:30:10
37000.0,100,500.0,0.0,BU,1400.0,1900.0,False,-300.0,13:19:00
37300.0,800,800.0,0.0,SD,1300.0,1900.0,False,0.0,10:08:18
37300.0,200,800.0,0.0,SD,1300.0,1100.0,False,0.0,10:08:06
37300.0,200,800.0,0.0,SD,1300.0,900.0,False,0.0,10:07:46
37300.0,500,800.0,0.0,SD,1300.0,700.0,False,0.0,10:04:52
37300.0,200,800.0,0.0,SD,1300.0,200.0,False,0.0,10:04:13
37300.0,1100,800.0,0.0,BU,1300.0,0.0,False,-200.0,10:03:57
37500.0,100,1000.0,0.0,BU,200.0,0.0,False,0.0,09:05:17
37500.0,100,1000.0,0.0,BU,100.0,0.0,False,0.0,09:05:15
