p,v,cp,rcp,a,ba,sa,hl,pcp,t
12100.0,4000,-300.0,0.0,,176300.0,202100.0,False,100.0,14:45:01
12000.0,300,-400.0,0.0,SD,176300.0,202100.0,False,0.0,14:29:31
12000.0,200,-400.0,0.0,SD,176300.0,201800.0,False,-200.0,14:29:13
12200.0,100,-200.0,0.0,BU,176300.0,201600.0,False,100.0,14:29:11
12100.0,1000,-300.0,0.0,BU,176200.0,201600.0,False,100.0,14:29:10
12000.0,300,-400.0,0.0,SD,175200.0,201600.0,False,0.0,14:28:55
12000.0,300,-400.0,0.0,SD,175200.0,201300.0,False,-100.0,14:28:36
12100.0,300,-300.0,0.0,BU,175200.0,201000.0,False,100.0,14:28:35
12000.0,300,-400.0,0.0,SD,174900.0,201000.0,False,0.0,14:28:18
12000.0,300,-400.0,0.0,SD,174900.0,200700.0,False,0.0,14:28:00
12000.0,300,-400.0,0.0,SD,174900.0,200400.0,False,-100.0,14:27:42
12100.0,1000,-300.0,0.0,BU,174900.0,200100.0,False,100.0,14:27:34
12000.0,300,-400.0,0.0,SD,173900.0,200100.0,False,0.0,14:27:24
12000.0,300,-400.0,0.0,SD,173900.0,199800.0,False,0.0,14:27:08
12000.0,300,-400.0,0.0,SD,173900.0,199500.0,False,0.0,14:26:47
12000.0,300,-400.0,0.0,SD,173900.0,199200.0,False,0.0,14:26:43
12000.0,300,-400.0,0.0,SD,173900.0,198900.0,False,0.0,14:26:29
12000.0,300,-400.0,0.0,SD,173900.0,198600.0,False,0.0,14:26:11
12000.0,300,-400.0,0.0,SD,173900.0,198300.0,False,0.0,14:25:53
12000.0,300,-400.0,0.0,SD,173900.0,198000.0,False,0.0,14:25:35
12000.0,300,-400.0,0.0,SD,173900.0,197700.0,False,-100.0,14:25:17
12100.0,300,-300.0,0.0,SD,173900.0,197400.0,False,0.0,14:24:58
12100.0,200,-300.0,0.0,SD,173900.0,197100.0,False,0.0,14:24:40
12100.0,300,-300.0,0.0,SD,173900.0,196900.0,False,0.0,14:24:22
12100.0,300,-300.0,0.0,SD,173900.0,196600.0,False,0.0,14:24:04
12100.0,300,-300.0,0.0,SD,173900.0,196300.0,False,0.0,14:23:46
12100.0,300,-300.0,0.0,SD,173900.0,196000.0,False,0.0,14:23:27
12100.0,300,-300.0,0.0,SD,173900.0,195700.0,False,0.0,14:23:09
12100.0,300,-300.0,0.0,SD,173900.0,195400.0,False,0.0,14:22:51
12100.0,900,-300.0,0.0,SD,173900.0,195100.0,False,100.0,14:22:34
12000.0,300,-400.0,0.0,SD,173900.0,194200.0,False,0.0,14:22:33
12000.0,300,-400.0,0.0,SD,173900.0,193900.0,False,-100.0,14:22:15
12100.0,100,-300.0,0.0,SD,173900.0,193600.0,False,0.0,14:22:08
12100.0,300,-300.0,0.0,SD,173900.0,193500.0,False,0.0,14:21:57
12100.0,300,-300.0,0.0,SD,173900.0,193200.0,False,0.0,14:21:39
12100.0,300,-300.0,0.0,SD,173900.0,192900.0,False,0.0,14:21:20
12100.0,4000,-300.0,0.0,SD,173900.0,192600.0,False,0.0,14:21:03
