p,v,cp,rcp,a,ba,sa,hl,pcp,t
5980.0,7000,-140.0,0.0,,149800.0,259100.0,False,0.0,14:45:01
5980.0,100,-140.0,0.0,SD,149800.0,259100.0,False,0.0,14:29:15
5980.0,1500,-140.0,0.0,SD,149800.0,259000.0,False,0.0,14:28:24
5980.0,1300,-140.0,0.0,SD,149800.0,257500.0,False,-20.0,14:28:24
6000.0,1100,-120.0,0.0,BU,149800.0,256200.0,False,0.0,14:28:16
6000.0,200,-120.0,0.0,BU,148700.0,256200.0,False,0.0,14:28:16
6000.0,200,-120.0,0.0,BU,148500.0,256200.0,False,20.0,14:28:16
5980.0,1500,-140.0,0.0,SD,148300.0,256200.0,False,0.0,14:27:57
5980.0,500,-140.0,0.0,SD,148300.0,254700.0,False,-20.0,14:27:57
6000.0,300,-120.0,0.0,BU,148300.0,254200.0,False,0.0,14:27:56
6000.0,200,-120.0,0.0,BU,148000.0,254200.0,False,20.0,14:27:56
5980.0,500,-140.0,0.0,SD,147800.0,254200.0,False,0.0,14:24:47
5980.0,100,-140.0,0.0,SD,147800.0,253700.0,False,-20.0,14:24:47
6000.0,100,-120.0,0.0,BU,147800.0,253600.0,False,0.0,14:24:12
6000.0,100,-120.0,0.0,BU,147700.0,253600.0,False,0.0,14:24:12
6000.0,400,-120.0,0.0,SD,147600.0,253600.0,False,0.0,14:23:57
6000.0,1600,-120.0,0.0,SD,147600.0,253200.0,False,0.0,14:23:51
6000.0,100,-120.0,0.0,SD,147600.0,251600.0,False,0.0,14:23:51
6000.0,300,-120.0,0.0,SD,147600.0,251500.0,False,0.0,14:23:51
6000.0,200,-120.0,0.0,SD,147600.0,251200.0,False,0.0,14:23:30
6000.0,700,-120.0,0.0,SD,147600.0,251000.0,False,0.0,14:23:28
6000.0,200,-120.0,0.0,SD,147600.0,250300.0,False,0.0,14:23:28
6000.0,100,-120.0,0.0,SD,147600.0,250100.0,False,0.0,14:23:28
6000.0,300,-120.0,0.0,SD,147600.0,250000.0,False,0.0,14:23:28
6000.0,700,-120.0,0.0,SD,147600.0,249700.0,False,0.0,14:23:28
6000.0,700,-120.0,0.0,SD,147600.0,249000.0,False,0.0,14:22:16
6000.0,4300,-120.0,0.0,SD,147600.0,248300.0,False,0.0,14:22:16
6000.0,5000,-120.0,0.0,SD,147600.0,244000.0,False,-40.0,14:21:05
6040.0,2000,-80.0,0.0,BU,147600.0,239000.0,False,40.0,14:20:31
6000.0,4300,-120.0,0.0,SD,145600.0,239000.0,False,0.0,14:20:30
6000.0,800,-120.0,0.0,SD,145600.0,234700.0,False,-40.0,14:20:30
6040.0,400,-80.0,0.0,BU,145600.0,233900.0,False,0.0,14:20:28
6040.0,700,-80.0,0.0,SD,145200.0,233900.0,False,0.0,14:19:54
6040.0,300,-80.0,0.0,BU,145200.0,233200.0,False,0.0,14:19:38
6040.0,4700,-80.0,0.0,BU,144900.0,233200.0,False,0.0,14:19:04
6040.0,5000,-80.0,0.0,BU,140200.0,233200.0,False,20.0,14:19:04
6020.0,300,-100.0,0.0,BU,135200.0,233200.0,False,0.0,14:19:04
6020.0,3000,-100.0,0.0,BU,134900.0,233200.0,False,10.0,14:18:48
6010.0,1000,-110.0,0.0,BU,131900.0,233200.0,False,10.0,14:18:29
6000.0,200,-120.0,0.0,BU,130900.0,233200.0,False,0.0,14:18:18
6000.0,800,-120.0,0.0,BU,130700.0,233200.0,False,0.0,14:18:12
6000.0,1100,-120.0,0.0,BU,129900.0,233200.0,False,0.0,14:17:29
6000.0,300,-120.0,0.0,BU,128800.0,233200.0,False,0.0,14:17:04
6000.0,1600,-120.0,0.0,BU,128500.0,233200.0,False,10.0,14:17:04
5990.0,2000,-130.0,0.0,BU,126900.0,233200.0,False,-10.0,14:17:04
6000.0,2000,-120.0,0.0,BU,124900.0,233200.0,False,0.0,14:16:45
6000.0,5000,-120.0,0.0,BU,122900.0,233200.0,False,0.0,14:16:45
6000.0,2000,-120.0,0.0,BU,117900.0,233200.0,False,10.0,14:16:45
5990.0,500,-130.0,0.0,BU,115900.0,233200.0,False,10.0,14:16:45
5980.0,100,-140.0,0.0,SD,115400.0,233200.0,False,0.0,14:16:40
5980.0,100,-140.0,0.0,BU,115400.0,233100.0,False,0.0,14:16:34
5980.0,500,-140.0,0.0,BU,115300.0,233100.0,False,0.0,14:16:29
5980.0,1500,-140.0,0.0,BU,114800.0,233100.0,False,0.0,14:16:16
5980.0,500,-140.0,0.0,BU,113300.0,233100.0,False,0.0,14:15:30
5980.0,1300,-140.0,0.0,BU,112800.0,233100.0,False,0.0,14:15:13
5980.0,500,-140.0,0.0,SD,111500.0,233100.0,False,0.0,14:13:48
5980.0,500,-140.0,0.0,SD,111500.0,232600.0,False,0.0,14:13:48
5980.0,2000,-140.0,0.0,SD,111500.0,232100.0,False,-10.0,14:12:53
5990.0,500,-130.0,0.0,SD,111500.0,230100.0,False,0.0,14:12:35
5990.0,500,-130.0,0.0,BU,111500.0,229600.0,False,0.0,14:10:41
5990.0,100,-130.0,0.0,BU,111000.0,229600.0,False,0.0,14:10:41
5990.0,200,-130.0,0.0,SD,110900.0,229600.0,False,0.0,14:09:51
5990.0,400,-130.0,0.0,BU,110900.0,229400.0,False,0.0,14:05:13
5990.0,1000,-130.0,0.0,BU,110500.0,229400.0,False,0.0,14:04:15
5990.0,2000,-130.0,0.0,BU,109500.0,229400.0,False,0.0,14:04:15
5990.0,500,-130.0,0.0,BU,107500.0,229400.0,False,-10.0,14:04:15
6000.0,100,-120.0,0.0,SD,107000.0,229400.0,False,0.0,14:04:15
6000.0,200,-120.0,0.0,SD,107000.0,229300.0,False,0.0,14:03:40
6000.0,1700,-120.0,0.0,SD,107000.0,229100.0,False,0.0,14:01:53
6000.0,100,-120.0,0.0,SD,107000.0,227400.0,False,0.0,14:01:53
6000.0,100,-120.0,0.0,SD,107000.0,227300.0,False,0.0,14:01:53
6000.0,500,-120.0,0.0,SD,107000.0,227200.0,False,0.0,14:01:53
6000.0,600,-120.0,0.0,SD,107000.0,226700.0,False,-20.0,14:01:53
6020.0,2000,-100.0,0.0,BU,107000.0,226100.0,False,20.0,14:00:31
6000.0,400,-120.0,0.0,SD,105000.0,226100.0,False,0.0,13:57:54
6000.0,500,-120.0,0.0,SD,105000.0,225700.0,False,0.0,13:57:54
6000.0,500,-120.0,0.0,BU,105000.0,225200.0,False,0.0,13:56:18
6000.0,700,-120.0,0.0,BU,104500.0,225200.0,False,0.0,13:54:53
6000.0,300,-120.0,0.0,BU,103800.0,225200.0,False,0.0,13:54:53
6000.0,300,-120.0,0.0,SD,103500.0,225200.0,False,20.0,13:53:52
5980.0,200,-140.0,0.0,SD,103500.0,224900.0,False,0.0,13:53:29
5980.0,4100,-140.0,0.0,SD,103500.0,224700.0,False,0.0,13:53:29
5980.0,500,-140.0,0.0,SD,103500.0,220600.0,False,-20.0,13:53:29
6000.0,700,-120.0,0.0,SD,103500.0,220100.0,False,0.0,13:51:57
6000.0,3000,-120.0,0.0,SD,103500.0,219400.0,False,0.0,13:51:57
6000.0,200,-120.0,0.0,SD,103500.0,216400.0,False,0.0,13:51:57
6000.0,300,-120.0,0.0,SD,103500.0,216200.0,False,0.0,13:51:57
6000.0,1800,-120.0,0.0,SD,103500.0,215900.0,False,-10.0,13:51:57
6010.0,1800,-110.0,0.0,SD,103500.0,214100.0,False,-40.0,13:51:13
6050.0,300,-70.0,0.0,BU,103500.0,212300.0,False,0.0,13:50:59
6050.0,200,-70.0,0.0,BU,103200.0,212300.0,False,50.0,13:47:43
6000.0,1000,-120.0,0.0,SD,103000.0,212300.0,False,0.0,13:43:18
6000.0,2000,-120.0,0.0,SD,103000.0,211300.0,False,0.0,13:41:20
6000.0,3000,-120.0,0.0,SD,103000.0,209300.0,False,0.0,13:41:20
6000.0,200,-120.0,0.0,SD,103000.0,206300.0,False,0.0,13:40:10
6000.0,100,-120.0,0.0,SD,103000.0,206100.0,False,0.0,13:40:10
6000.0,200,-120.0,0.0,SD,103000.0,206000.0,False,0.0,13:40:10
6000.0,200,-120.0,0.0,BU,103000.0,205800.0,False,0.0,13:39:00
6000.0,1000,-120.0,0.0,BU,102800.0,205800.0,False,0.0,13:39:00
6000.0,600,-120.0,0.0,BU,101800.0,205800.0,False,0.0,13:39:00
6000.0,300,-120.0,0.0,BU,101200.0,205800.0,False,0.0,13:38:55
6000.0,200,-120.0,0.0,BU,100900.0,205800.0,False,0.0,13:38:36
6000.0,100,-120.0,0.0,BU,100700.0,205800.0,False,0.0,13:38:34
6000.0,800,-120.0,0.0,BU,100600.0,205800.0,False,0.0,13:38:29
6000.0,13400,-120.0,0.0,BU,99800.0,205800.0,False,0.0,13:38:21
6000.0,1600,-120.0,0.0,BU,86400.0,205800.0,False,0.0,13:38:21
6000.0,400,-120.0,0.0,BU,84800.0,205800.0,False,0.0,13:38:16
6000.0,100,-120.0,0.0,BU,84400.0,205800.0,False,0.0,13:38:02
6000.0,100,-120.0,0.0,BU,84300.0,205800.0,False,0.0,13:37:00
6000.0,900,-120.0,0.0,BU,84200.0,205800.0,False,0.0,13:37:00
6000.0,1000,-120.0,0.0,BU,83300.0,205800.0,False,0.0,13:35:44
6000.0,100,-120.0,0.0,BU,82300.0,205800.0,False,20.0,13:35:16
5980.0,900,-140.0,0.0,BU,82200.0,205800.0,False,0.0,13:32:09
5980.0,100,-140.0,0.0,BU,81300.0,205800.0,False,0.0,13:31:46
5980.0,100,-140.0,0.0,BU,81200.0,205800.0,False,0.0,13:31:09
5980.0,100,-140.0,0.0,BU,81100.0,205800.0,False,0.0,13:30:31
5980.0,200,-140.0,0.0,BU,81000.0,205800.0,False,0.0,13:27:21
5980.0,100,-140.0,0.0,BU,80800.0,205800.0,False,-10.0,13:27:04
5990.0,500,-130.0,0.0,BU,80700.0,205800.0,False,0.0,13:25:14
5990.0,500,-130.0,0.0,BU,80200.0,205800.0,False,0.0,13:25:14
5990.0,1000,-130.0,0.0,BU,79700.0,205800.0,False,10.0,13:22:16
5980.0,1000,-140.0,0.0,BU,78700.0,205800.0,False,10.0,13:21:17
5970.0,1000,-150.0,0.0,BU,77700.0,205800.0,False,20.0,13:21:17
5950.0,2200,-170.0,0.0,SD,76700.0,205800.0,False,0.0,13:17:21
5950.0,500,-170.0,0.0,BU,76700.0,203600.0,False,50.0,13:17:20
5900.0,100,-220.0,0.0,SD,76200.0,203600.0,False,0.0,13:17:18
5900.0,100,-220.0,0.0,SD,76200.0,203500.0,False,0.0,13:17:18
5900.0,300,-220.0,0.0,SD,76200.0,203400.0,False,0.0,13:17:18
5900.0,400,-220.0,0.0,SD,76200.0,203100.0,False,0.0,13:17:18
5900.0,500,-220.0,0.0,SD,76200.0,202700.0,False,-10.0,13:17:18
5910.0,3000,-210.0,0.0,BU,76200.0,202200.0,False,0.0,13:17:18
5910.0,100,-210.0,0.0,BU,73200.0,202200.0,False,-10.0,13:17:18
5920.0,100,-200.0,0.0,BU,73100.0,202200.0,False,0.0,13:17:18
5920.0,100,-200.0,0.0,BU,73000.0,202200.0,False,0.0,13:17:18
5920.0,100,-200.0,0.0,BU,72900.0,202200.0,False,0.0,13:17:18
5920.0,100,-200.0,0.0,BU,72800.0,202200.0,False,-10.0,13:17:18
5930.0,100,-190.0,0.0,BU,72700.0,202200.0,False,-20.0,13:17:18
5950.0,200,-170.0,0.0,BU,72600.0,202200.0,False,0.0,13:16:49
5950.0,100,-170.0,0.0,BU,72400.0,202200.0,False,0.0,13:16:00
