p,v,cp,rcp,a,ba,sa,hl,pcp,t
23650.0,416900,200.0,0.0,,3466000.0,3669200.0,False,200.0,14:45:01
23450.0,1000,0.0,0.0,BU,3466000.0,3669200.0,False,0.0,14:29:55
23450.0,100,0.0,0.0,BU,3465000.0,3669200.0,False,0.0,14:29:55
23450.0,1000,0.0,0.0,BU,3464900.0,3669200.0,False,0.0,14:29:54
23450.0,5000,0.0,0.0,BU,3463900.0,3669200.0,False,0.0,14:29:54
23450.0,4000,0.0,0.0,BU,3458900.0,3669200.0,False,0.0,14:29:52
23450.0,1000,0.0,0.0,BU,3454900.0,3669200.0,False,0.0,14:29:50
23450.0,300,0.0,0.0,BU,3453900.0,3669200.0,False,50.0,14:29:47
23400.0,100,-50.0,0.0,SD,3453600.0,3669200.0,False,-50.0,14:29:46
23450.0,200,0.0,0.0,BU,3453600.0,3669100.0,False,0.0,14:29:44
23450.0,2000,0.0,0.0,BU,3453400.0,3669100.0,False,0.0,14:29:44
23450.0,5600,0.0,0.0,BU,3451400.0,3669100.0,False,50.0,14:29:40
23400.0,2000,-50.0,0.0,SD,3445800.0,3669100.0,False,0.0,14:29:36
23400.0,400,-50.0,0.0,SD,3445800.0,3667100.0,False,0.0,14:29:36
23400.0,500,-50.0,0.0,SD,3445800.0,3666700.0,False,0.0,14:29:36
23400.0,2000,-50.0,0.0,SD,3445800.0,3666200.0,False,0.0,14:29:36
23400.0,100,-50.0,0.0,SD,3445800.0,3664200.0,False,-50.0,14:29:36
23450.0,15000,0.0,0.0,BU,3445800.0,3664100.0,True,0.0,14:29:36
23450.0,5000,0.0,0.0,BU,3430800.0,3664100.0,False,0.0,14:29:35
23450.0,500,0.0,0.0,BU,3425800.0,3664100.0,False,0.0,14:29:33
23450.0,500,0.0,0.0,BU,3425300.0,3664100.0,False,0.0,14:29:31
23450.0,2000,0.0,0.0,BU,3424800.0,3664100.0,False,0.0,14:29:30
23450.0,1000,0.0,0.0,BU,3422800.0,3664100.0,False,0.0,14:29:29
23450.0,1000,0.0,0.0,BU,3421800.0,3664100.0,False,0.0,14:29:29
23450.0,100,0.0,0.0,BU,3420800.0,3664100.0,False,0.0,14:29:22
23450.0,200,0.0,0.0,BU,3420700.0,3664100.0,False,0.0,14:29:22
23450.0,200,0.0,0.0,BU,3420500.0,3664100.0,False,0.0,14:29:18
23450.0,100,0.0,0.0,BU,3420300.0,3664100.0,False,0.0,14:29:16
23450.0,200,0.0,0.0,BU,3420200.0,3664100.0,False,0.0,14:29:15
23450.0,500,0.0,0.0,BU,3420000.0,3664100.0,False,0.0,14:29:13
23450.0,300,0.0,0.0,BU,3419500.0,3664100.0,False,0.0,14:29:12
23450.0,100,0.0,0.0,BU,3419200.0,3664100.0,False,0.0,14:29:11
23450.0,1000,0.0,0.0,BU,3419100.0,3664100.0,False,0.0,14:29:11
23450.0,2000,0.0,0.0,BU,3418100.0,3664100.0,False,0.0,14:29:11
23450.0,200,0.0,0.0,BU,3416100.0,3664100.0,False,0.0,14:29:11
23450.0,100,0.0,0.0,BU,3415900.0,3664100.0,False,0.0,14:29:11
23450.0,500,0.0,0.0,BU,3415800.0,3664100.0,False,-50.0,14:29:11
23500.0,3000,50.0,0.0,BU,3415300.0,3664100.0,False,0.0,14:29:11
23500.0,2000,50.0,0.0,BU,3412300.0,3664100.0,False,0.0,14:29:11
23500.0,1000,50.0,0.0,BU,3410300.0,3664100.0,False,0.0,14:29:11
23500.0,500,50.0,0.0,BU,3409300.0,3664100.0,False,0.0,14:29:11
23500.0,900,50.0,0.0,BU,3408800.0,3664100.0,False,0.0,14:29:11
23500.0,3000,50.0,0.0,BU,3407900.0,3664100.0,False,0.0,14:29:11
23500.0,100,50.0,0.0,BU,3404900.0,3664100.0,False,0.0,14:29:11
23500.0,6400,50.0,0.0,SD,3404800.0,3664100.0,False,-50.0,14:29:11
23550.0,200,100.0,0.0,SD,3404800.0,3657700.0,False,0.0,14:29:11
23550.0,1000,100.0,0.0,SD,3404800.0,3657500.0,False,0.0,14:29:11
23550.0,30000,100.0,0.0,SD,3404800.0,3656500.0,True,0.0,14:29:11
23550.0,200,100.0,0.0,SD,3404800.0,3626500.0,False,0.0,14:29:11
23550.0,300,100.0,0.0,SD,3404800.0,3626300.0,False,0.0,14:29:11
23550.0,2000,100.0,0.0,SD,3404800.0,3626000.0,False,0.0,14:29:11
23550.0,200,100.0,0.0,SD,3404800.0,3624000.0,False,0.0,14:29:11
23550.0,100,100.0,0.0,SD,3404800.0,3623800.0,False,0.0,14:29:11
23550.0,200,100.0,0.0,SD,3404800.0,3623700.0,False,0.0,14:29:11
23550.0,500,100.0,0.0,SD,3404800.0,3623500.0,False,0.0,14:29:11
23550.0,700,100.0,0.0,SD,3404800.0,3623000.0,False,0.0,14:29:11
23550.0,2200,100.0,0.0,SD,3404800.0,3622300.0,False,0.0,14:29:11
23550.0,1000,100.0,0.0,SD,3404800.0,3620100.0,False,-50.0,14:29:11
23600.0,100,150.0,0.0,BU,3404800.0,3619100.0,False,0.0,14:29:09
23600.0,5100,150.0,0.0,BU,3404700.0,3619100.0,False,0.0,14:29:08
23600.0,4100,150.0,0.0,BU,3399600.0,3619100.0,False,0.0,14:29:07
23600.0,100,150.0,0.0,BU,3395500.0,3619100.0,False,0.0,14:29:07
23600.0,100,150.0,0.0,BU,3395400.0,3619100.0,False,0.0,14:29:07
23600.0,300,150.0,0.0,BU,3395300.0,3619100.0,False,0.0,14:29:07
23600.0,500,150.0,0.0,BU,3395000.0,3619100.0,False,0.0,14:29:07
23600.0,2000,150.0,0.0,BU,3394500.0,3619100.0,False,0.0,14:29:07
23600.0,500,150.0,0.0,BU,3392500.0,3619100.0,False,0.0,14:29:07
23600.0,2400,150.0,0.0,BU,3392000.0,3619100.0,False,50.0,14:29:07
23550.0,200,100.0,0.0,SD,3389600.0,3619100.0,False,-50.0,14:29:07
23600.0,2000,150.0,0.0,BU,3389600.0,3618900.0,False,50.0,14:29:04
