p,v,cp,rcp,a,ba,sa,hl,pcp,t
11400.0,200,400.0,0.0,BU,41600.0,21700.0,False,0.0,14:58:41
11400.0,200,400.0,0.0,BU,41400.0,21700.0,False,0.0,14:58:18
11400.0,200,400.0,0.0,BU,41200.0,21700.0,False,0.0,14:58:01
11400.0,100,400.0,0.0,BU,41000.0,21700.0,False,0.0,14:54:59
11400.0,200,400.0,0.0,SD,40900.0,21700.0,False,-100.0,14:54:26
11500.0,100,500.0,0.0,BU,40900.0,21500.0,False,100.0,14:50:20
11400.0,800,400.0,0.0,BU,40800.0,21500.0,False,0.0,14:18:56
11400.0,200,400.0,0.0,BU,40000.0,21500.0,False,0.0,13:58:16
11400.0,100,400.0,0.0,BU,39800.0,21500.0,False,0.0,13:58:04
11400.0,2000,400.0,0.0,BU,39700.0,21500.0,False,0.0,13:53:43
11400.0,3000,400.0,0.0,BU,37700.0,21500.0,False,100.0,13:31:48
11300.0,100,300.0,0.0,BU,34700.0,21500.0,False,0.0,13:22:04
11300.0,1000,300.0,0.0,BU,34600.0,21500.0,False,-100.0,13:02:44
11400.0,100,400.0,0.0,BU,33600.0,21500.0,False,0.0,11:11:26
11400.0,500,400.0,0.0,BU,33500.0,21500.0,False,0.0,11:10:26
11400.0,200,400.0,0.0,BU,33000.0,21500.0,False,0.0,11:03:18
11400.0,100,400.0,0.0,BU,32800.0,21500.0,False,0.0,11:01:54
11400.0,100,400.0,0.0,BU,32700.0,21500.0,False,0.0,10:59:40
11400.0,200,400.0,0.0,BU,32600.0,21500.0,False,0.0,10:58:50
11400.0,200,400.0,0.0,BU,32400.0,21500.0,False,0.0,10:58:15
11400.0,200,400.0,0.0,SD,32200.0,21500.0,False,0.0,10:54:51
11400.0,200,400.0,0.0,SD,32200.0,21300.0,False,0.0,10:53:05
11400.0,500,400.0,0.0,SD,32200.0,21100.0,False,0.0,10:52:13
11400.0,300,400.0,0.0,BU,32200.0,20600.0,False,-100.0,10:43:32
11500.0,100,500.0,0.0,BU,31900.0,20600.0,False,100.0,10:34:28
11400.0,500,400.0,0.0,BU,31800.0,20600.0,False,-100.0,10:32:58
11500.0,100,500.0,0.0,BU,31300.0,20600.0,False,0.0,10:32:42
11500.0,2000,500.0,0.0,BU,31200.0,20600.0,False,0.0,10:29:24
11500.0,2000,500.0,0.0,BU,29200.0,20600.0,False,100.0,10:27:30
11400.0,1500,400.0,0.0,BU,27200.0,20600.0,False,100.0,10:26:08
11300.0,500,300.0,0.0,BU,25700.0,20600.0,False,0.0,10:19:34
11300.0,1000,300.0,0.0,BU,25200.0,20600.0,False,-100.0,10:19:10
11400.0,2500,400.0,0.0,BU,24200.0,20600.0,False,0.0,10:14:05
11400.0,2000,400.0,0.0,BU,21700.0,20600.0,False,0.0,10:13:39
11400.0,2000,400.0,0.0,SD,19700.0,20600.0,False,-100.0,10:13:22
11500.0,2000,500.0,0.0,BU,19700.0,18600.0,False,-100.0,10:09:15
11600.0,2000,600.0,0.1,BU,17700.0,18600.0,False,0.0,10:08:44
11600.0,3000,600.0,0.1,SD,15700.0,18600.0,False,-100.0,10:08:03
11700.0,200,700.0,0.1,BU,15700.0,15600.0,False,0.0,10:07:20
11700.0,100,700.0,0.1,SD,15500.0,15600.0,False,-100.0,10:06:50
11800.0,1000,800.0,0.1,BU,15500.0,15500.0,False,0.0,10:04:05
11800.0,500,800.0,0.1,BU,14500.0,15500.0,False,0.0,10:03:47
11800.0,2500,800.0,0.1,BU,14000.0,15500.0,False,300.0,10:03:15
11500.0,2500,500.0,0.0,SD,11500.0,15500.0,False,0.0,10:02:46
11500.0,2500,500.0,0.0,BU,11500.0,13000.0,False,-200.0,10:02:41
11700.0,600,700.0,0.1,BU,9000.0,13000.0,False,100.0,10:02:25
11600.0,2500,600.0,0.1,BU,8400.0,13000.0,False,200.0,10:02:13
11400.0,400,400.0,0.0,SD,5900.0,13000.0,False,100.0,10:02:05
11300.0,4400,300.0,0.0,SD,5900.0,12600.0,False,100.0,10:01:35
11200.0,1000,200.0,0.0,SD,5900.0,8200.0,False,0.0,10:01:32
11200.0,5000,200.0,0.0,BU,5900.0,7200.0,False,200.0,10:01:12
11000.0,4000,0.0,0.0,SD,900.0,7200.0,False,0.0,09:58:30
11000.0,500,0.0,0.0,SD,900.0,3200.0,False,0.0,09:54:04
11000.0,500,0.0,0.0,SD,900.0,2700.0,False,-100.0,09:53:50
11100.0,200,100.0,0.0,BU,900.0,2200.0,False,100.0,09:53:46
11000.0,500,0.0,0.0,SD,700.0,2200.0,False,0.0,09:53:41
11000.0,400,0.0,0.0,BU,700.0,1700.0,False,0.0,09:51:34
11000.0,600,0.0,0.0,SD,300.0,1700.0,False,0.0,09:50:49
11000.0,400,0.0,0.0,SD,300.0,1100.0,False,0.0,09:50:28
11000.0,200,0.0,0.0,SD,300.0,700.0,False,0.0,09:49:40
11000.0,500,0.0,0.0,SD,300.0,500.0,False,0.0,09:49:02
11000.0,100,0.0,0.0,BU,300.0,0.0,False,0.0,09:47:20
11000.0,200,0.0,0.0,BU,200.0,0.0,False,0.0,09:32:50
