p,v,cp,rcp,a,ba,sa,hl,pcp,t
6000.0,5400,10.0,0.0,,51600.0,130500.0,False,30.0,14:45:02
5970.0,100,-20.0,0.0,SD,51600.0,130500.0,False,0.0,14:28:48
5970.0,700,-20.0,0.0,SD,51600.0,130400.0,False,0.0,14:26:58
5970.0,800,-20.0,0.0,SD,51600.0,129700.0,False,0.0,14:26:17
5970.0,300,-20.0,0.0,SD,51600.0,128900.0,False,0.0,14:26:17
5970.0,1000,-20.0,0.0,SD,51600.0,128600.0,False,0.0,14:26:17
5970.0,200,-20.0,0.0,SD,51600.0,127600.0,False,0.0,14:26:17
5970.0,200,-20.0,0.0,SD,51600.0,127400.0,False,0.0,14:26:17
5970.0,4000,-20.0,0.0,SD,51600.0,127200.0,False,0.0,14:26:03
5970.0,300,-20.0,0.0,BU,51600.0,123200.0,False,0.0,14:21:31
5970.0,800,-20.0,0.0,BU,51300.0,123200.0,False,0.0,14:21:31
5970.0,1000,-20.0,0.0,BU,50500.0,123200.0,False,0.0,14:20:28
5970.0,1500,-20.0,0.0,BU,49500.0,123200.0,False,0.0,14:20:09
5970.0,100,-20.0,0.0,BU,48000.0,123200.0,False,0.0,14:20:06
5970.0,2200,-20.0,0.0,BU,47900.0,123200.0,False,40.0,14:19:43
5930.0,200,-60.0,0.0,BU,45700.0,123200.0,False,0.0,14:17:52
5930.0,500,-60.0,0.0,BU,45500.0,123200.0,False,0.0,14:17:33
5930.0,100,-60.0,0.0,BU,45000.0,123200.0,False,0.0,14:17:04
5930.0,100,-60.0,0.0,BU,44900.0,123200.0,False,0.0,14:16:46
5930.0,1000,-60.0,0.0,BU,44800.0,123200.0,False,0.0,14:16:31
5930.0,200,-60.0,0.0,BU,43800.0,123200.0,False,10.0,14:16:18
5920.0,100,-70.0,0.0,SD,43600.0,123200.0,False,-20.0,14:15:26
5940.0,400,-50.0,0.0,SD,43600.0,123100.0,False,10.0,14:15:25
5930.0,200,-60.0,0.0,SD,43600.0,122700.0,False,0.0,14:15:25
5930.0,1000,-60.0,0.0,SD,43600.0,122500.0,False,-10.0,14:15:25
5940.0,1000,-50.0,0.0,SD,43600.0,121500.0,False,0.0,14:15:25
5940.0,300,-50.0,0.0,SD,43600.0,120500.0,False,0.0,14:15:25
5940.0,100,-50.0,0.0,SD,43600.0,120200.0,False,0.0,14:15:25
5940.0,3000,-50.0,0.0,SD,43600.0,120100.0,False,0.0,14:15:25
5940.0,1400,-50.0,0.0,SD,43600.0,117100.0,False,-10.0,14:15:25
5950.0,200,-40.0,0.0,SD,43600.0,115700.0,False,0.0,14:15:25
5950.0,300,-40.0,0.0,SD,43600.0,115500.0,False,-20.0,14:15:25
5970.0,400,-20.0,0.0,BU,43600.0,115200.0,False,30.0,14:13:29
5940.0,500,-50.0,0.0,SD,43200.0,115200.0,False,0.0,14:12:22
5940.0,300,-50.0,0.0,SD,43200.0,114700.0,False,0.0,14:05:12
5940.0,100,-50.0,0.0,SD,43200.0,114400.0,False,0.0,14:04:14
5940.0,100,-50.0,0.0,SD,43200.0,114300.0,False,0.0,14:04:12
5940.0,1000,-50.0,0.0,SD,43200.0,114200.0,False,0.0,14:03:46
5940.0,1600,-50.0,0.0,SD,43200.0,113200.0,False,0.0,13:57:42
5940.0,1700,-50.0,0.0,BU,43200.0,111600.0,False,0.0,13:57:29
5940.0,200,-50.0,0.0,BU,41500.0,111600.0,False,0.0,13:56:47
5940.0,400,-50.0,0.0,BU,41300.0,111600.0,False,0.0,13:56:31
5940.0,100,-50.0,0.0,BU,40900.0,111600.0,False,0.0,13:54:31
5940.0,500,-50.0,0.0,BU,40800.0,111600.0,False,0.0,13:52:46
5940.0,700,-50.0,0.0,BU,40300.0,111600.0,False,10.0,13:49:45
5930.0,4000,-60.0,0.0,SD,39600.0,111600.0,False,-10.0,13:49:34
5940.0,200,-50.0,0.0,BU,39600.0,107600.0,False,0.0,13:49:17
5940.0,4200,-50.0,0.0,SD,39400.0,107600.0,False,0.0,13:49:16
5940.0,400,-50.0,0.0,SD,39400.0,103400.0,False,-10.0,13:49:16
5950.0,5000,-40.0,0.0,SD,39400.0,103000.0,False,10.0,13:48:54
5940.0,700,-50.0,0.0,SD,39400.0,98000.0,False,0.0,13:45:43
5940.0,500,-50.0,0.0,SD,39400.0,97300.0,False,0.0,13:45:43
5940.0,100,-50.0,0.0,SD,39400.0,96800.0,False,-10.0,13:45:43
5950.0,6400,-40.0,0.0,SD,39400.0,96700.0,False,-10.0,13:43:37
5960.0,4000,-30.0,0.0,BU,39400.0,90300.0,False,0.0,13:43:27
5960.0,1300,-30.0,0.0,BU,35400.0,90300.0,False,-10.0,13:43:27
5970.0,100,-20.0,0.0,BU,34100.0,90300.0,False,0.0,13:41:02
5970.0,100,-20.0,0.0,BU,34000.0,90300.0,False,0.0,13:40:24
5970.0,1000,-20.0,0.0,BU,33900.0,90300.0,False,0.0,13:39:15
5970.0,2000,-20.0,0.0,BU,32900.0,90300.0,False,10.0,13:38:38
5960.0,100,-30.0,0.0,BU,30900.0,90300.0,False,0.0,13:37:07
5960.0,100,-30.0,0.0,BU,30800.0,90300.0,False,0.0,13:37:07
5960.0,200,-30.0,0.0,BU,30700.0,90300.0,False,0.0,13:37:07
5960.0,1700,-30.0,0.0,BU,30500.0,90300.0,False,0.0,13:37:07
5960.0,100,-30.0,0.0,BU,28800.0,90300.0,False,20.0,13:36:17
5940.0,100,-50.0,0.0,SD,28700.0,90300.0,False,20.0,13:24:13
5920.0,100,-70.0,0.0,SD,28700.0,90200.0,False,-10.0,13:16:07
5930.0,1000,-60.0,0.0,BU,28700.0,90100.0,False,0.0,13:15:48
5930.0,1000,-60.0,0.0,BU,27700.0,90100.0,False,0.0,13:15:48
5930.0,300,-60.0,0.0,BU,26700.0,90100.0,False,0.0,13:15:48
5930.0,100,-60.0,0.0,BU,26400.0,90100.0,False,-10.0,13:15:48
5940.0,1000,-50.0,0.0,SD,26300.0,90100.0,False,0.0,13:15:39
5940.0,2000,-50.0,0.0,SD,26300.0,89100.0,False,0.0,13:15:39
5940.0,3000,-50.0,0.0,SD,26300.0,87100.0,False,0.0,13:15:39
5940.0,2000,-50.0,0.0,SD,26300.0,84100.0,False,-10.0,13:15:10
5950.0,200,-40.0,0.0,BU,26300.0,82100.0,False,0.0,13:15:10
5950.0,100,-40.0,0.0,SD,26100.0,82100.0,False,0.0,13:15:10
5950.0,7500,-40.0,0.0,BU,26100.0,82000.0,False,0.0,13:09:08
5950.0,1900,-40.0,0.0,BU,18600.0,82000.0,False,-10.0,13:09:08
5960.0,200,-30.0,0.0,BU,16700.0,82000.0,False,0.0,13:08:05
5960.0,300,-30.0,0.0,BU,16500.0,82000.0,False,10.0,13:08:05
5950.0,600,-40.0,0.0,SD,16200.0,82000.0,False,0.0,13:05:16
5950.0,400,-40.0,0.0,SD,16200.0,81400.0,False,0.0,13:05:16
5950.0,400,-40.0,0.0,SD,16200.0,81000.0,False,0.0,13:05:05
5950.0,1000,-40.0,0.0,SD,16200.0,80600.0,False,0.0,13:02:38
5950.0,600,-40.0,0.0,SD,16200.0,79600.0,False,0.0,13:00:22
5950.0,100,-40.0,0.0,SD,16200.0,79000.0,False,-20.0,13:00:04
5970.0,500,-20.0,0.0,BU,16200.0,78900.0,False,20.0,13:00:01
5950.0,500,-40.0,0.0,SD,15700.0,78900.0,False,10.0,13:00:01
5940.0,600,-50.0,0.0,SD,15700.0,78400.0,False,0.0,11:27:29
5940.0,2000,-50.0,0.0,SD,15700.0,77800.0,False,0.0,11:25:43
5940.0,200,-50.0,0.0,SD,15700.0,75800.0,False,0.0,11:22:25
5940.0,300,-50.0,0.0,SD,15700.0,75600.0,False,0.0,11:22:25
5940.0,500,-50.0,0.0,SD,15700.0,75300.0,False,0.0,11:22:25
5940.0,800,-50.0,0.0,SD,15700.0,74800.0,False,0.0,11:16:49
5940.0,100,-50.0,0.0,SD,15700.0,74000.0,False,0.0,11:16:49
