p,v,cp,rcp,a,ba,sa,hl,pcp,t
11500.0,17500,550.0,0.1,,1208400.0,2502300.0,False,50.0,14:45:01
11450.0,100,500.0,0.0,BU,1208400.0,2502300.0,False,0.0,14:29:50
11450.0,100,500.0,0.0,BU,1208300.0,2502300.0,False,0.0,14:29:50
11450.0,900,500.0,0.0,BU,1208200.0,2502300.0,False,0.0,14:29:27
11450.0,2000,500.0,0.0,BU,1207300.0,2502300.0,False,0.0,14:29:27
11450.0,400,500.0,0.0,BU,1205300.0,2502300.0,False,0.0,14:29:27
11450.0,100,500.0,0.0,BU,1204900.0,2502300.0,False,0.0,14:29:27
11450.0,100,500.0,0.0,BU,1204800.0,2502300.0,False,100.0,14:28:48
11350.0,200,400.0,0.0,SD,1204700.0,2502300.0,False,-100.0,14:28:36
11450.0,900,500.0,0.0,BU,1204700.0,2502100.0,False,0.0,14:28:29
11450.0,1500,500.0,0.0,BU,1203800.0,2502100.0,False,0.0,14:28:29
11450.0,100,500.0,0.0,BU,1202300.0,2502100.0,False,100.0,14:28:06
11350.0,3000,400.0,0.0,SD,1202200.0,2502100.0,False,-50.0,14:28:01
11400.0,500,450.0,0.0,BU,1202200.0,2499100.0,False,0.0,14:27:10
11400.0,800,450.0,0.0,BU,1201700.0,2499100.0,False,0.0,14:27:06
11400.0,200,450.0,0.0,BU,1200900.0,2499100.0,False,0.0,14:27:06
11400.0,100,450.0,0.0,BU,1200700.0,2499100.0,False,0.0,14:27:06
11400.0,1900,450.0,0.0,BU,1200600.0,2499100.0,False,0.0,14:27:06
11400.0,100,450.0,0.0,BU,1198700.0,2499100.0,False,50.0,14:26:03
11350.0,1000,400.0,0.0,SD,1198600.0,2499100.0,False,-100.0,14:25:59
11450.0,100,500.0,0.0,BU,1198600.0,2498100.0,False,100.0,14:25:12
11350.0,500,400.0,0.0,SD,1198500.0,2498100.0,False,-50.0,14:25:08
11400.0,500,450.0,0.0,BU,1198500.0,2497600.0,False,0.0,14:25:08
11400.0,500,450.0,0.0,SD,1198000.0,2497600.0,False,0.0,14:25:07
11400.0,7000,450.0,0.0,SD,1198000.0,2497100.0,False,50.0,14:25:03
11350.0,500,400.0,0.0,SD,1198000.0,2490100.0,False,0.0,14:25:00
11350.0,4200,400.0,0.0,SD,1198000.0,2489600.0,False,0.0,14:24:25
11350.0,100,400.0,0.0,SD,1198000.0,2485400.0,False,0.0,14:24:25
11350.0,1000,400.0,0.0,SD,1198000.0,2485300.0,False,0.0,14:24:25
11350.0,25700,400.0,0.0,SD,1198000.0,2484300.0,True,-50.0,14:24:25
11400.0,100,450.0,0.0,BU,1198000.0,2458600.0,False,50.0,14:24:11
11350.0,5000,400.0,0.0,SD,1197900.0,2458600.0,False,-50.0,14:24:05
11400.0,500,450.0,0.0,BU,1197900.0,2453600.0,False,0.0,14:23:49
11400.0,200,450.0,0.0,BU,1197400.0,2453600.0,False,0.0,14:23:49
11400.0,300,450.0,0.0,BU,1197200.0,2453600.0,False,0.0,14:23:49
11400.0,700,450.0,0.0,SD,1196900.0,2453600.0,False,0.0,14:23:48
11400.0,2300,450.0,0.0,SD,1196900.0,2452900.0,False,0.0,14:23:48
11400.0,1000,450.0,0.0,SD,1196900.0,2450600.0,False,-50.0,14:23:45
11450.0,100,500.0,0.0,BU,1196900.0,2449600.0,False,50.0,14:23:35
11400.0,5500,450.0,0.0,SD,1196800.0,2449600.0,False,0.0,14:23:17
11400.0,4500,450.0,0.0,SD,1196800.0,2444100.0,False,-50.0,14:23:17
11450.0,100,500.0,0.0,BU,1196800.0,2439600.0,False,0.0,14:23:15
11450.0,100,500.0,0.0,BU,1196700.0,2439600.0,False,-50.0,14:23:14
11500.0,100,550.0,0.1,BU,1196600.0,2439600.0,False,100.0,14:21:52
11400.0,1900,450.0,0.0,SD,1196500.0,2439600.0,False,-50.0,14:21:50
11450.0,100,500.0,0.0,BU,1196500.0,2437700.0,False,0.0,14:21:49
11450.0,1000,500.0,0.0,BU,1196400.0,2437700.0,False,0.0,14:21:45
