p,v,cp,rcp,a,ba,sa,hl,pcp,t
9900.0,12400,0.0,0.0,,91300.0,80100.0,False,100.0,14:45:02
9800.0,1400,-100.0,0.0,BU,91300.0,80100.0,False,0.0,14:29:49
9800.0,1900,-100.0,0.0,BU,89900.0,80100.0,False,0.0,14:29:42
9800.0,100,-100.0,0.0,BU,88000.0,80100.0,False,0.0,14:29:39
9800.0,100,-100.0,0.0,BU,87900.0,80100.0,False,0.0,14:29:18
9800.0,300,-100.0,0.0,BU,87800.0,80100.0,False,100.0,14:27:36
9700.0,1000,-200.0,0.0,SD,87500.0,80100.0,False,-100.0,14:26:05
9800.0,100,-100.0,0.0,BU,87500.0,79100.0,False,0.0,14:23:13
9800.0,1200,-100.0,0.0,BU,87400.0,79100.0,False,-100.0,14:22:19
9900.0,1900,0.0,0.0,SD,86200.0,79100.0,False,0.0,14:21:32
9900.0,1100,0.0,0.0,SD,86200.0,77200.0,False,-100.0,14:21:19
10000.0,1000,100.0,0.0,BU,86200.0,76100.0,False,0.0,14:19:51
10000.0,1000,100.0,0.0,BU,85200.0,76100.0,False,100.0,14:19:16
9900.0,900,0.0,0.0,BU,84200.0,76100.0,False,0.0,14:19:13
9900.0,1000,0.0,0.0,BU,83300.0,76100.0,False,0.0,14:18:03
9900.0,10000,0.0,0.0,BU,82300.0,76100.0,False,100.0,14:17:29
9800.0,1300,-100.0,0.0,SD,72300.0,76100.0,False,0.0,14:15:41
9800.0,3000,-100.0,0.0,BU,72300.0,74800.0,False,0.0,14:14:59
9800.0,1000,-100.0,0.0,BU,69300.0,74800.0,False,200.0,14:14:58
9600.0,100,-300.0,0.0,SD,68300.0,74800.0,False,0.0,14:08:52
9600.0,500,-300.0,0.0,SD,68300.0,74700.0,False,0.0,14:07:56
9600.0,10000,-300.0,0.0,SD,68300.0,74200.0,False,-200.0,14:05:43
9800.0,1000,-100.0,0.0,BU,68300.0,64200.0,False,0.0,13:58:17
9800.0,1000,-100.0,0.0,BU,67300.0,64200.0,False,0.0,13:57:54
9800.0,900,-100.0,0.0,BU,66300.0,64200.0,False,200.0,13:56:37
9600.0,500,-300.0,0.0,BU,65400.0,64200.0,False,0.0,13:47:05
9600.0,1500,-300.0,0.0,BU,64900.0,64200.0,False,0.0,13:46:57
9600.0,1000,-300.0,0.0,SD,63400.0,64200.0,False,0.0,13:45:47
9600.0,2000,-300.0,0.0,SD,63400.0,63200.0,False,0.0,13:43:30
9600.0,300,-300.0,0.0,SD,63400.0,61200.0,False,0.0,13:42:53
9600.0,20000,-300.0,0.0,SD,63400.0,60900.0,False,-100.0,13:41:06
9700.0,1000,-200.0,0.0,SD,63400.0,40900.0,False,0.0,13:38:22
9700.0,100,-200.0,0.0,SD,63400.0,39900.0,False,0.0,13:36:34
9700.0,1600,-200.0,0.0,SD,63400.0,39800.0,False,0.0,13:36:17
9700.0,1000,-200.0,0.0,BU,63400.0,38200.0,False,0.0,13:35:34
9700.0,1500,-200.0,0.0,BU,62400.0,38200.0,False,0.0,13:35:09
9700.0,1000,-200.0,0.0,BU,60900.0,38200.0,False,0.0,13:33:09
9700.0,1000,-200.0,0.0,BU,59900.0,38200.0,False,100.0,13:32:57
9600.0,700,-300.0,0.0,SD,58900.0,38200.0,False,0.0,13:30:51
9600.0,3000,-300.0,0.0,BU,58900.0,37500.0,False,0.0,13:30:10
9600.0,3000,-300.0,0.0,BU,55900.0,37500.0,False,0.0,13:28:11
9600.0,900,-300.0,0.0,BU,52900.0,37500.0,False,0.0,13:27:56
9600.0,100,-300.0,0.0,BU,52000.0,37500.0,False,0.0,13:27:08
9600.0,1600,-300.0,0.0,BU,51900.0,37500.0,False,0.0,13:25:49
9600.0,100,-300.0,0.0,SD,50300.0,37500.0,False,-100.0,13:25:35
9700.0,1000,-200.0,0.0,BU,50300.0,37400.0,False,100.0,13:24:47
9600.0,600,-300.0,0.0,SD,49300.0,37400.0,False,0.0,13:21:23
9600.0,200,-300.0,0.0,SD,49300.0,36800.0,False,-100.0,13:20:04
9700.0,100,-200.0,0.0,BU,49300.0,36600.0,False,100.0,13:12:56
9600.0,300,-300.0,0.0,SD,49200.0,36600.0,False,0.0,13:11:28
9600.0,700,-300.0,0.0,SD,49200.0,36300.0,False,0.0,13:05:28
9600.0,100,-300.0,0.0,BU,49200.0,35600.0,False,0.0,13:05:19
9600.0,200,-300.0,0.0,BU,49100.0,35600.0,False,0.0,13:05:11
9600.0,400,-300.0,0.0,BU,48900.0,35600.0,False,0.0,13:04:26
9600.0,14100,-300.0,0.0,BU,48500.0,35600.0,False,0.0,13:03:01
9600.0,200,-300.0,0.0,SD,34400.0,35600.0,False,0.0,13:01:43
9600.0,1000,-300.0,0.0,SD,34400.0,35400.0,False,0.0,13:00:04
9600.0,500,-300.0,0.0,SD,34400.0,34400.0,False,-200.0,13:00:03
9800.0,100,-100.0,0.0,BU,34400.0,33900.0,False,0.0,13:00:02
9800.0,2700,-100.0,0.0,SD,34300.0,33900.0,False,-100.0,11:28:39
9900.0,200,0.0,0.0,BU,34300.0,31200.0,False,100.0,11:28:07
9800.0,300,-100.0,0.0,SD,34100.0,31200.0,False,0.0,11:27:49
9800.0,3200,-100.0,0.0,BU,34100.0,30900.0,False,0.0,11:22:53
9800.0,1000,-100.0,0.0,SD,30900.0,30900.0,False,0.0,11:22:41
9800.0,1000,-100.0,0.0,SD,30900.0,29900.0,False,0.0,11:21:19
9800.0,500,-100.0,0.0,SD,30900.0,28900.0,False,0.0,11:15:31
9800.0,200,-100.0,0.0,SD,30900.0,28400.0,False,0.0,11:10:09
9800.0,500,-100.0,0.0,SD,30900.0,28200.0,False,0.0,10:58:15
9800.0,4000,-100.0,0.0,BU,30900.0,27700.0,False,0.0,10:54:42
9800.0,1000,-100.0,0.0,BU,26900.0,27700.0,False,100.0,10:54:28
9700.0,300,-200.0,0.0,BU,25900.0,27700.0,False,0.0,10:52:46
9700.0,500,-200.0,0.0,BU,25600.0,27700.0,False,0.0,10:50:20
9700.0,1000,-200.0,0.0,BU,25100.0,27700.0,False,0.0,10:50:17
9700.0,100,-200.0,0.0,BU,24100.0,27700.0,False,0.0,10:50:12
9700.0,500,-200.0,0.0,BU,24000.0,27700.0,False,0.0,10:50:00
9700.0,1000,-200.0,0.0,BU,23500.0,27700.0,False,100.0,10:49:36
9600.0,200,-300.0,0.0,SD,22500.0,27700.0,False,0.0,10:42:46
9600.0,200,-300.0,0.0,SD,22500.0,27500.0,False,0.0,10:42:16
9600.0,300,-300.0,0.0,SD,22500.0,27300.0,False,-100.0,10:41:52
9700.0,100,-200.0,0.0,BU,22500.0,27000.0,False,0.0,10:39:24
9700.0,400,-200.0,0.0,SD,22400.0,27000.0,False,0.0,10:38:45
9700.0,2900,-200.0,0.0,SD,22400.0,26600.0,False,0.0,10:38:31
9700.0,1000,-200.0,0.0,SD,22400.0,23700.0,False,-100.0,10:37:51
9800.0,1000,-100.0,0.0,BU,22400.0,22700.0,False,100.0,10:26:48
9700.0,5000,-200.0,0.0,SD,21400.0,22700.0,False,0.0,10:17:05
9700.0,6000,-200.0,0.0,SD,21400.0,17700.0,False,-100.0,10:16:09
9800.0,3000,-100.0,0.0,SD,21400.0,11700.0,False,0.0,10:12:19
9800.0,2000,-100.0,0.0,SD,21400.0,8700.0,False,-100.0,10:12:14
9900.0,1500,0.0,0.0,BU,21400.0,6700.0,False,0.0,10:06:00
9900.0,400,0.0,0.0,BU,19900.0,6700.0,False,0.0,10:04:55
