p,v,cp,rcp,a,ba,sa,hl,pcp,t
6600.0,22400,-50.0,0.0,,202500.0,168800.0,False,-40.0,14:45:01
6640.0,1000,-10.0,0.0,BU,202500.0,168800.0,False,0.0,14:29:25
6640.0,4600,-10.0,0.0,BU,201500.0,168800.0,False,0.0,14:29:25
6640.0,400,-10.0,0.0,SD,196900.0,168800.0,False,-10.0,14:28:56
6650.0,5000,0.0,0.0,BU,196900.0,168400.0,False,0.0,14:28:48
6650.0,10000,0.0,0.0,BU,191900.0,168400.0,False,0.0,14:28:48
6650.0,5000,0.0,0.0,BU,181900.0,168400.0,False,0.0,14:28:48
6650.0,500,0.0,0.0,BU,176900.0,168400.0,False,0.0,14:28:48
6650.0,5000,0.0,0.0,BU,176400.0,168400.0,False,0.0,14:28:48
6650.0,20000,0.0,0.0,BU,171400.0,168400.0,False,0.0,14:28:48
6650.0,4100,0.0,0.0,BU,151400.0,168400.0,False,0.0,14:28:48
6650.0,400,0.0,0.0,BU,147300.0,168400.0,False,10.0,14:28:48
6640.0,1000,-10.0,0.0,SD,146900.0,168400.0,False,0.0,14:28:02
6640.0,19600,-10.0,0.0,SD,146900.0,167400.0,False,0.0,14:28:02
6640.0,500,-10.0,0.0,BU,146900.0,147800.0,False,0.0,14:27:15
6640.0,1000,-10.0,0.0,BU,146400.0,147800.0,False,10.0,14:27:15
6630.0,1000,-20.0,0.0,BU,145400.0,147800.0,False,0.0,14:26:57
6630.0,2000,-20.0,0.0,BU,144400.0,147800.0,False,0.0,14:23:58
6630.0,1100,-20.0,0.0,SD,142400.0,147800.0,False,0.0,14:23:20
6630.0,100,-20.0,0.0,BU,142400.0,146700.0,False,0.0,14:22:12
6630.0,800,-20.0,0.0,BU,142300.0,146700.0,False,0.0,14:22:12
6630.0,200,-20.0,0.0,BU,141500.0,146700.0,False,20.0,14:21:22
6610.0,100,-40.0,0.0,BU,141300.0,146700.0,False,0.0,14:19:26
6610.0,100,-40.0,0.0,BU,141200.0,146700.0,False,0.0,14:19:26
6610.0,200,-40.0,0.0,BU,141100.0,146700.0,False,10.0,14:18:44
6600.0,5000,-50.0,0.0,BU,140900.0,146700.0,False,0.0,14:18:05
6600.0,500,-50.0,0.0,BU,135900.0,146700.0,False,0.0,14:18:05
6600.0,100,-50.0,0.0,BU,135400.0,146700.0,False,0.0,14:18:05
6600.0,8000,-50.0,0.0,BU,135300.0,146700.0,False,0.0,14:18:05
6600.0,1000,-50.0,0.0,BU,127300.0,146700.0,False,0.0,14:18:05
6600.0,200,-50.0,0.0,BU,126300.0,146700.0,False,0.0,14:18:05
6600.0,1600,-50.0,0.0,BU,126100.0,146700.0,False,0.0,14:18:05
6600.0,2700,-50.0,0.0,BU,124500.0,146700.0,False,20.0,14:18:05
6580.0,300,-70.0,0.0,SD,121800.0,146700.0,False,0.0,14:18:03
6580.0,700,-70.0,0.0,BU,121800.0,146400.0,False,0.0,14:17:58
6580.0,2000,-70.0,0.0,BU,121100.0,146400.0,False,0.0,14:17:55
6580.0,2000,-70.0,0.0,BU,119100.0,146400.0,False,0.0,14:17:52
6580.0,2000,-70.0,0.0,BU,117100.0,146400.0,False,0.0,14:17:46
